utility,substation_name,magnitude,n_nodes_prox,n_nodes_volt,reassigned,mass_moved_frac,mass_moved_mw,avg_dist_prox_km,avg_dist_volt_km,added_dist_km,assignment_method_volt
sce,Olive Lake,4.723090277777778,1,1,False,0.0,0.0,4.626026,4.626026,0.0,nearest
sce,Olympic,1.536875,1,1,False,0.0,0.0,1.630224,1.630224,0.0,nearest
sce,Ontario,5.0470138888888885,2,2,False,0.0,0.0,0.10648250000000001,0.10648250000000001,0.0,nearest
sce,Orange,21.780104166666668,1,1,False,0.0,0.0,0.046291,0.046291,0.0,nearest
sce,Ordway,2.299375,1,1,False,0.0,0.0,0.214899,0.214899,0.0,nearest
sce,Oro Grande,0.06930555555555556,1,1,False,0.0,0.0,0.419093,0.419093,0.0,nearest
sce,Ortega,0.0,1,1,False,0.0,0.0,0.367932,0.367932,0.0,nearest
sce,Padua,194.75142361111114,1,1,False,0.0,0.0,0.064639,0.064639,0.0,nearest
sce,Palm Canyon,10.394965277777779,1,1,False,0.0,0.0,0.004297,0.004297,0.0,nearest
sce,Palm Village,16.437326388888888,1,1,False,0.0,0.0,0.078932,0.078932,0.0,nearest
sce,Palmdale,49.92975694444445,1,1,False,0.0,0.0,0.025396,0.025396,0.0,nearest
sce,Palos Verdes,3.6031250000000004,1,1,False,0.0,0.0,2.278567,2.278567,0.0,nearest
sce,Parker Strip,1.811736111111111,1,1,False,0.0,0.0,34.454361,34.454361,0.0,nearest_voltage_fallback
sce,Parkwood,22.725624999999997,1,1,False,0.0,0.0,0.029725,0.029725,0.0,nearest
sce,Passons,18.006597222222222,1,1,False,0.0,0.0,0.003764,0.003764,0.0,nearest
sce,Pauba,17.598506944444445,1,1,False,0.0,0.0,0.206074,0.206074,0.0,nearest
sce,Peacock U.g.s.,0.15416666666666667,1,1,False,0.0,0.0,1.734367,1.734367,0.0,nearest
sce,Pearl,3.3954166666666667,1,1,False,0.0,0.0,0.035142,0.035142,0.0,nearest
sce,Pechanga,68.17305555555555,1,1,False,0.0,0.0,0.706118,0.706118,0.0,nearest
sce,Pedley,20.503402777777776,1,1,False,0.0,0.0,0.04625,0.04625,0.0,nearest
sce,Peerless,0.320625,1,1,False,0.0,0.0,11.22607,11.22607,0.0,nearest_voltage_fallback
sce,Pepper,44.21388888888889,1,1,False,0.0,0.0,0.114916,0.114916,0.0,nearest
sce,Perez,0.28836805555555556,1,1,False,0.0,0.0,0.017826,0.017826,0.0,nearest
sce,Perry,7.787395833333333,1,1,False,0.0,0.0,0.014738,0.014738,0.0,nearest
sce,Peyton,36.916111111111114,1,1,False,0.0,0.0,0.202667,0.202667,0.0,nearest
sce,Phelan,33.008159722222224,1,1,False,0.0,0.0,0.141014,0.141014,0.0,nearest
sce,Pico,2.258263888888889,1,1,False,0.0,0.0,0.14576,0.14576,0.0,nearest
sce,Pierpont,5.360104166666667,1,1,False,0.0,0.0,0.0766,0.0766,0.0,nearest
sce,Pioneer,20.275555555555556,1,1,False,0.0,0.0,0.007394,0.007394,0.0,nearest
sce,Pitman,0.1354861111111111,1,1,False,0.0,0.0,37.26756,37.26756,0.0,nearest_voltage_fallback
sce,Piute,4.415763888888889,1,1,False,0.0,0.0,0.077946,0.077946,0.0,nearest
sce,Pixley,3.811145833333333,1,1,False,0.0,0.0,9.333343,9.333343,0.0,nearest
sce,Placentia,24.730173611111113,1,1,False,0.0,0.0,0.044968,0.044968,0.0,nearest
sce,Playa,3.1936805555555554,1,1,False,0.0,0.0,0.180668,0.180668,0.0,nearest
sce,Pomona,3.456006944444445,1,1,False,0.0,0.0,0.009852,0.009852,0.0,nearest
sce,Poplar,10.432152777777778,1,1,False,0.0,0.0,9.264877,9.264877,0.0,nearest
sce,Porterville,30.145069444444445,1,1,False,0.0,0.0,0.079693,0.079693,0.0,nearest
sce,Potrero,38.83920138888889,1,1,False,0.0,0.0,0.220769,0.220769,0.0,nearest
sce,Proctor,11.313194444444443,1,1,False,0.0,0.0,1.292728,1.292728,0.0,nearest
sce,Puente,28.35020833333333,1,1,False,0.0,0.0,0.088295,0.088295,0.0,nearest
sce,Quartz Hill,25.73197916666667,1,1,False,0.0,0.0,0.023062,0.023062,0.0,nearest
sce,Queen Mary U.g.s.,0.0,1,1,False,0.0,0.0,2.235911,2.235911,0.0,nearest
sce,Quinn,7.9468749999999995,1,1,False,0.0,0.0,0.168952,0.168952,0.0,nearest
sce,Railroad,39.692395833333336,1,1,False,0.0,0.0,0.022296,0.022296,0.0,nearest
sce,Ramona,8.114618055555557,1,1,False,0.0,0.0,0.059833,0.059833,0.0,nearest
sce,Rancho,18.490590277777777,1,1,False,0.0,0.0,0.133668,0.133668,0.0,nearest
sce,Randall,55.74909722222222,1,1,False,0.0,0.0,0.063713,0.063713,0.0,nearest
sce,Randolph,21.803680555555555,1,1,False,0.0,0.0,0.040212,0.040212,0.0,nearest
sce,Randsburg,0.15090277777777777,1,1,False,0.0,0.0,27.111279,27.111279,0.0,nearest_voltage_fallback
sce,Ravendale,26.1934375,1,1,False,0.0,0.0,0.084476,0.084476,0.0,nearest
sce,Rector,89.36086805555556,1,1,False,0.0,0.0,0.100328,0.100328,0.0,nearest
sce,Redlands,34.970312500000006,1,1,False,0.0,0.0,0.048968,0.048968,0.0,nearest
sce,Redman,0.8750347222222222,1,1,False,0.0,0.0,7.993739,7.993739,0.0,nearest
sce,Redondo,9.013020833333334,1,1,False,0.0,0.0,0.025547,0.025547,0.0,nearest
sce,Repetto,28.117604166666666,1,1,False,0.0,0.0,0.056936,0.056936,0.0,nearest
sce,Rialto,7.306770833333333,1,1,False,0.0,0.0,0.016692,0.016692,0.0,nearest
sce,Ridgecrest,2.379513888888889,1,1,False,0.0,0.0,1.503174,1.503174,0.0,nearest
sce,Rio Hondo,99.5859375,2,2,False,0.0,0.0,3.0768164999999996,3.0768164999999996,0.0,nearest
sce,Ripley,2.5044097222222224,1,1,False,0.0,0.0,9.792655,9.792655,0.0,nearest
sce,Ritter Ranch,1.1291666666666667,1,1,False,0.0,0.0,3.244633,3.244633,0.0,nearest
sce,Rivera,5.859895833333334,1,1,False,0.0,0.0,0.008037,0.008037,0.0,nearest
sce,Riverway,23.19472222222222,1,1,False,0.0,0.0,0.016478,0.016478,0.0,nearest
sce,Roadway,11.187326388888888,1,1,False,0.0,0.0,0.084958,0.084958,0.0,nearest
sce,Rolling Hills,24.868506944444444,1,1,False,0.0,0.0,0.01146,0.01146,0.0,nearest
sce,Rosamond,8.257465277777778,1,1,False,0.0,0.0,8.054144,8.054144,0.0,nearest
sce,Rosemead,34.324930555555554,1,1,False,0.0,0.0,0.045886,0.045886,0.0,nearest
sce,Royal,36.709374999999994,1,1,False,0.0,0.0,0.105813,0.105813,0.0,nearest
sce,Rubidoux,3.102222222222222,1,1,False,0.0,0.0,3.881237,3.881237,0.0,nearest
sce,Running Springs,4.811805555555555,1,1,False,0.0,0.0,0.025834,0.025834,0.0,nearest
sce,Rush,19.24670138888889,1,1,False,0.0,0.0,0.001564,0.001564,0.0,nearest
sce,San Antonio,54.50486111111111,1,1,False,0.0,0.0,0.052702,0.052702,0.0,nearest
sce,San Bernardino,42.724895833333335,1,1,False,0.0,0.0,0.10324,0.10324,0.0,nearest
sce,San Dimas,30.297847222222224,1,1,False,0.0,0.0,0.106449,0.106449,0.0,nearest
sce,San Fernando,15.323541666666667,1,1,False,0.0,0.0,0.135791,0.135791,0.0,nearest
sce,San Gabriel,6.972708333333333,1,1,False,0.0,0.0,0.022111,0.022111,0.0,nearest
sce,San Marcos,23.002118055555556,1,1,False,0.0,0.0,5.05096,5.05096,0.0,nearest
sce,San Marino,2.9302430555555556,1,1,False,0.0,0.0,1.737953,1.737953,0.0,nearest
sce,San Miguel,39.21489583333333,1,1,False,0.0,0.0,0.018182,0.018182,0.0,nearest
sce,San Vicente,1.7057756597222222,1,1,False,0.0,0.0,1.593991,1.593991,0.0,nearest
sce,Santa Barbara,37.73548611111111,1,1,False,0.0,0.0,0.040683,0.040683,0.0,nearest
sce,Santa Fe Springs,31.99513888888889,1,1,False,0.0,0.0,0.015127,0.015127,0.0,nearest
sce,Santa Monica,31.791874999999997,1,1,False,0.0,0.0,0.032488,0.032488,0.0,nearest
sce,Santa Rosa,78.29277777777777,1,1,False,0.0,0.0,0.123697,0.123697,0.0,nearest
sce,Santa Susana,52.1709375,1,1,False,0.0,0.0,0.110868,0.110868,0.0,nearest
sce,Santiago,147.23552083333334,1,1,False,0.0,0.0,0.042982,0.042982,0.0,nearest
sce,Saticoy,31.20861111111111,1,1,False,0.0,0.0,0.059524,0.059524,0.0,nearest
sce,Saugus,105.53527777777778,1,1,False,0.0,0.0,0.146079,0.146079,0.0,nearest
sce,Savage,41.154895833333335,1,1,False,0.0,0.0,0.16246,0.16246,0.0,nearest
sce,Sawtelle,5.050972222222223,1,1,False,0.0,0.0,0.031734,0.031734,0.0,nearest
sce,Seabright,3.936319444444445,1,1,False,0.0,0.0,0.131484,0.131484,0.0,nearest
sce,Searles,0.0,1,1,False,0.0,0.0,7.586825,7.586825,0.0,nearest
sce,Second Avenue,1.3229166666666667,1,1,False,0.0,0.0,0.114777,0.114777,0.0,nearest
sce,Sepulveda,7.953819444444444,1,1,False,0.0,0.0,0.021139,0.021139,0.0,nearest
sce,Shandin,37.88270833333333,1,1,False,0.0,0.0,0.078981,0.078981,0.0,nearest
sce,Shawnee,34.6634375,1,1,False,0.0,0.0,0.148776,0.148776,0.0,nearest
sce,Sherwin,1.2119444444444445,1,1,False,0.0,0.0,22.608692,22.608692,0.0,nearest_voltage_fallback
sce,Shuttle,33.74413194444444,1,1,False,0.0,0.0,0.118716,0.118716,0.0,nearest
sce,Sierra Madre,2.480486111111111,1,1,False,0.0,0.0,0.005784,0.005784,0.0,nearest
sce,Signal Hill,9.2740625,1,1,False,0.0,0.0,0.011895,0.011895,0.0,nearest
