utility,substation_name,latitude,longitude,voltage_kv,substation_type,sys_name,division,subst_id,existing_gen,queued_gen,total_gen,projected_load,der_penetration,max_remain_cap,circuit_count,res_pct,com_pct,agr_pct,ind_pct,other_pct,res_total,com_total,agr_total,ind_total,other_total,note_sub,existing_der,net_min_daytime_load_mw,is_pt,in_clean,cats_bus_i,cats_kv,cats_lat,cats_lon,cats_dist_km,cats_matched
pge,ZAMORA,38.77465430165772,-121.85821418077823,12.0,,,Sacramento,6319.0,1.385,1.385,2.77,,,,2.0,,,,,,,,,,,No,,,False,True,1485,66,38.80928378,-121.7450948,10.532938430273028,False
pge,DEEPWATER,38.55140495900723,-121.55981764661082,12.0,,,Sacramento,6362.0,9.11,12.418,21.528,,,,2.0,,,,,,,,,,,No,,,False,True,2109,66,38.56753222,-121.5688412,1.9573993339729934,True
pge,WOLFE,37.33477745536544,-122.02082362284114,12.0,,,De Anza,8367.0,1.161,1.21,2.371,,,,3.0,,,,,,,,,,,No,,,False,True,1264,115,37.33443633,-122.0206064,0.042516198285366014,True
pge,WILLITS,39.40550748378168,-123.32695422926648,12.0,,,Humboldt,4266.0,4.332,6.014,10.346,,,,2.0,,,,,,,,,,,Yes,,,False,True,1581,66,39.40558966,-123.3270796,0.014125178001203224,True
pge,LOGAN CREEK,39.53921325844442,-122.2628031886025,21.0,,,North Valley,10314.0,5.519,16.362,21.881,,,,1.0,,,,,,,,,,,No,,,False,True,154,230,39.53951119,-122.2630509,0.03935364296967352,True
pge,PENRYN,38.84486110184167,-121.16643199707649,12.0,,,Sierra,15256.0,13.941,14.929,28.87,,,,2.0,,,,,,,,,,,No,,,False,True,752,66,38.84450412,-121.1665604,0.04122278553491177,True
pge,EAST STOCKTON,37.96312284092296,-121.26093352398566,4.16,,,Stockton,16313.0,6.12,6.448,12.568,,,,2.0,,,,,,,,,,,No,,,False,True,1144,66,37.96293399,-121.261635,0.06498276542372138,True
pge,LE GRAND,37.18467134480297,-120.27370723472944,12.0,,,Yosemite,25536.0,2.749,7.826,10.575,,,,1.0,,,,,,,,,,,No,,,False,True,613,115,37.18497687,-120.2739551,0.04045123399671867,True
pge,WEBER,37.91977787523238,-121.24063827031146,12.0,,,Stockton,16348.0,2.243,6.744,8.987,,,,4.0,,,,,,,,,,,No,,,False,True,8829,66,37.9198224,-121.2403159,0.02870798856694029,True
pge,OREGON TRAIL,40.61899130155303,-122.3221442755599,12.0,,,North Valley,10352.0,5.043,5.649,10.692,,,,2.0,,,,,,,,,,,No,,,False,True,7647,115,40.61900976,-122.3220492,0.008282999560140251,True
pge,MC CALL,36.6103052673948,-119.63836125979108,12.0,,,Fresno,25412.0,7.264,8.124,15.388,,,,2.0,,,,,,,,,,,No,,,False,True,8573,230,36.61081221,-119.6391792,0.092236227319334,True
pge,BALFOUR,37.926180349016605,-121.67855023269668,12.0,,,Diablo,1432.0,1.396,1.65,3.046,,,,1.0,,,,,,,,,,,No,,,False,True,79,66,37.92583801,-121.678276,0.04502895977875484,True
pge,MOUNTAIN QUARRIES,38.91439251858,-121.01899061136776,21.0,,,Sierra,15228.0,11.362,12.095,23.457,,,,1.0,,,,,,,,,,,No,,,False,True,102,66,38.91406597,-121.0189822,0.03631783751107611,True
pge,SANGER,36.70772235449084,-119.61086419533504,12.0,,,Fresno,25235.0,7.467,7.914,15.381,,,,2.0,,,,,,,,,,,No,,,False,True,8460,115,36.70726213,-119.6108905,0.051228324762274076,True
pge,SARANAP,37.8949912204196,-122.07469961303588,4.16,,,Diablo,1356.0,0.529,0.541,1.07,,,,1.0,,,,,,,,,,,No,,,False,True,2146,66,37.89510414,-122.0737283,0.08615073329550495,True
pge,CALFLAX,36.28387686148028,-120.12208024379596,12.0,,,Fresno,25344.0,2.065,2.065,4.13,,,,1.0,,,,,,,,,,,No,,,False,True,119,66,36.28400837,-120.122075,0.014630632031866488,True
pge,SUNOL,37.58689135859106,-121.86962721571362,12.0,,,Mission,1424.0,1.472,1.661,3.133,,,,1.0,,,,,,,,,,,Yes,,,False,True,21,115,37.58690266,-121.869684,0.0051588922188070836,True
