osm_display_name,osm_original_name,osm_operator,match_type,match_source,match_util,matched_name,dist_km,osm_lat,osm_lon,osm_id,osm_type
Lakeville Substation,Lakeville Substation,Pacific Gas and Electric Company,name,IOU,pge,LAKEVILLE,,38.2508462,-122.5810974,29426718,way
Lakewood Substation,Lakewood Substation,Pacific Gas and Electric Company,name,IOU,pge,LAKEWOOD,0.021,37.9086401,-122.0573841,35763516,way
Lammers Substation,Lammers Substation,Pacific Gas and Electric Company,name,IOU,pge,LAMMERS,,37.713103,-121.4778009,152390122,way
Las Positas Substation,Las Positas Substation,Pacific Gas and Electric Company,name,IOU,pge,LAS POSITAS,,37.7005872,-121.7334824,865190320,way
Las Pulgas Substation,Las Pulgas Substation,Pacific Gas and Electric Company,name,IOU,pge,LAS PULGAS,0.033,37.462898,-122.2278663,240585981,way
Lawrence Substation,Lawrence Substation,Pacific Gas and Electric Company,name,IOU,pge,LAWRENCE,,37.3273332,-121.9961505,392311411,way
Livermore Substation,Livermore Substation,Western Area Power Administration,name,IOU,pge,LIVERMORE,,37.6934358,-121.6951878,24283011,way
Lockeford Substation,Lockeford Substation,Pacific Gas and Electric Company,name,IOU,pge,LOCKEFORD,,38.1177245,-121.160115,151287400,way
Logan Creek Substation,Logan Creek Substation,,name,IOU,pge,LOGAN CREEK,,39.5395079,-122.2630176,181693225,way
Logan Creek Substation,Logan Creek Substation,Pacific Gas and Electric Company,name,IOU,pge,LOGAN CREEK,,39.5395079,-122.2630176,964460924,way
Lone Tree Substation,Lone Tree Substation,,name,IOU,pge,LONE TREE,,40.8196411,-117.2309008,163037209,way
Lone Tree Substation,Lone Tree Substation,Pacific Gas and Electric Company,name,IOU,pge,LONE TREE,,37.9461825,-121.7597517,1155654407,way
Los Ositos Substation,Los Ositos Substation,,name,IOU,pge,LOS OSITOS,,36.2937295,-121.2001133,233151744,way
Magunden Substation,Magunden Substation,Southern California Edison,name,IOU,pge,MAGUNDEN,,35.3611831,-118.9227967,168525615,way
Magunden Substation,Magunden Substation,Pacific Gas and Electric Company,name,IOU,pge,MAGUNDEN,,35.3620874,-118.9232947,1164918125,way
Manteca Substation,Manteca Substation,Pacific Gas and Electric Company,name,IOU,pge,MANTECA,,37.8009471,-121.2242723,152353500,way
Martell Substation,Martell Substation,Pacific Gas and Electric Company,name,IOU,pge,MARTELL,,38.3691227,-120.7967676,1276250545,way
Meadow Lane Substation,Meadow Lane Substation,Pacific Gas and Electric Company,name,IOU,pge,MEADOW LANE,,37.963166,-122.0522357,65501703,way
Mesa Substation,Mesa Substation,Pacific Gas and Electric Company,name,IOU,pge,MESA,0.080,35.0083488,-120.4530998,182102249,way
Midway Substation,Midway Substation,Pacific Gas and Electric Company,name,IOU,pge,MIDWAY,,35.4029429,-119.4522985,24333232,way
Midway Substation,Midway Substation,Imperial Irrigation District,name,IOU,pge,MIDWAY,,33.1922938,-115.4345258,166649170,way
Millbrae Substation,Millbrae Substation,Pacific Gas and Electric Company,name,IOU,pge,MILLBRAE,,37.6056261,-122.3915473,24606412,way
Milpitas Substation,Milpitas Substation,,name,IOU,pge,MILPITAS,,37.45755,-121.921329,120342208,way
Monroe Substation,Monroe Substation,Pacific Gas and Electric Company,name,IOU,pge,MONROE,,38.453201,-122.7442881,740851418,way
