name,owner_raw,type,status,latitude,longitude,county,city
Unknown - 4090,PG&E KERN,TAP,Operational,35.44161131,-119.08266984,Kern County,"Bakersfield, CA"
Unknown - 4091,PG&E NGBA,TAP,Operational,40.88907091,-124.04727461,Humboldt County,
Unknown - 4092,PG&E NGBA,TAP,Operational,38.49612639,-121.29788578,Sacramento County,Vineyard
Unknown - 4093,PG&E GBA,TAP,Operational,37.66736544,-120.92115795,Stanislaus County,Modesto
Unknown - 4094,PG&E NGBA,TAP,Operational,38.96933198,-122.06094361,Colusa County,
Wolfskill Tap,PG&E NGBA,TAP,Operational,38.22864299,-122.08038578,Solano County,Fairfield
Unknown - 4096,PG&E NGBA,TAP,Operational,40.58693583,-122.39572642,Shasta County,Redding
Unknown - 4097,PG&E NGBA,TAP,Operational,39.14856048,-121.68888438,Sutter County,
Unknown - 4098,PG&E FRESNO,TAP,Operational,36.61761191,-120.34305447,Fresno County,
Unknown - 4099,PG&E NGBA,TAP,Operational,38.61279629,-121.52329963,Sacramento County,Sacramento
Unknown - 4100,PG&E KERN,TAP,Operational,35.06295377,-119.06483009,Kern County,
Unknown - 4102,PG&E FRESNO,TAP,Operational,37.52164586,-120.78919914,Stanislaus County,Denair
Sutter-Vale Vista Tap,PG&E NGBA,TAP,Operational,38.63361888,-121.32818764,Sacramento County,Carmichael
Country Club 2 Tap,PG&E NGBA,TAP,Operational,38.60333491,-121.38584584,Sacramento County,Arden-Arcade
Geysers Tap 2,PG&E NGBA,TAP,Operational,38.76715287,-122.76151977,Sonoma County,
Unknown - 4109,PG&E GBA,TAP,Operational,37.90403648,-122.29117651,Contra Costa County,El Cerrito
Unknown - 4111,PG&E FRESNO,TAP,Operational,37.12690667,-120.14716079,Madera County,
Unknown - 4112,PG&E NGBA,TAP,Operational,39.4917545,-121.53994508,Butte County,South Oroville
Unknown - 4114,PG&E NGBA,TAP,Operational,40.42581845,-120.68634144,Lassen County,
Unknown - 4115,PG&E GBA,TAP,Operational,37.76443318,-122.40733951,San Francisco County,San Francisco
Unknown - 4116,PG&E GBA,TAP,Operational,36.96078204,-122.0313788,Santa Cruz County,Santa Cruz
Unknown - 4118,PG&E GBA,SUBSTATION,Operational,38.12814546,-121.83103706,Solano County,
Unknown - 4120,PG&E NGBA,SUBSTATION,Operational,39.81763374,-120.47347283,Plumas County,Portola
Unknown - 4123,PG&E GBA,RISER,Operational,37.72178953,-122.16568094,Alameda County,San Leandro
Unknown - 4126,PG&E GBA,SUBSTATION,Operational,38.23559526,-121.13750037,San Joaquin County,
Skaggs Island Junction 2,PG&E NGBA,SUBSTATION,Operational,38.15267502,-122.38098475,Solano County,
Unknown - 4133,PG&E NGBA,SUBSTATION,Operational,39.10549226,-122.10995193,Colusa County,
Halsey - (PG&E NGBA),PG&E NGBA,SUBSTATION,Operational,38.9569067,-121.0432567,Placer County,
Unknown - 4146,PG&E GBA,SUBSTATION,Operational,37.71033276,-120.96882339,Stanislaus County,
Unknown - 4148,PG&E KERN,SUBSTATION,Operational,35.14753882,-118.87861747,Kern County,
Unknown - 4152,PG&E NGBA,SUBSTATION,Operational,38.65387245,-121.35741492,Sacramento County,North Highlands
Unknown - 4156,PG&E NGBA,NOT AVAILABLE,Operational,38.65289768,-121.2644626,Sacramento County,Fair Oaks
Unknown - 4160,PG&E FRESNO,SUBSTATION,Operational,36.99763949,-119.70331378,Fresno County,
Unknown - 4162,PG&E NGBA,SUBSTATION,Operational,38.58136291,-121.38528285,Sacramento County,Arden-Arcade
Unknown - 4166,PG&E GBA,SUBSTATION,Operational,37.94926596,-121.27270894,San Joaquin County,Stockton
Unknown - 4167,PG&E KERN,SUBSTATION,Operational,35.10932016,-119.33127045,Kern County,
Unknown - 4170,PG&E NGBA,SUBSTATION,Operational,38.54559091,-121.34396386,Sacramento County,Rosemont
Unknown - 4172,PG&E GBA,NOT AVAILABLE,Operational,37.66777779,-120.95869885,Stanislaus County,Modesto
Unknown - 4173,PG&E FRESNO,SUBSTATION,Operational,36.72109749,-120.42205052,Fresno County,"Mendota, CA"
Unknown - 4177,PG&E NGBA,NOT AVAILABLE,Operational,38.41923488,-121.41762407,Sacramento County,Elk Grove
Unknown - 4179,PG&E KERN,NOT AVAILABLE,Operational,36.04371731,-120.09280855,Kings County,
Unknown - 4180,PG&E GBA,NOT AVAILABLE,Operational,37.63804769,-120.93914761,Stanislaus County,Modesto
Unknown - 4181,PG&E GBA,SUBSTATION,Operational,38.36969833,-120.94911719,Amador County,Ione
Lime Saddle - (PG&E NGBA),PG&E NGBA,SUBSTATION,Operational,39.70215459,-121.57383384,Butte County,
Unknown - 4183,PG&E GBA,SUBSTATION,Operational,36.97579817,-121.98074726,Santa Cruz County,Live Oak
Unknown - 4184,PG&E NGBA,SUBSTATION,Operational,38.6553529,-121.33738484,Sacramento County,Carmichael
Unknown - 4187,PG&E FRESNO,SUBSTATION,Operational,36.69610631,-119.73663848,Fresno County,Fresno
Unknown - 4191,PG&E NGBA,SUBSTATION,Operational,38.40916353,-121.41745214,Sacramento County,Elk Grove
Unknown - 4198,PG&E NGBA,SUBSTATION,Operational,39.13435325,-120.95324964,Placer County,
