utility,substation_name,util_lat,util_lon,basin_lat,basin_lon
pge,CAMDEN,36.44568692380856,-119.79886678890834,36.44598609096055,-119.79896661374448
pge,EUREKA E,40.793699357832445,-124.17955004886942,40.79343242207439,-124.1803134677917
pge,AVENAL,35.978183285259895,-120.1169296096175,,
pge,OAK,37.90115636063787,-122.28687516138622,37.90188336246642,-122.2863009581251
pge,LINDEN,38.0167719179122,-121.09611286247085,38.01698500755364,-121.09586298042954
pge,FRANKLIN,38.012370285670094,-122.26448472267798,38.01210700210434,-122.26432998479756
pge,SOLEDAD,36.42977626821583,-121.3324241495369,36.4296388113508,-121.33249626729054
pge,CALAVERAS CEMENT,38.17053149409406,-120.66845206163632,,
pge,18TH STREET,37.76111429249559,-122.4388699445812,,
pge,PETALUMA A,38.23437308284748,-122.63657806577606,38.23417000206364,-122.63622400296876
pge,RINCON,38.49018866904616,-122.66602642884762,38.49006768021555,-122.66607232599657
pge,FIREBAUGH,36.85079413120268,-120.4658435279364,36.85058109750191,-120.46637233049564
pge,PIT NO 1,40.990515571941216,-121.49747687310516,40.99103496354888,-121.49779162016772
pge,BERKELEY T,37.86457393824122,-122.25905444052576,,
pge,SOQUEL,,,36.98677959085639,-121.95104567646784
pge,OILFIELDS,35.956083731993004,-120.85149439691293,35.9564749662973,-120.85115276190712
pge,GRAYS FLAT,40.0221483161838,-121.063733200033,40.02241741879699,-121.06544554254224
pge,BALCH NO 1,36.90832240674941,-119.08622824128604,36.90898957181731,-119.08759344986868
pge,OAKLAND I,37.74773573727129,-122.17432143246587,37.79743896091407,-122.28073765446842
pge,PARKWAY,38.13810009221848,-122.20945720439109,38.13818918955193,-122.20911047771322
pge,CRESCENT MILLS,40.093925518711536,-120.91070330230104,,
pge,LUCERNE,39.11048704064002,-122.81284365571706,39.11038685603239,-122.81283817023412
pge,SF H (MARTIN),37.70424294017619,-122.40919513249818,37.70357715132619,-122.40953733134864
pge,CORONA,38.26512802531959,-122.6571608149265,38.26501270479249,-122.65736853423064
pge,SILVER,37.7292092119054,-122.41440058169415,,
pge,LAWNDALE,37.66284710325899,-122.44306917304786,37.66252369636041,-122.44259458446248
pge,EDES,37.738958386689234,-122.19406786917396,37.7386895431528,-122.19379906549648
pge,OCEAN,37.72329584444796,-122.45488992150584,,
pge,6TH AVENUE,37.78165946851242,-122.4647973814628,,
pge,VIEJO,36.578607210500685,-121.90842396908974,36.57837138389728,-121.90841786106006
pge,FORT BRAGG A,39.4353215496146,-123.79944585942631,39.434829296251486,-123.799384023294
pge,HALF MOON BAY,37.46904870806549,-122.4294538339823,37.46884721555426,-122.43012216506732
pge,KERCKHOFF,37.09207364074768,-119.55301276394894,37.09224609880732,-119.55266643410953
pge,SF E,37.75998246201988,-122.42031135616251,,
pge,CHOLAME,35.68629650117082,-120.33615099258384,,
pge,ANITA,39.81086776157862,-121.91991335854588,,
pge,SULLIVAN,37.68724547633245,-122.4717637101012,,
