name,owner_raw,type,status,latitude,longitude,county,city
Carrizo Gorge,SDG&E,SUBSTATION ASSUMED,,32.72151519,-116.26196826,San Diego,Boulevard
SDGE Hassayampa 500kV,SDG&E,SUBSTATION ASSUMED,,33.34584494,-112.85198884,Maricopa County,TONOPAH
Hoodoo Wash SDGE 500kV,SDG&E,SUBSTATION ASSUMED,,32.95407502,-113.48898875,ROLL,
SDGE Vine 69kV,SDG&E,SUBSTATION ASSUMED,,32.73875606,-117.17898593,San Diego County,SAN DIEGO
Quivira Basin,SDG&E,SUBSTATION,,32.76234491,-117.23195928,San Diego County,
Old Town 2,SDG&E,SUBSTATION,,32.77296647,-117.20322443,San Diego County,
La Jolla 4,SDG&E,SUBSTATION,,32.83922661,-117.27410654,San Diego County,
La Jolla 3,SDG&E,SUBSTATION,,32.83948008,-117.27418856,San Diego County,
Bird Rock 4,SDG&E,SUBSTATION,,32.81313915,-117.26864406,San Diego County,
Bird Rock 2,SDG&E,SUBSTATION,,32.81316606,-117.26852515,San Diego County,
Bird Rock 1,SDG&E,SUBSTATION,,32.81319266,-117.2684073,San Diego County,
Cardiff 1,SDG&E,SUBSTATION,,33.023799,-117.2803332,San Diego County,
Seaview,SDG&E,SUBSTATION,,32.9614373,-117.26511417,San Diego County,
Monarch Bay,SDG&E,SUBSTATION,,33.48574932,-117.72626828,Orange County,
Serra - SDG&E,SDG&E,SUBSTATION,,33.46361865,-117.65647667,Orange County,
Mansfield,SDG&E,SUBSTATION,,32.76290091,-117.11739558,San Diego County,
Tyrone,SDG&E,SUBSTATION,,32.7978308,-116.98829452,San Diego County,
Challenge - SDG&E,SDG&E,SUBSTATION,,32.75551853,-116.96455742,San Diego County,
Queen,SDG&E,SUBSTATION,,32.76187994,-116.96236308,San Diego County,
Garfield 3,SDG&E,SUBSTATION,,32.79510178,-116.98660665,San Diego County,
Bradley 3,SDG&E,SUBSTATION,,32.81873199,-116.95835471,San Diego County,
Bradley 2,SDG&E,SUBSTATION,,32.81877383,-116.9583558,San Diego County,
Helix View,SDG&E,SUBSTATION,,32.78164847,-116.98001636,San Diego County,
Montezuma,SDG&E,SUBSTATION,,32.77086129,-117.06905033,San Diego County,
La Mesa,SDG&E,SUBSTATION,,32.76721134,-117.02227129,San Diego County,
Via Del Norte,SDG&E,SUBSTATION,,32.82347767,-117.27417385,San Diego County,
Electric Avenue,SDG&E,SUBSTATION,,32.83031383,-117.27639833,San Diego County,
Soledad,SDG&E,SUBSTATION,,32.84962573,-117.25978102,San Diego County,
Azure,SDG&E,SUBSTATION,,32.84909757,-117.24857298,San Diego County,
Bahia Point,SDG&E,SUBSTATION,,32.77067567,-117.24599527,San Diego County,
Ski Beach,SDG&E,SUBSTATION,,32.76578774,-117.23350418,San Diego County,
Garnet - SDG&E,SDG&E,SUBSTATION,,32.80412744,-117.22531712,San Diego County,
South Oceanside,SDG&E,SUBSTATION,,33.17239424,-117.36042224,San Diego County,
Agua Lagoon,SDG&E,SUBSTATION,,33.15667913,-117.34961276,San Diego County,
Carlsbad 4,SDG&E,SUBSTATION,,33.16057376,-117.34379856,San Diego County,
Davis,SDG&E,SUBSTATION,,33.16529818,-117.34364831,San Diego County,
Vista Way,SDG&E,SUBSTATION,,33.18320442,-117.31826178,San Diego County,
Phillips,SDG&E,SUBSTATION,,33.18832635,-117.22945233,San Diego County,
Alta Vista,SDG&E,SUBSTATION,,33.19388314,-117.22397646,San Diego County,
Monte Vista,SDG&E,SUBSTATION,,33.18857101,-117.22209074,San Diego County,
Vista Terrace,SDG&E,SUBSTATION,,33.19435882,-117.22085852,San Diego County,
Buena 2,SDG&E,SUBSTATION,,33.17514962,-117.21236867,San Diego County,
Buena 1,SDG&E,SUBSTATION,,33.17504066,-117.21240057,San Diego County,
El Camino Hills,SDG&E,SUBSTATION,,33.19765399,-117.32163605,San Diego County,
Mimulus,SDG&E,SUBSTATION,,33.03097633,-117.1920854,San Diego County,
Roseville 3,SDG&E,SUBSTATION,,32.71980175,-117.22941088,San Diego County,
Roseville 1,SDG&E,SUBSTATION,,32.71976785,-117.22949715,San Diego County,
Roseville 2,SDG&E,SUBSTATION,,32.7197848,-117.22945401,San Diego County,
La Jolla Farms,SDG&E,SUBSTATION,,32.88642401,-117.24417059,San Diego County,
El Secreto,SDG&E,SUBSTATION,,33.01748283,-117.21470124,San Diego County,
Ohio,SDG&E,SUBSTATION,,33.12518837,-117.07030823,San Diego County,
Grossmont,SDG&E,SUBSTATION,,32.77876626,-116.99400127,San Diego County,
Taylor - SDG&E,SDG&E,SUBSTATION,,33.22913744,-117.22669125,San Diego County,
Hawley,SDG&E,SUBSTATION,,33.2318073,-117.2289386,San Diego County,
De Anza,SDG&E,SUBSTATION,,32.79684833,-117.21648741,San Diego County,
Gesner,SDG&E,SUBSTATION,,32.79187802,-117.20551401,San Diego County,
Erlanger,SDG&E,SUBSTATION,,32.85100847,-117.19484593,San Diego County,
Burton,SDG&E,SUBSTATION,,32.78048882,-117.1720959,San Diego County,
Cass,SDG&E,SUBSTATION,,32.79587507,-117.25152237,San Diego County,
Ocasa,SDG&E,SUBSTATION,,32.85243357,-117.25469804,San Diego County,
Muirlands,SDG&E,SUBSTATION,,32.82758145,-117.2568997,San Diego County,
Country Club - SDG&E,SDG&E,SUBSTATION,,32.84226978,-117.26302395,San Diego County,
Morena 2,SDG&E,SUBSTATION,,32.78909247,-117.2053157,San Diego County,
Morena 1,SDG&E,SUBSTATION,,32.78894197,-117.20534195,San Diego County,
La Jolla Shores 1,SDG&E,SUBSTATION,,32.84540709,-117.24873629,San Diego County,
