utility,substation_name,util_lat,util_lon,cec_lat,cec_lon,type,status
pge,WALNUT CREEK,37.904820730988014,-122.06085617174196,37.90479707,-122.0609477,SUBSTATION,Operational
pge,ATWATER,37.3600903184248,-120.61458852452108,37.3600959,-120.61467187,SUBSTATION,Operational
pge,HERDLYN,37.81698475446724,-121.58716994811228,37.81671545,-121.58615233,SUBSTATION,Operational
pge,VALLEY HOME,37.85608548958504,-120.94440964637616,37.85642153,-120.94441317,SUBSTATION,Operational
pge,WEST FRESNO,36.71798260214739,-119.81904246829367,36.71816864,-119.81899178,SUBSTATION,Operational
pge,RICE,39.402405951136096,-122.0140123123825,39.40274207,-122.01325134,SUBSTATION,Operational
pge,ELK HILLS,35.226241139395945,-119.37663775129045,35.22606173,-119.37659065,SUBSTATION,Operational
pge,CARRIZO PLAINS,35.381017002802906,-120.04015761995842,35.38067665,-120.04018164,SUBSTATION,Operational
pge,KERN OIL,35.44071661874439,-119.02040105128609,35.44070065,-119.02072362,SUBSTATION,Operational
pge,CORNING,39.932572768315495,-122.18734884261642,39.93242638,-122.18757622,SUBSTATION,Operational
pge,BANGOR,39.38796688540241,-121.40298390629762,39.38766858,-121.40316244,SUBSTATION,Operational
pge,TYLER,40.13845382134672,-122.20839746763076,40.1384696,-122.2088274,SUBSTATION,Operational
pge,CORCORAN,36.1097291421788,-119.55733517121652,36.10939596,-119.55718007,SUBSTATION,Operational
pge,SANTA YNEZ,34.62552143506068,-120.11931589174262,34.6251963,-120.11934013,SUBSTATION,Operational
pge,BERKELEY F,37.87234225189556,-122.27809421905329,37.8724246,-122.27815591,SUBSTATION,Operational
pge,KINGSBURG,36.4886216034969,-119.5824905378176,36.4884271,-119.58247758,SUBSTATION,Operational
pge,VIERRA,37.79819570487165,-121.2743535358029,37.79784999,-121.27420395,SUBSTATION,Operational
pge,GARBERVILLE,40.10337464980182,-123.7925248171206,40.10300285,-123.7928637,SUBSTATION,Operational
pge,DEL MONTE,36.59919530577832,-121.85414882424809,36.59823294,-121.85302316,SUBSTATION,Operational
pge,ANDERSON,40.4500398913538,-122.3047386818897,40.44972895,-122.30503235,SUBSTATION,Operational
pge,KNIGHTS LANDING,38.80894434056115,-121.74638901920422,38.8092787,-121.74508156,SUBSTATION,Operational
pge,PEASE,39.17017321175534,-121.66111558856706,39.17022737,-121.66129627,SUBSTATION,Operational
pge,REEDLEY,36.604246761895766,-119.37597494144654,36.60434214,-119.37619576,SUBSTATION,Operational
pge,RENFRO,35.3871335591251,-119.1642609395004,35.38771444,-119.16408206,SUBSTATION,Operational
pge,PLEASANT GROVE,38.82203193935343,-121.30628841171048,38.8220853,-121.30652765,SUBSTATION,Operational
pge,CLOVERDALE,38.79708983960812,-123.01056995209038,38.79714659,-123.01027341,SUBSTATION,Operational
pge,SISQUOC,34.87888609675112,-120.3307559903573,34.87859381,-120.33066486,SUBSTATION,Operational
pge,LOCKEFORD,38.11719384065125,-121.16028330539748,38.11774302,-121.16054706,SUBSTATION,Operational
pge,COLUMBUS,35.39851810200948,-118.93981268255826,35.3984006,-118.93986814,SUBSTATION,Operational
pge,SILVERADO,38.49997654207099,-122.45894388782744,38.49981294,-122.45909737,SUBSTATION,Operational
pge,SAN PABLO,37.98592857019798,-122.33656746665152,37.98529144,-122.33681203,SUBSTATION,Operational
pge,BRITTON,37.37491569242551,-122.01651663969916,37.37455725,-122.01635278,SUBSTATION,Operational
pge,ALTO,37.898563217546894,-122.5246426549278,37.89862256,-122.52459298,SUBSTATION,Operational
pge,RACETRACK,37.97990732524795,-120.41350998469224,37.97990568,-120.41416513,SUBSTATION,Operational
pge,CHEROKEE,38.00576000998228,-121.23810008766183,38.00550694,-121.23799594,SUBSTATION,Operational
pge,BONNIE NOOK,39.21451033170248,-120.80959918082056,39.21470268,-120.80927931,SUBSTATION,Operational
pge,DIXON,38.44526066389723,-121.82592500657064,38.44524532,-121.8260066,SUBSTATION,Operational
pge,BUCKS CREEK,39.91160243296182,-121.32682793665592,39.98640208,-121.28388784,SUBSTATION,Operational
pge,DEVILS DEN,35.77577482106427,-119.97369007248874,35.7750034,-119.97377632,SUBSTATION,Operational
pge,COPUS,35.09340403050877,-119.27870217911948,35.09338517,-119.27892406,SUBSTATION,Operational
pge,BERESFORD,37.56455256555905,-122.31946336534357,37.56488772,-122.31929883,SUBSTATION,Operational
pge,GEYSERVILLE,38.70995941018712,-122.9076911568436,38.70980841,-122.90796625,SUBSTATION,Operational
pge,COVELO,39.78636157593041,-123.24873746443508,39.78611124,-123.24853337,SUBSTATION,Operational
pge,MORMON,37.96829976020206,-121.18544225637552,37.96883294,-121.18596995,SUBSTATION,Operational
pge,WINTERS,38.51671294425671,-121.95185421086413,38.51759553,-121.95113858,SUBSTATION,Operational
