name,owner_raw,type,status,latitude,longitude,county,city
Unknown - 3495,SCE NOL,TAP,Operational,34.25778673,-116.86622263,San Bernardino County,Big Bear Lake
Unknown - 3496,SCE Metro,TAP,Operational,34.09221079,-117.68643653,San Bernardino County,Montclair
Unknown - 3497,SCE Northern,TAP,Operational,34.20172413,-119.14204385,Ventura County,Oxnard
Unknown - 3498,SCE Metro,TAP,Operational,34.00255613,-117.88735335,Los Angeles County,Industry
Unknown - 3507,SCE NOL,TAP,Operational,35.018033,-117.56601385,San Bernardino County,
Unknown - 3516,SCE Metro,TAP,Operational,33.97250715,-118.12099284,Los Angeles County,Downey
Unknown - 3521,SCE Metro,TAP,Operational,33.86171817,-118.28447782,Los Angeles County,Los Angeles
Unknown - 3525,SCE Eastern,TAP,Operational,33.15471511,-115.64027633,Imperial County,
Unknown - 3526,SCE Northern,TAP,Operational,36.21092232,-119.21533147,Tulare County,
Unknown - 3527,SCE Metro,TAP,Operational,33.74876237,-117.92893905,Orange County,Santa Ana
Unknown - 3528,SCE Northern,TAP,Operational,34.19844814,-118.38761079,Los Angeles County,Los Angeles
Unknown - 3532,SCE Metro,TAP,Operational,34.02267514,-118.08789584,Los Angeles County,Montebello
Unknown - 3533,SCE Metro,TAP,Operational,34.01872759,-117.55810755,Riverside County,Eastvale
Stent Tap,SCE Eastern,TAP,Operational,33.51805969,-117.15918166,Riverside County,Temecula
Unknown - 3539,SCE,TAP,Operational,33.64322817,-117.95645789,Orange County,Huntington Beach
Unknown - 3548,SCE Northern,TAP,Operational,36.22541698,-119.23338045,Tulare County,
Unknown - 3550,SCE NOL,TAP,Operational,34.6370089,-117.17166515,San Bernardino County,
SS3145 Eagle Rock Tap 1,SCE Metro,TAP,Operational,34.11828517,-118.23204908,Los Angeles County,Los Angeles
Unknown - 3553,SCE Metro,TAP,Operational,33.80814317,-118.17181784,Los Angeles County,Signal Hill
Unknown - 3554,SCE NOL,TAP,Operational,34.73996899,-117.3215709,San Bernardino County,
Unknown - 3556,SCE Metro,TAP,Operational,33.88022308,-118.33535501,Los Angeles County,Alondra Park
Unknown - 3557,SCE Eastern,TAP,Operational,34.12120709,-117.45344494,San Bernardino County,Fontana
Glendale South Tap 5,SCE Metro,TAP,Operational,34.11475449,-118.24585351,Los Angeles County,Los Angeles
Unknown - 3560,SCE Eastern,TAP,Operational,33.1767231,-115.56700735,Imperial County,
Unknown - 3587,SCE Metro,RISER,Operational,33.88047415,-118.04725686,Los Angeles County,Cerritos
Unknown - 3588,SCE Metro,RISER,Operational,34.18450813,-118.32557179,Los Angeles County,Burbank
Unknown - 3590,SCE Eastern,RISER,Operational,34.08453665,-117.32703426,San Bernardino County,Colton
Unknown - 3593,SCE Northern,NOT AVAILABLE,Operational,34.33802231,-118.51180891,Los Angeles County,
Unknown - 3594,SCE Metro,NOT AVAILABLE,Operational,34.09916017,-118.08192755,Los Angeles County,San Gabriel
Unknown - 3595,SCE Metro,RISER,Operational,34.18479013,-118.34340778,Los Angeles County,Burbank
Unknown - 3596,SCE Eastern,NOT AVAILABLE,Operational,33.92177007,-116.58035811,Riverside County,Palm Springs
Unknown - 3597,SCE NOL,SUBSTATION,Operational,37.33663103,-118.48190017,Inyo County,
