utility,substation_name,util_lat,util_lon,cec_lat,cec_lon,type,status
sce,Shandin,34.16994214942746,-117.33110163065926,34.16997564,-117.3302324,SUBSTATION,Operational
sce,Sepulveda,33.918899996678014,-118.3965350030493,33.91903321,-118.3966803,SUBSTATION,Operational
sce,Searles,35.699336804497015,-117.39879756375676,35.70011846,-117.39873637,SUBSTATION,Operational
sce,Seabright,33.77328789189247,-118.20462787528702,33.77252613,-118.20352287,SUBSTATION,Operational
sce,Sawtelle,34.04774706504476,-118.45220285469668,34.04745687,-118.4521846,SUBSTATION,Operational
sce,Savage,34.472798199734534,-117.2935258989958,34.47409784,-117.29431177,SUBSTATION,Operational
sce,Saugus,34.42305042378108,-118.57679738680848,34.42198163,-118.57581456,SUBSTATION,Operational
sce,Saticoy,34.30084292118649,-119.16720835318044,34.30060775,-119.16661107,SUBSTATION,Operational
sce,Santiago,33.66524066144334,-117.76821018473662,33.66490015,-117.76800793,SUBSTATION,Operational
sce,Santa Susana,34.2805606995611,-118.71705922310277,34.27955904,-118.71707383,SUBSTATION,Operational
sce,Santa Monica,34.01748553897002,-118.48837874947888,34.01725219,-118.48814686,SUBSTATION,Operational
sce,Santa Fe Springs,33.94812011161199,-118.0586989805832,33.94806215,-118.05853586,SUBSTATION,Operational
sce,Santa Barbara,34.4231526249233,-119.68520108969594,34.42330996,-119.68558628,SUBSTATION,Operational
sce,San Marino,34.12812802631122,-118.09832528955953,34.12808488,-118.09933085,SUBSTATION ASSUMED,Operational
sce,San Gabriel,34.09850199548855,-118.1001490050346,34.09869394,-118.10017112,SUBSTATION,Operational
sce,San Fernando,34.27478288631888,-118.45894781084884,34.27356537,-118.45876094,SUBSTATION,Operational
sce,San Dimas,34.11660000071743,-117.80873800332525,34.11717613,-117.80780687,SUBSTATION,Operational
sce,San Bernardino,34.07996331212228,-117.23764594241688,34.07960241,-117.2386418,SUBSTATION,Operational
sce,San Antonio,34.09336562452708,-117.69790411356152,34.09296863,-117.69757045,SUBSTATION,Operational
sce,Rush,34.051221002841935,-118.08136399436002,34.05121358,-118.08133509,SUBSTATION,Operational
sce,Running Springs,34.20782205626276,-117.10405510824,34.20804492,-117.10398786,SUBSTATION,Operational
sce,Rubidoux,33.99901674325448,-117.41596904208612,33.99924246,-117.41556634,SUBSTATION,Operational
sce,Royal,34.278596208813866,-118.78059293222798,34.27842849,-118.77944604,SUBSTATION,Operational
sce,Rosemead,34.09258860183599,-118.08287914257627,34.0922136,-118.08264665,SUBSTATION,Operational
sce,Rosamond,34.86447300163328,-118.23732500206653,34.86427636,-118.23731883,SUBSTATION,Operational
sce,Rolling Hills,33.80827080158421,-118.35497637711136,33.80836548,-118.3549965,SUBSTATION,Operational
sce,Roadway,34.57597041904508,-117.4122559950478,34.57593805,-117.41313724,SUBSTATION,Operational
sce,Riverway,36.35737818036574,-119.31314832956446,36.35733214,-119.31295897,SUBSTATION,Operational
sce,Rivera,33.96955441808182,-118.10143727933446,33.96957649,-118.10134427,SUBSTATION,Operational
sce,Ripley,33.525370998885414,-114.65458711126404,33.52496165,-114.65592806,SUBSTATION,Operational
sce,Rio Hondo,34.10683585850969,-117.97812610626242,34.1051297,-117.98078743,SUBSTATION,Operational
sce,Ridgecrest,35.62681208164642,-117.67275024933278,35.62633946,-117.67288133,SUBSTATION,Operational
sce,Rialto,34.101252528071704,-117.36818289818122,34.10129954,-117.36834093,SUBSTATION,Operational
sce,Repetto,34.04784770004844,-118.16279259228568,34.04793766,-118.16217314,SUBSTATION,Operational
sce,Redondo,33.84817299949127,-118.3875900004199,33.84828386,-118.38781677,SUBSTATION,Operational
sce,Redman,34.762541999383984,-117.96856000517889,34.76317873,-117.96940477,SUBSTATION,Operational
sce,Redlands,34.06000384312288,-117.17642991233484,34.06037413,-117.17661655,SUBSTATION,Operational
sce,Rector,36.304677644129264,-119.24357248208328,36.30430053,-119.24455689,SUBSTATION,Operational
sce,Ravendale,34.122529169604334,-118.08118741963942,34.12177036,-118.08106229,SUBSTATION,Operational
sce,Randsburg,35.37985224320661,-117.65357256110528,35.36521858,-117.64743378,SUBSTATION,Operational
sce,Randall,34.11372910596103,-117.45481186020444,34.1137101,-117.45410792,SUBSTATION,Operational
sce,Rancho,34.51751221375964,-117.21422551149456,34.5175742,-117.21567013,SUBSTATION,Operational
sce,Railroad,33.99703410581549,-117.88747622105431,33.99709891,-117.8876909,SUBSTATION,Operational
sce,Quinn,35.73389725033108,-119.13117581127771,35.73285478,-119.12979581,SUBSTATION,Operational
sce,Puente,34.00890600193133,-117.93137300283362,34.00900607,-117.93041139,SUBSTATION,Operational
sce,Proctor,34.02182443022892,-117.96877702559684,34.02186538,-117.96903591,SUBSTATION,Operational
sce,Porterville,36.06795606180097,-119.03416632417655,36.06737889,-119.03468784,SUBSTATION,Operational
sce,Poplar,35.9941569999373,-119.14426699475146,35.99375884,-119.14408471,SUBSTATION,Operational
sce,Pomona,34.05836749677421,-117.75532947283664,34.05828402,-117.75526798,SUBSTATION,Operational
sce,Playa,34.40494329569494,-119.72827247807678,34.40415169,-119.726537,SUBSTATION,Operational
sce,Placentia,33.87119299998787,-117.87861599522375,33.87159231,-117.87862102,SUBSTATION,Operational
sce,Pixley,35.964856760229296,-119.30281667688432,35.96471575,-119.30334731,SUBSTATION,Operational
sce,Piute,34.69113700076236,-117.96875300134876,34.69065073,-117.96936056,SUBSTATION,Operational
sce,Pitman,37.20519869817524,-119.23958635760312,37.20543362,-119.24083372,SUBSTATION ASSUMED,Operational
sce,Pierpont,34.27390083589774,-119.24822507834864,34.27349368,-119.24753598,SUBSTATION ASSUMED,Operational
sce,Phelan,34.42508418296938,-117.5567109231738,34.42410617,-117.55571291,SUBSTATION,Operational
sce,Peyton,33.99551357968687,-117.73535806571996,33.99624112,-117.7333329,SUBSTATION,Operational
sce,Pepper,34.102737060728806,-117.3542788797898,34.10191737,-117.35349906,SUBSTATION,Operational
sce,Peerless,35.097878874168764,-117.79535170204684,35.09740984,-117.80030809,SUBSTATION,Operational
sce,Pedley,33.95853053680608,-117.52288257084442,33.95891912,-117.52270793,SUBSTATION,Operational
sce,Pechanga,33.49214943279386,-117.05640121088769,33.49095347,-117.06386861,SUBSTATION,Operational
