substation_name,substation_id,division,voltage_kv,num_banks,ungrounded_banks,existing_dg_kw,queued_dg_kw,total_dg_kw,redacted,longitude,latitude
PANOCHE,25367,Yosemite,12,1,,0,5050,5050,NO,-120.58017074552066,36.65147106321651
ANTELOPE,25202,Kern,12,1,1,3000,3000,6000,YES,-119.99680487400923,35.657909182784095
ARVIN,25380,Kern,12,1,,1897,2159,4056,NO,-118.87875605697371,35.14989859396815
TEMBLOR,25255,Kern,21,1,,3750,20773,24523,YES,-119.6964252470037,35.383198949735814
POINT MORETTI,08293,Central Coast,12,1,,1210,1394,2604,YES,-122.1886952521402,37.03115942213585
WATERLOO,16315,Stockton,12,1,1,5071,5474,10545,NO,-121.20945809220316,38.051315998773354
HIGHLANDS,04336,Humboldt,12,2,,4109,6352,10461,NO,-122.60907443594864,38.93697153956946
LOS OSITOS,18208,Central Coast,21,2,1,891,10135,11026,NO,-121.19982427087686,36.293861081093134
TAR FLAT,16324,Yosemite,4.16,1,,587,651,1238,NO,-120.37980694800358,37.984754978240844
FAIRHAVEN,19245,Humboldt,12,1,,1139,7688,8827,NO,-124.1961850487832,40.80053988251958
GUALALA,04284,Humboldt,12,2,2,1133,1349,2482,NO,-123.52264215716971,38.78608834746834
SANTA YNEZ,18272,Los Padres,12,2,,7109,7505,14614,NO,-120.11931589174262,34.62552143506068
STONE CORRAL,25292,Fresno,12,2,"2,3",2578,4139,6717,NO,-119.18808580526533,36.4725997946069
WILLOW PASS,01391,Diablo,21,2,1,19880,2050,21930,NO,-121.96117701573776,38.02501979007568
NEWMAN,16274,Yosemite,12,2,,3311,3377,6688,NO,-121.01443366157086,37.315811138560335
BUELLTON,18304,Los Padres,12,2,,3650,3795,7445,NO,-120.18655523536748,34.62516166893696
SEMITROPIC,25290,Kern,12,1,,2502,3282,5784,NO,-119.43750526887221,35.600617453739545
BLUE LAKE,19218,Humboldt,12,1,1,8,6012,6020,NO,-123.98025783924871,40.88014012907379
OREGON TRAIL,10352,North Valley,12,2,1,4810,5088,9898,NO,-122.3221442755599,40.61899130155303
TRES PINOS,18322,Central Coast,12,1,,1069,1264,2333,NO,-121.3195803556968,36.78439384314798
8TH AVENUE,01267,East Bay,4.16,1,,375,378,753,NO,-122.24202081133103,37.80064538752543
NARROWS,15313,Sierra,21,2,2,8372,9209,17581,NO,-121.26906719226429,39.235347065419134
BAYWOOD,18280,Los Padres,12,1,1,743,1757,2500,YES,-120.8115828504644,35.36100149108163
RESEARCH,01469,Diablo,21,1,,10817,12731,23548,NO,-121.96730288036213,37.7823591848183
CLEAR LAKE,04214,Humboldt,12,2,,6650,13863,20513,NO,-122.89345093801266,39.007758745598494
GEYSERVILLE,04289,Sonoma,12,2,2,5353,5616,10969,NO,-122.9076911568436,38.70995941018712
OAKHURST,25442,Yosemite,12,3,,1808,2691,4499,NO,-119.63425437090477,37.321751489665104
LOS COCHES,18215,Central Coast,12,1,,6830,10028,16858,NO,-121.27993696622349,36.36678536359205
FAMOSO,25246,Kern,12,1,,6960,8611,15571,NO,-119.20318663401906,35.60547527167606
LAKEVIEW,25341,Kern,12,2,,2560,4348,6908,NO,-119.10121328188974,35.09364619774964
FORESTHILL,15218,Sierra,12,1,1,1078,1208,2286,NO,-120.8293416806212,39.01998695236322
LAYTONVILLE,04268,Humboldt,12,1,,275,285,560,NO,-123.47704802021953,39.68493707127593
FORT SEWARD,19232,Humboldt,12,1,1,454,462,916,NO,-123.5966650918544,40.213926195853496
EVERGREEN,08201,San Jose,21,2,,4707,4860,9567,NO,-121.83997139739384,37.30352178997496
BROWNS VALLEY,15292,Sacramento,12,1,,1570,110,1680,NO,-121.42343570527576,39.22604998760262
OCEAN,02258,San Francisco,4.16,2,,1150,130,1280,NO,-122.45488992150585,37.72329584444796
SOLANO,01314,East Bay,4.16,2,,190,80,270,NO,-122.29229298057712,37.89093964397114
SF J,02222,San Francisco,4.16,2,,18440,30,18470,NO,-122.40203090580668,37.794094641981566
TARAVAL,02250,San Francisco,4.16,3,,670,50,720,NO,-122.49319808254324,37.74199971120542
ROB ROY,08369,Central Coast,21,1,1,13540,2440,15980,NO,-121.86712902180675,36.97944444856634
ARLINGTON,01370,East Bay,4.16,1,,1138,1233,2371,NO,-122.27297827230667,37.888979616807944
BERKELEY F,01206,East Bay,12,2,,8190,1830,10020,NO,-122.27809421905327,37.87234225189556
FELTON,08314,Central Coast,4.16,1,,0,0,0,NO,-122.0644545612008,37.04909053509473
BAIR,02426,Peninsula,12,2,,1180,2400,3580,NO,-122.21385362195383,37.49752040093773
GANSNER,10302,North Valley,12,1,1,763,763,1526,NO,-120.94862533012605,39.93961642118772
WATERSHED,02424,Peninsula,4.16,1,,0,0,0,YES,-122.31003681213177,37.48720723663254
DEVILS DEN,25345,Fresno,12,1,1,432,432,864,NO,-119.97369007248874,35.77577482106427
LOYOLA,08216,De Anza,12,2,,8335,9411,17746,NO,-122.09928092012728,37.36101855697285
ALLEGHANY,15210,Sierra,12,1,,64,64,128,NO,-120.84426368187933,39.465472208842606
ECHO SUMMIT,15803,Sierra,12,1,,6,6,12,YES,-120.0284989889445,38.82437656201053
