run,baseline,season,energy_relocated_pct,county_energy_relocated_pct,bus_hour_rmse_mw,bus_hour_nrmse_pct,mean_loaded_bus_mw_control,spearman_bus_energy,pearson_bus_energy,n_buses_control,n_buses_method,n_buses_both,jaccard_support,max_bus_gain_mwh,max_bus_loss_mwh,peak_bus_mw_control,peak_bus_mw_method,hourly_total_max_dev_mw
genx__reedsco__prox__aratio__static,genx__control,Spring,49.6651,14.4051,6.4087,73.4425,8.7261,0.403,0.3327,2471,3762,2460,0.652,9687.6,-18428.1,159.4,98.6,0.0
genx__stoch__catch__w2-mean__monthhour,genx__control,Spring,49.8472,17.6427,8.2367,94.3918,8.7261,0.4504,0.3511,2471,3621,2444,0.67,41602.1,-18022.5,159.4,404.2,0.0
genx__stoch__namecatch__w2-mean__monthhour,genx__control,Spring,49.6643,17.6473,8.0324,92.0503,8.7261,0.4505,0.3647,2471,3620,2446,0.6711,41574.0,-18023.1,159.4,403.9,0.0
genx__stoch__nameprox__w1g30top-mean__monthhour,genx__control,Spring,45.6168,17.4926,6.4454,73.8631,8.7261,0.4018,0.2942,2471,3430,2469,0.7194,18081.2,-18588.1,159.4,177.5,0.0
genx__stoch__prox__w1g30-d0__monthhour,genx__control,Spring,47.8809,17.3783,9.5106,108.9901,8.7261,0.6664,0.4131,2471,1694,1694,0.6856,40313.1,-18412.0,159.4,485.5,0.0
genx__stoch__prox__w1g30-d1__monthhour,genx__control,Spring,47.7131,17.411,9.5072,108.9508,8.7261,0.6686,0.4133,2471,1693,1693,0.6851,45028.6,-18399.0,159.4,549.2,0.0
genx__stoch__prox__w1g30-d2__monthhour,genx__control,Spring,47.8395,17.4669,9.6605,110.7084,8.7261,0.6643,0.4089,2471,1693,1693,0.6851,44812.0,-18413.4,159.4,739.7,0.0
genx__stoch__prox__w1g30-mean__monthhour,genx__control,Spring,47.7516,17.41,9.4583,108.3909,8.7261,0.6668,0.4162,2471,1693,1693,0.6851,41075.6,-18406.5,159.4,590.5,0.0
genx__stoch__prox__w1g30top-d0__monthhour,genx__control,Spring,43.8887,14.1718,6.4901,74.3761,8.7261,0.4604,0.3066,2471,3109,2470,0.7942,16619.3,-18605.9,159.4,204.2,0.0
genx__stoch__prox__w1g30top-d1__monthhour,genx__control,Spring,43.7886,14.2437,6.4858,74.3269,8.7261,0.4661,0.3062,2471,3107,2468,0.7936,18585.0,-18601.7,159.4,230.8,0.0
genx__stoch__prox__w1g30top-d2__monthhour,genx__control,Spring,43.9025,14.2876,6.5259,74.7861,8.7261,0.4643,0.3034,2471,3109,2470,0.7942,18492.9,-18606.8,159.4,310.8,0.0
genx__stoch__prox__w1g30top-mean__monthhour,genx__control,Spring,43.8054,14.2614,6.4735,74.1858,8.7261,0.4656,0.3087,2471,3109,2470,0.7942,16923.0,-18604.3,159.4,248.1,0.0
genx__stoch__prox__w2-d0__monthhour,genx__control,Spring,20.565,7.9582,5.3635,61.4644,8.7261,0.757,0.6699,2471,2468,2468,0.9988,24331.6,-18542.2,159.4,299.1,0.0
genx__stoch__prox__w2-d1__monthhour,genx__control,Spring,20.4979,7.8839,5.3569,61.3895,8.7261,0.7585,0.6693,2471,2468,2468,0.9988,27195.8,-18534.2,159.4,339.3,0.0
genx__stoch__prox__w2-d2__monthhour,genx__control,Spring,20.618,8.0201,5.4581,62.5491,8.7261,0.756,0.6654,2471,2470,2470,0.9996,27064.0,-18543.4,159.4,453.6,0.0
genx__stoch__prox__w2-mean__monthhour,genx__control,Spring,20.4847,7.9521,5.3253,61.0269,8.7261,0.7577,0.6721,2471,2468,2468,0.9988,24789.0,-18539.2,159.4,363.7,0.0
genx__env__prox__hold__monthhour,genx__control,Fall,20.8831,8.7164,7.3368,62.6876,11.7038,0.7563,0.6626,2471,2468,2468,0.9988,26957.0,-24960.1,211.1,509.8,0.0
genx__env__prox__hold__static,genx__control,Fall,20.3139,7.6771,6.5054,55.5841,11.7038,0.7593,0.6798,2471,2468,2468,0.9988,25563.4,-24886.1,211.1,216.3,0.0
genx__reedsco__catch__aratio__monthhour,genx__control,Fall,50.4831,14.4081,10.2082,87.2213,11.7038,0.3916,0.336,2471,3706,2435,0.6507,24393.4,-23794.7,211.1,325.0,0.0
genx__reedsco__namecatch__aratio__monthhour,genx__control,Fall,50.9018,14.4088,10.2924,87.9404,11.7038,0.3869,0.3209,2471,3706,2437,0.6516,21196.1,-23999.8,211.1,254.3,0.0
genx__reedsco__nameprox__aratio__monthhour,genx__control,Fall,48.1479,14.404,8.732,74.608,11.7038,0.4046,0.3441,2471,3759,2462,0.6534,11656.1,-24804.6,211.1,150.4,0.0
genx__reedsco__prox__a0__monthhour,genx__control,Fall,58.8478,14.4089,15.702,134.1622,11.7038,0.4577,0.2326,2471,1177,1076,0.4184,110720.4,-24664.8,211.1,937.7,0.0
genx__reedsco__prox__a0__static,genx__control,Fall,58.5765,14.4091,14.897,127.2838,11.7038,0.456,0.2362,2471,1177,1076,0.4184,111059.4,-24664.8,211.1,911.1,0.0
genx__reedsco__prox__aratio__monthhour,genx__control,Fall,49.7777,14.4035,8.8803,75.8758,11.7038,0.4034,0.3275,2471,3763,2461,0.6523,13317.7,-24804.6,211.1,266.3,0.0
genx__reedsco__prox__aratio__static,genx__control,Fall,49.6673,14.4034,8.6884,74.2356,11.7038,0.4025,0.3327,2471,3762,2460,0.652,12992.8,-24715.2,211.1,131.9,0.0
genx__stoch__catch__w2-mean__monthhour,genx__control,Fall,49.8392,18.5608,10.8074,92.3411,11.7038,0.4481,0.3464,2471,3617,2442,0.6698,30384.3,-24336.3,211.1,432.7,0.0
genx__stoch__namecatch__w2-mean__monthhour,genx__control,Fall,49.6929,18.5649,10.5791,90.3902,11.7038,0.4486,0.356,2471,3616,2444,0.6709,30363.9,-24336.6,211.1,282.6,0.0
genx__stoch__nameprox__w1g30top-mean__monthhour,genx__control,Fall,45.6332,17.2121,8.675,74.1216,11.7038,0.4052,0.3026,2471,3427,2468,0.7195,13382.0,-24969.6,211.1,133.7,0.0
genx__stoch__prox__w1g30-d0__monthhour,genx__control,Fall,48.1901,18.5355,12.8405,109.7126,11.7038,0.6682,0.4135,2471,1692,1692,0.6847,42620.5,-24778.0,211.1,770.1,0.0
genx__stoch__prox__w1g30-d1__monthhour,genx__control,Fall,48.003,18.2839,12.7641,109.06,11.7038,0.6682,0.4184,2471,1691,1691,0.6843,40099.3,-24763.8,211.1,726.5,0.0
genx__stoch__prox__w1g30-d2__monthhour,genx__control,Fall,48.0008,18.5114,12.7104,108.601,11.7038,0.6676,0.4203,2471,1691,1691,0.6843,43469.8,-24771.3,211.1,682.3,0.0
genx__stoch__prox__w1g30-mean__monthhour,genx__control,Fall,47.9789,18.4457,12.7401,108.8547,11.7038,0.6689,0.4188,2471,1691,1691,0.6843,40956.3,-24772.3,211.1,743.0,0.0
genx__stoch__prox__w1g30top-d0__monthhour,genx__control,Fall,43.9082,14.1865,8.7808,75.025,11.7038,0.4685,0.3068,2471,3107,2468,0.7936,16262.5,-24988.7,211.1,323.9,0.0
genx__stoch__prox__w1g30top-d1__monthhour,genx__control,Fall,43.7861,14.0067,8.7579,74.8295,11.7038,0.4726,0.3103,2471,3107,2468,0.7936,15125.5,-24982.8,211.1,305.3,0.0
genx__stoch__prox__w1g30top-d2__monthhour,genx__control,Fall,43.7872,14.1057,8.7412,74.6873,11.7038,0.4722,0.3117,2471,3107,2468,0.7936,16294.3,-24986.2,211.1,286.6,0.0
genx__stoch__prox__w1g30top-mean__monthhour,genx__control,Fall,43.7862,14.0816,8.7522,74.7806,11.7038,0.4735,0.3106,2471,3107,2468,0.7936,15544.0,-24986.5,211.1,312.2,0.0
genx__stoch__prox__w2-d0__monthhour,genx__control,Fall,20.7996,8.1635,7.2363,61.8284,11.7038,0.7579,0.6699,2471,2468,2468,0.9988,24887.3,-24920.2,211.1,475.5,0.0
genx__stoch__prox__w2-d1__monthhour,genx__control,Fall,20.5961,8.0103,7.1815,61.3606,11.7038,0.7587,0.6741,2471,2468,2468,0.9988,23258.7,-24911.5,211.1,448.4,0.0
genx__stoch__prox__w2-d2__monthhour,genx__control,Fall,20.5799,7.9896,7.1428,61.0302,11.7038,0.7578,0.6753,2471,2468,2468,0.9988,25178.8,-24916.0,211.1,421.1,0.0
genx__stoch__prox__w2-mean__monthhour,genx__control,Fall,20.5701,8.0465,7.1663,61.2306,11.7038,0.759,0.6745,2471,2468,2468,0.9988,23865.7,-24916.6,211.1,458.6,0.0
