,substation_name,subst_id,sys_name,existing_gen,queued_gen,total_gen,projected_load,der_penetration,max_remain_cap,voltage_kv,circuit_count,res_pct,com_pct,agr_pct,ind_pct,other_pct,res_total,com_total,agr_total,ind_total,other_total,note_sub
1060,Studio,1205.0,Eagle Rock 220/66 System,0.0,0.0,0.0,29.0,0.0,75.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1062,Sugarloaf P.t.,1561.0,Vestal 220/66 System,0.0,0.0,0.0,0.17,0.0,0.17,2.4,1.0,36.5385,5.7692,0.0,0.0,57.6923,19.0,3.0,0.0,0.0,30.0,Interconnection studies in this area have identified inadequate deliverability.
1064,Summit,804.0,Etiwanda A 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1068,Sunnyhills,1047.0,Barre 220/66 System,0.0,0.0,0.0,1.5,0.0,20.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1076,Tanker,1215.0,Vista 220/115 System,0.0,0.0,0.0,8.76,0.0,28.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1079,Tayshell,635.0,Santa Clara 220/66 System,0.0,0.0,0.0,30.0,0.0,30.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1082,Tejon Peak P.t.,1574.0,Bailey 220/66 System,0.0,0.0,0.0,0.05,0.0,0.1,2.4,1.0,0.0,66.6667,0.0,0.0,33.3333,0.0,4.0,0.0,0.0,2.0,Interconnection studies in this area have identified adequate deliverability.
1087,Tengen,81.0,Saugus 220/66 System,0.0,0.0,0.0,37.39,0.0,44.5,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1089,Terawind,80.0,Devers 220/115 System,0.0,0.0,0.0,0.24,0.0,22.5,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
1095,Three M,1239.0,Santa Clara 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1097,Thrive,2007.0,Etiwanda 220/66 System,0.0,0.0,0.0,1.8,0.0,16.8,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,8.0,Interconnection studies in this area have identified adequate deliverability.
1098,Thrust,719.0,Saugus 220/66 System,0.0,0.0,0.0,0.6,0.0,6.25,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1099,Thumsgen,1927.0,Hinson 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,Interconnection studies in this area have identified adequate deliverability.
1100,Thunderbird,1754.0,Mirage 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
1101,Tidelands,1245.0,Hinson 220/66 System,0.0,0.0,0.0,18.2,0.0,22.39,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1103,Tiffanywind,2086.0,Devers 220/115 System,0.0,0.0,0.0,45.0,0.0,45.0,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
1109,Titans,92.0,Villa Park 220/66 System,0.0,0.0,0.0,12.93,0.0,22.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1110,Tollhouse P.t.,1580.0,Big Creek 220/220 System,0.0,0.0,0.0,0.07,0.0,1.0,4.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,Interconnection studies in this area have identified inadequate deliverability.
1111,Topanga,515.0,Moorpark 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1114,Torrey,639.0,Saugus 220/66 System,0.0,0.0,0.0,3.41,0.0,11.2,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1116,Tortoise,1189.0,Antelope 220/66 System,0.0,0.0,0.0,22.72,0.0,22.72,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1117,Toyota,1208.0,Lighthipe 220/66 System,0.0,0.0,0.0,3.11,0.0,14.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1118,Transwind,78.0,Devers 220/115 System,0.0,0.0,0.0,5.6,0.0,5.6,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
1120,Treatment P.t.,2232.0,Kramer 220/115 System,0.0,0.0,0.0,1.22,0.0,5.0,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,Interconnection studies in this area have identified inadequate deliverability.
1125,Tule,170.0,Springville 220/66 System,0.0,0.0,0.0,0.24,0.0,2.6,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
1126,Tule (Pgae),254.0,Springville 220/66 System,0.0,0.0,0.0,2.2,0.0,2.5,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
1132,Ultragen,38.0,Vestal 220/66 System,0.0,0.0,0.0,0.0,0.0,41.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
1133,Unimed,1183.0,San Bernardino 220/66 System,0.0,0.0,0.0,21.24,0.0,56.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1134,Unioil,1174.0,Santa Clara 220/66 System,0.0,0.0,0.0,6.0,0.0,16.79,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1135,United Artists,1147.0,Eagle Rock 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1139,Urbana,1640.0,Etiwanda 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1146,Valley Elect. Assoc.,233.0,Vea Stateline-86 System,0.0,0.0,0.0,3.33,0.0,12.0,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
1149,Vapor,1261.0,La Fresa 220/66 System,0.0,0.0,0.0,4.8,0.0,10.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1153,Ventura,673.0,Santa Clara 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1157,Vernon City Sys.,278.0,Laguna Bell De 220/66 System,0.0,0.0,0.0,240.03,0.0,300.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1165,Villa Park 'A',2173.0,Villa Park 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1166,Villa Park 'B',2174.0,Villa Park 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1170,Vista 'C',337.0,Vista C 220/66 System,0.0,0.0,0.0,560.0,0.0,560.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1172,Voice Of America,1173.0,Vestal 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
1173,Vulcagen,89.0,Inyo Sce 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
1183,Weesha P.t.,1763.0,El Casco 220/115 System,0.0,0.0,0.0,0.11,0.0,0.25,2.4,1.0,61.7647,0.0,5.8824,0.0,32.3529,21.0,0.0,2.0,0.0,11.0,Deliverability in this area has not been determined by previous interconnection studies.
1186,Wesbasin,1230.0,El Nido 220/66 System,0.0,0.0,0.0,6.21,0.0,14.0,16.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,17.0,Interconnection studies in this area have identified adequate deliverability.
1190,Westex,1145.0,Lighthipe 220/66 System,0.0,0.0,0.0,7.11,0.0,12.5,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1193,Westpac,721.0,Bailey 220/66 System,0.0,0.0,0.0,23.1,0.0,44.8,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1194,Weymouth,2052.0,Padua 220/66 System,0.0,0.0,0.0,3.53,0.0,10.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1198,White Mt.,206.0,Inyo Sce 220/115 System,0.0,0.0,0.0,0.05,0.0,2.0,12.0,1.0,0.0,50.0,0.0,0.0,50.0,0.0,2.0,0.0,0.0,2.0,Interconnection studies in this area have identified inadequate deliverability.
1200,Willamette,1190.0,Santa Clara 220/66 System,0.0,0.0,0.0,14.0,0.0,14.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1204,Winding P.t.,2040.0,Eagle Rock 220/66 System,0.0,0.0,0.0,1.47,0.0,1.5,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1210,Yankee P.t.,1605.0,Vestal 220/66 System,0.0,0.0,0.0,0.03,0.0,0.05,2.4,1.0,0.0,66.6667,0.0,0.0,33.3333,0.0,2.0,0.0,0.0,1.0,Interconnection studies in this area have identified inadequate deliverability.
1218,Ziggy P.t.,2054.0,Kramer 220/115 System,0.0,0.0,0.0,0.04,0.0,0.17,12.0,1.0,0.0,85.7143,0.0,0.0,14.2857,0.0,6.0,0.0,0.0,1.0,Interconnection studies in this area have identified inadequate deliverability.
1219,Zondwind,87.0,Windhub 220/66 System,0.0,0.0,0.0,0.03,0.0,26.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
