name,owner_raw,owner_std,type,hifld_id,max_voltage_kv,latitude,longitude,county,city,zip_code,source,path,nearest_cats_id,nearest_cats_kv,nearest_cats_lat,nearest_cats_lon,cats_dist_km,cats_matched
Kanaka,Other,other,SUBSTATION,306312.0,115.0,39.57518647635967,-121.30557830568536,Butte County,Unincorporated,95966,CEC,,1489,66,39.48525926,-121.2203187,12.387759348416651,False
Nord,PG&E,pge,SUBSTATION,305811.0,115.0,39.760240802984654,-121.90704864173188,Butte County,Unincorporated,95973,CEC,,48,115,39.7602408,-121.9070486,3.582587904041401e-06,True
Oro Fino,PG&E,pge,SUBSTATION,300584.0,,39.87156253113776,-121.61078506142388,Butte County,Unincorporated,95954,CEC,,50,66,39.76066295,-121.6187304,12.35012859291035,False
Oroville,PG&E,pge,SUBSTATION,300266.0,60.0,39.50399794952197,-121.56015501732595,Butte County,Oroville,95965,CEC,,49,66,39.50399795,-121.560155,1.4874444705633761e-06,True
Palermo,PG&E,pge,SUBSTATION,307680.0,230.0,39.45434305228144,-121.51766154413596,Butte County,Unincorporated,95966,CEC,,8632,230,39.45432184,-121.5176791,0.0027991777056818176,True
Paradise,PG&E,pge,SUBSTATION,309157.0,,39.76066295290581,-121.61873043546984,Butte County,Paradise,95969,CEC,,50,66,39.76066295,-121.6187304,3.049063199888012e-06,True
Peachton,PG&E,pge,SUBSTATION,301112.0,,39.37824172207953,-121.68509451825736,Butte County,Unincorporated,95948,CEC,,51,66,39.37824172,-121.6850945,1.5861799878689509e-06,True
Sycamore Creek,PG&E,pge,SUBSTATION,303844.0,115.0,39.768761061395054,-121.824028388523,Butte County,Chico,95973,CEC,,52,115,39.76876106,-121.8240284,9.931057565887711e-07,True
Table Mt.,PG&E,pge,SUBSTATION,300007.0,500.0,39.55528056360781,-121.64478736387608,Butte County,Unincorporated,95965,CEC,66,8504,500,39.55531107,-121.6447716,0.003651466660586526,True
Tres Vias,PG&E,pge,SUBSTATION,304191.0,115.0,39.486764538827885,-121.68802420710148,Butte County,Unincorporated,95965,CEC,,53,115,39.48676454,-121.6880242,6.232079508332634e-07,True
Wyandotte,PG&E,pge,SUBSTATION,302198.0,115.0,39.49170025621256,-121.54094668549344,Butte County,Unincorporated,95966,CEC,,54,115,39.49170026,-121.5409467,1.3141328133700348e-06,True
Calaveras Cement,Other,other,SUBSTATION,308779.0,60.0,38.16989692407117,-120.66722774747468,Calaveras County,Unincorporated,95249,CEC,,55,66,38.16989692,-120.6672277,4.1748236480257215e-06,True
Cataract,Other,other,SUBSTATION,307549.0,,38.06981687515528,-120.42213347694567,Tuolumne County,Unincorporated,95310,CEC,,56,115,38.06981688,-120.4221335,2.0888205571410964e-06,True
Corral,PG&E,pge,SUBSTATION,300455.0,60.0,38.101480653393175,-120.92617586661036,Calaveras County,Unincorporated,95236,CEC,,57,66,38.10148065,-120.9261759,2.9459026175534315e-06,True
