bus_i,kV,Type,Import,Lat,Lon,nearest_basin_name,nearest_basin_owner,nearest_basin_type,nearest_basin_lat,nearest_basin_lon,dist_km,matched
92,115,Substation,' ',37.96324326,-122.0522531,Meadow Lane,pge,SUBSTATION,37.96324325632197,-122.05225312487916,2.219087146770898e-06,True
93,115,Substation,' ',37.99592158,-122.3481031,Point Pinole,pge,SUBSTATION,37.9959215829392,-122.34810313924945,3.4548307083186313e-06,True
94,66,Substation,' ',38.03732601,-122.178096,Port Costa Brick,other,SUBSTATION,38.03732600501097,-122.1780959904934,1.0004635340687141e-06,True
95,230,Substation,' ',37.78241596,-121.9676624,San Ramon Research Cntr.,pge,,37.78241595866594,-121.96766243161322,2.78219417163365e-06,True
96,66,Substation,' ',38.028955,-122.103101,Urich,pge,SUBSTATION,38.02895500449173,-122.10310098878207,1.1022141141027237e-06,True
97,66,Substation,' ',38.02477032,-121.9609733,Willow Pass,pge,SUBSTATION,38.02477032006086,-121.96097329600856,3.4969098891718775e-07,True
98,66,Substation,' ',41.77442883,-123.0350791,Steelhead,pacificorp,SUBSTATION,41.77442883322477,-123.03507908565864,1.2421577123202831e-06,True
99,115,Substation,' ',38.69341229,-120.8258948,Diamond Springs,pge,SUBSTATION,38.69341228610576,-120.82589480729813,7.672594424917855e-07,True
100,115,Substation,' ',38.88492041,-121.0671416,Flint,pge,SUBSTATION,38.88492040725154,-121.0671416240988,2.108141598283448e-06,True
101,66,Substation,' ',38.6349329,-120.9801828,Limestone,pge,SUBSTATION,38.634932901836,-120.9801827876812,1.0892978698225525e-06,True
102,66,Substation,' ',38.91406597,-121.0189822,Mt. Quarries,pge,SUBSTATION,38.9140659675594,-121.01898220192484,3.184066644180884e-07,True
103,115,Substation,' ',38.83485899,-121.094821,Newcastle,pge,SUBSTATION,38.83485899365069,-121.09482099610771,5.276794010547035e-07,True
104,66,Substation,' ',38.65929769,-120.9472381,Shingle Springs,pge,SUBSTATION,38.659297687416505,-120.94723810852622,7.941080766380317e-07,True
105,66,Substation,' ',38.85028861,-120.3819544,Jones Fork,smud,SUBSTATION,38.85028861395953,-120.38195442722656,2.398501583382204e-06,True
106,115,Substation,' ',38.79337762,-120.619311,Camino,pge,SUBSTATION,38.79337762420475,-120.61931096873364,2.7497849382088666e-06,True
107,115,Substation,' ',36.54076139,-119.5818423,Guardian and Eastbank,other,SUBSTATION,36.54076138541403,-119.58184225980035,3.627369291278964e-06,True
108,115,Substation,' ',36.75773233,-119.6968545,Las Palmas,other,SUBSTATION,36.757732334508056,-119.69685449736065,5.536792062058074e-07,True
109,66,Substation,' ',36.31946224,-119.9470597,Mussel Slough,other,SUBSTATION,36.31946223967745,-119.94705965976118,3.6052862769347765e-06,True
110,66,Substation,' ',36.23774299,-120.3687036,Cal Resources LLC,other,,36.23774299245193,-120.36870356907885,2.7865852245142243e-06,True
111,500,Substation,' ',36.71509335,-120.7018288,Oxford,pge,SUBSTATION,36.71509335421034,-120.70182879867032,4.829382065695206e-07,True
112,66,Substation,' ',36.22456945,-120.3814639,Penn Zier,other,SUBSTATION,36.2245694479161,-120.38146388162468,1.6645049195705028e-06,True
113,115,Substation,' ',36.70056751,-119.754489,Ranchers Cotton,pge,SUBSTATION,36.70056751093756,-119.7544889578796,3.756596787747977e-06,True
114,66,Substation,' ',36.90286001,-119.773843,River Rock,pge,SUBSTATION,36.90286000596502,-119.77384298675636,1.260170577568284e-06,True
115,66,Substation,' ',36.19229514,-120.3552717,Tornado,other,SUBSTATION,36.19229514226991,-120.35527169792884,3.134516545068883e-07,True
116,66,Substation,' ',36.63241754,-120.3423122,Westlands,pge,SUBSTATION,36.63241753832259,-120.3423122049865,4.824657788903826e-07,True
117,115,Substation,' ',36.52807464,-120.4852632,Kamm,other,SUBSTATION,36.52807464251661,-120.48526315419024,4.102765471425404e-06,True
118,66,Substation,' ',36.79273987,-120.1141466,Biola,pge,SUBSTATION,36.79273986686032,-120.11414660446664,5.292217553502065e-07,True
119,66,Substation,' ',36.28400837,-120.122075,Calflax,other,SUBSTATION,36.28400837392873,-120.12207501986964,1.8337802537664394e-06,True
120,66,Substation,' ',36.44598609,-119.7989666,Camden,pge,SUBSTATION,36.44598609096055,-119.79896661374448,1.2340345814962598e-06,True
121,115,Substation,' ',36.42931356,-120.3416558,Cantua,pge,SUBSTATION,36.42931356064096,-120.34165575802164,3.7563262782456834e-06,True
122,66,Substation,' ',36.83609272,-120.4495568,Capco Madera,pge,SUBSTATION,36.83609272115688,-120.44955676579076,3.0471769913377932e-06,True
123,66,Substation,' ',36.53216946,-119.8814695,Caruthers,pge,SUBSTATION,36.5321694559588,-119.8814694502654,4.466331489767744e-06,True
124,115,Substation,' ',36.63275972,-120.5319935,Cheney,pge,SUBSTATION,36.63275971817491,-120.53199354555808,4.070270159394494e-06,True
125,66,Substation,' ',36.89581265,-119.6647064,Coppermine,pge,SUBSTATION,36.89581265313488,-119.6647063893895,1.005878452155773e-06,True
126,66,Substation,' ',36.22650304,-120.3378885,Derrick,other,SUBSTATION,36.22650304010589,-120.33788845560584,3.982151314377445e-06,True
127,66,Substation,' ',36.57016948,-119.4190334,Dinuba Energy,other,SUBSTATION,36.57016947774542,-119.4190333638222,3.240526172606475e-06,True
128,66,Substation,' ',36.70935277,-119.0289556,Dunlap,pge,SUBSTATION,36.70935277109184,-119.0289555728194,2.425988543007747e-06,True
129,66,Substation,' ',36.8505811,-120.4663723,Firebaugh,pge,SUBSTATION,36.85058109750191,-120.46637233049564,2.727635153721104e-06,True
130,66,Substation,' ',36.59142343,-120.1761988,Helm,pge,SUBSTATION,36.59142343169017,-120.17619876604118,3.0376330208457208e-06,True
131,66,Substation,' ',36.18606391,-120.1039111,Huron,pge,SUBSTATION,36.18606391411192,-120.10391112178026,2.007451347965638e-06,True
132,66,Substation,' ',36.69153501,-120.060083,Kerman,pge,SUBSTATION,36.691535007009925,-120.06008299787214,3.8280600216099055e-07,True
133,66,Substation,' ',36.70562289,-119.882865,Kearney (New),pge,SUBSTATION,36.70562289159689,-119.8828650242258,2.166941573571122e-06,True
134,66,Substation,' ',36.706794,-119.880023,Kearney (Old),pge,SUBSTATION,36.70679399597088,-119.880022999056,4.5585320365083324e-07,True
135,115,Substation,' ',36.69325502,-119.726534,Malaga,pge,SUBSTATION,36.69325501803404,-119.72653397903986,1.8815731068811438e-06,True
136,230,Substation,' ',36.59336916,-119.9887084,Mc Mullin,pge,SUBSTATION,36.59336916065014,-119.9887083695419,2.7201643585157837e-06,True
137,66,Substation,' ',36.72059631,-120.4589551,Mendota,pge,SUBSTATION,36.72059631080433,-120.45895510584718,5.287751752376874e-07,True
138,66,Substation,' ',36.75624051,-120.3653702,Mendota Biomass,other,SUBSTATION,36.75624050549674,-120.36537021995444,1.8468813105435394e-06,True
139,66,Substation,' ',36.60561902,-119.773307,Bowles,pge,SUBSTATION,36.6056190151958,-119.77330698067958,1.8054348391744566e-06,True
140,66,Substation,' ',36.60755351,-119.5213101,Parlier,pge,SUBSTATION,36.60755351445216,-119.52131008495267,1.4314626408534727e-06,True
141,115,Substation,' ',36.78995077,-119.4034036,Piedra,other,,36.78995076720048,-119.40340362793306,2.5068122289035823e-06,True
142,115,Substation,' ',36.71022222,-119.5381139,Rainbow,pge,SUBSTATION,36.71022222303943,-119.53811388808354,1.1147190560988024e-06,True
143,66,Substation,' ',36.6043472,-119.3762084,Reedley,pge,SUBSTATION,36.60434719510366,-119.37620837505273,2.292486118203434e-06,True
144,66,Substation,' ',36.62093615,-120.1783513,San Joaquin,pge,SUBSTATION,36.620936147425546,-120.17835130169104,3.236112960093576e-07,True
145,66,Substation,' ',36.53108764,-120.1045065,Stroud,pge,SUBSTATION,36.53108764192172,-120.10450647672408,2.0906262798274005e-06,True
146,66,Substation,' ',36.77054901,-119.393313,Tivy Valley,pge,SUBSTATION,36.77054900633203,-119.39331298114485,1.728271175224619e-06,True
147,115,Substation,' ',36.68753802,-119.721984,Air Products,other,SUBSTATION,36.68753801591106,-119.7219839940781,6.968176944062956e-07,True
148,66,Substation,' ',36.66108307,-120.3343954,Wesix,wapa,SUBSTATION,36.66108306783486,-120.33439541603956,1.4508176215085855e-06,True
149,66,Substation,' ',36.35685741,-120.2512062,Westlands 18Ra,other,SUBSTATION,36.3568574132416,-120.25120615747296,3.825306839908181e-06,True
150,115,Substation,' ',36.83604392,-120.6203074,De Francesco,pge,SUBSTATION,36.836043915753805,-120.62030735430189,4.094237306584835e-06,True
151,66,Substation,' ',39.58278564,-122.0104719,Jacinto,pge,SUBSTATION,39.58278563658707,-122.01047191610203,1.4311522301171102e-06,True
152,66,Substation,' ',39.77596358,-122.1038109,Capay,pge,SUBSTATION,39.77596358103245,-122.10381094002612,3.4225227974377948e-06,True
153,66,Substation,' ',39.78927916,-122.0513104,Headgate,pge,SUBSTATION,39.78927916022522,-122.05131036075431,3.3533442309881193e-06,True
154,230,Substation,' ',39.53951119,-122.2630509,Logan Creek,pge,SUBSTATION,39.53951119071489,-122.26305085446424,3.905590064082343e-06,True
155,66,Substation,' ',39.725196,-122.178741,Orland B,pge,SUBSTATION,39.72519600027397,-122.17874101256352,1.074888186538749e-06,True
156,66,Substation,' ',39.55776855,-122.0047037,Provident,pge,,39.55776855036031,-122.00470373938784,3.3769325949247284e-06,True
157,66,Substation,' ',39.531676,-122.1861239,Willows A,pge,SUBSTATION,39.5316759967068,-122.1861239374362,3.231404391643117e-06,True
158,66,Substation,' ',39.58704303,-122.533157,Stony Gorge,pge,SUBSTATION,39.587043025553136,-122.53315696653576,2.909976016433996e-06,True
