substation,n_feeders,division,voltages,total_res_cust,total_com_cust,redacted_any,lat,lon,our_pge_idx,our_pge_match,our_pge_name,our_pge_voltage_kv,basin_matched,basin_name,cats_dist_km,cats_matched,cats_kv
BOWLES,4,Fresno,12.0,1869,238,Yes,36.6056190151958,-119.77330698067958,173,exact,BOWLES,12.0,True,Bowles,1.8054348391744566e-06,True,66.0
BRENTWOOD,9,Diablo,21.0,29330,2049,Yes,37.91905743453774,-121.6767632027892,523,exact,BRENTWOOD,21.0,True,Brentwood,0.0034342970122571022,True,230.0
BRIDGEVILLE,2,Humboldt,12.0,303,40,Yes,40.47964597017619,-123.78030981845563,89,exact,BRIDGEVILLE,12.0,True,Bridgeville,1.5610812506260545e-06,True,115.0
BRITTON,12,De Anza,12.0,23147,1291,Yes,37.37456219213301,-122.01636588479026,345,exact,BRITTON,12.0,True,Britton,1.3647741601353414e-06,True,115.0
BROOKSIDE,1,East Bay,4.16,931,37,No,37.96209565707229,-122.3474106211808,7,exact,BROOKSIDE,4.16,True,Brookside,1.8852024368214696e-06,True,66.0
BROWNS VALLEY,1,Sacramento,12.0,521,73,No,,,506,exact,BROWNS VALLEY,12.0,False,,,False,
BRUNSWICK,7,Sierra,12.0,18228,2454,Yes,39.23105001931794,-121.03502608178792,206,exact,BRUNSWICK,12.0,True,Brunswick,1.570471956962134e-06,True,115.0
BUCKS CREEK,1,North Valley,12.0,290,81,No,,,133,exact,BUCKS CREEK,12.0,False,,,False,
BUELLTON,2,Los Padres,12.0,3355,892,No,34.624776631645176,-120.18609463634252,395,exact,BUELLTON,12.0,True,Buellton,3.3304125193911553e-06,True,115.0
BUENA VISTA,5,Central Coast,12.0,782,460,Yes,36.65389082139208,-121.62933839543028,573,exact,BUENA VISTA,12.0,True,Buena Vista,4.3604770352045095e-07,True,66.0
BULLARD,14,Fresno,12.0;21.0,20967,1800,No,36.82387712081925,-119.76847588716016,266,exact,BULLARD,12.0,True,Bullard,4.245147650342822,False,115.0
BURLINGAME,6,Peninsula,21.0;4.16,7421,512,Yes,37.58992414455095,-122.36337404834336,634,exact,BURLINGAME,4.16,True,Burlingame,4.289512720432822e-06,True,115.0
BURNEY,2,North Valley,12.0,1962,291,No,40.88793197595096,-121.67118732303456,4,exact,BURNEY,12.0,True,Burney,3.516507502581953,False,66.0
BURNS,1,Central Coast,21.0,3694,239,No,37.09533199716804,-122.14428727103169,490,exact,BURNS,21.0,True,Burns,2.5885050892449285e-06,True,66.0
BUTTE,5,North Valley,12.0,4563,1117,No,39.7122064481817,-121.81335707689334,277,exact,BUTTE,12.0,True,Butte,1.9868156446223106e-06,True,115.0
CABRILLO,2,Los Padres,12.0,2586,220,No,34.6432697885287,-120.43728019313264,504,exact,CABRILLO,12.0,True,Cabrillo,6.491863189589709e-07,True,115.0
CAL WATER,2,Kern,12.0,4726,221,No,,,136,exact,CAL WATER,12.0,False,,,False,
CALAVERAS CEMENT,1,Stockton,12.0,2950,419,No,,,380,exact,CALAVERAS CEMENT,12.0,False,,,False,
CALFLAX,5,Fresno,12.0,61,53,Yes,,,52,exact,CALFLAX,12.0,False,,,False,
CALIFORNIA AVE,12,Fresno,12.0,13367,2051,Yes,36.71951798339581,-119.76418502160708,131,exact,CALIFORNIA AVE,12.0,True,California Ave,1.9625235877033477e-06,True,66.0
CALISTOGA,2,North Bay,12.0,3272,560,No,38.59208804224296,-122.57861044400111,393,exact,CALISTOGA,12.0,True,Calistoga,3.832291739822503e-06,True,66.0
CALPELLA,2,Humboldt,12.0,2129,197,Yes,39.19724965871583,-123.19241807516715,565,exact,CALPELLA,12.0,True,Calpella,2.852150537569932,False,66.0
CAMDEN,4,Fresno,12.0,2848,325,Yes,36.44598609096055,-119.79896661374448,341,exact,CAMDEN,12.0,True,Camden,1.2340345814962598e-06,True,66.0
CAMP EVERS,5,Central Coast,21.0,13884,1401,No,37.04188835011482,-122.02513661190704,464,exact,CAMP EVERS,21.0,True,Camp Evers,1.0568887598979263e-06,True,115.0
CAMPHORA,1,Central coast,12.0,109,40,Yes,36.468219176509145,-121.39036110711068,-1,unmatched,,,True,Camphora,7.449658794914668e-07,True,66.0
CANAL,6,Yosemite,12.0,12143,926,No,37.06633333339536,-120.83556394913944,22,exact,CANAL,12.0,True,Canal,4.376295846940887e-06,True,66.0
CANTUA,4,Fresno,12.0,168,78,Yes,36.42931356064096,-120.34165575802164,124,exact,CANTUA,12.0,True,Cantua,3.7563262782456834e-06,True,115.0
CAPAY,2,North Valley,12.0,645,123,Yes,39.77596358103245,-122.10381094002612,60,exact,CAPAY,12.0,True,Capay,3.4225227974377948e-06,True,66.0
CARLOTTA,1,Humboldt,12.0,454,63,No,40.54114692359107,-124.06376729572114,379,exact,CARLOTTA,12.0,True,Carlotta,1.7220768122453718,True,66.0
CARNERAS,2,Kern,12.0,2,12,Yes,35.54109994696263,-119.80523057317228,545,exact,CARNERAS,12.0,True,Carneras,2.4507342018638245e-06,True,66.0
CAROLANDS,4,Peninsula,4.16,2818,116,Yes,37.55280499465498,-122.37631200928465,463,exact,CAROLANDS,4.16,True,Carolands,9.684186016589763e-07,True,66.0
CARQUINEZ,3,North Bay,12.0,7896,1080,Yes,38.09087251077395,-122.24865135326652,185,exact,CARQUINEZ,12.0,True,Carquinez,0.9629137881163858,True,115.0
CARRIZO PLAINS,1,Los Padres,12.0,255,38,No,35.38068153866974,-120.04019423974916,128,exact,CARRIZO PLAINS,12.0,True,Carrizo Plains,3.6066837857665352e-06,True,115.0
CARUTHERS,4,Fresno,12.0,1993,220,No,36.5321694559588,-119.8814694502654,369,exact,CARUTHERS,12.0,True,Caruthers,4.466331489767744e-06,True,66.0
CASSERLY,1,Central Coast,4.16,207,7,No,,,662,exact,CASSERLY,4.16,False,,,False,
CASSIDY,2,Yosemite,21.0,5597,438,No,36.9235350157937,-119.8126589810418,247,exact,CASSIDY,21.0,True,Cassidy,1.7489595650117414e-06,True,66.0
CASTRO,2,San francisco,4.16,2665,126,No,,,221,exact,CASTRO,4.16,False,,,False,
CASTRO VALLEY,9,Mission,12.0,38472,2269,Yes,37.69128098435761,-122.06127739017332,296,exact,CASTRO VALLEY,12.0,True,Castro Valley,9.911641363693647e-07,True,230.0
CASTROVILLE,2,Central coast,21.0,2376,454,Yes,36.76311989630461,-121.73473546336916,-1,unmatched,,,True,Castroville,0.0025237642202669544,True,66.0
CATLETT,2,Sacramento,12.0,609,179,Yes,38.80884800692517,-121.51641401759566,426,exact,CATLETT,12.0,True,Catlett,1.5624903934754555e-06,True,66.0
CAYETANO,2,Mission,21.0,4713,399,No,37.7386049986163,-121.77116328727968,105,exact,CAYETANO,21.0,True,Cayetano,1.1290827316218124e-06,True,66.0
CAYUCOS,2,Los Padres,12.0,4428,309,No,35.448703299598,-120.87035972373032,518,exact,CAYUCOS,12.0,True,Cayucos,2.1500353436033832e-06,True,66.0
CEDAR CREEK,1,North valley,12.0,686,76,No,40.79121365415692,-121.93778829102152,333,exact,CEDAR CREEK,12.0,True,Cedar Creek,0.00301371847870596,True,66.0
CHALLENGE,2,North Valley,12.0,1374,192,No,39.48525925803122,-121.22031867914004,23,exact,CHALLENGE,12.0,True,Challenge,1.8035176712928263e-06,True,66.0
CHANNEL,2,Stockton,12.0,2297,152,No,37.95525900058912,-121.33259399642591,98,exact,CHANNEL,12.0,True,Channel,3.201378784001274e-07,True,66.0
CHARCA,3,Kern,12.0,2244,175,Yes,35.60807500748761,-119.32531387859125,186,exact,CHARCA,12.0,True,Charca,1.9554851132903915e-06,True,115.0
CHEROKEE,2,Stockton,12.0,1285,544,No,38.00551198513393,-121.23800900755306,148,exact,CHEROKEE,12.0,True,Cherokee,8.548159986686898e-07,True,66.0
CHESTER,2,North Valley,12.0,1316,309,No,40.30242578830534,-121.22702068809072,329,exact,CHESTER,12.0,True,Chester,1.027356865348096e-06,True,66.0
CHICO A,5,North Valley,12.0;4.16,5091,700,Yes,39.71884015875547,-121.82092062359636,225,exact,CHICO A,12.0,True,Chico A,2.022936729003338e-06,True,115.0
CHICO B,5,North Valley,12.0,6352,822,Yes,39.72551493360511,-121.84707580851182,195,exact,CHICO B,12.0,True,Chico B,8.310243634078349e-07,True,115.0
CHICO C,1,North Valley,4.16,378,45,No,,,371,exact,CHICO C,4.16,False,,,False,
CHOLAME,2,Los Padres,12.0;21.0,287,102,No,,,503,exact,CHOLAME,12.0,False,,,False,
CHOWCHILLA,6,Yosemite,12.0,5763,584,No,37.12056168878955,-120.25058468607872,642,exact,CHOWCHILLA,12.0,True,Chowchilla,7.456095314976527,False,115.0
CLARK ROAD,2,North Valley,12.0,1105,141,No,39.65452133080093,-121.63550822129932,574,exact,CLARK ROAD,12.0,True,Clark Road,1.8256006791152487e-06,True,66.0
CLARKSVILLE,6,Sierra,21.0,22224,1239,Yes,38.65571788293646,-121.0595437331988,97,exact,CLARKSVILLE,21.0,True,Clarksville,1.3793911289690475,True,66.0
