strategy,origin_year,test_year,horizon,bias_pct,relrmse_pct
trailing5,2022,2024,2,-1.36,6.468
trailing5,2022,2025,3,-2.039,7.452
decay180,2022,2023,1,1.749,8.693
decay180,2022,2024,2,-0.361,5.998
decay180,2022,2025,3,-1.023,7.221
decay365,2022,2023,1,1.284,8.43
decay365,2022,2024,2,-0.807,6.034
decay365,2022,2025,3,-1.472,7.209
decay730,2022,2023,1,1.322,8.461
decay730,2022,2024,2,-0.763,6.205
decay730,2022,2025,3,-1.442,7.197
expanding,2023,2024,1,-0.214,6.085
expanding,2023,2025,2,-0.915,6.88
trailing3,2023,2024,1,-1.134,5.017
trailing3,2023,2025,2,-1.781,6.709
trailing5,2023,2024,1,-1.999,5.785
trailing5,2023,2025,2,-2.658,7.142
decay180,2023,2024,1,-1.452,5.234
decay180,2023,2025,2,-2.1,6.895
decay365,2023,2024,1,-1.341,4.953
decay365,2023,2025,2,-1.99,6.669
decay730,2023,2024,1,-1.124,5.22
decay730,2023,2025,2,-1.787,6.688
expanding,2024,2025,1,-0.888,6.616
trailing3,2024,2025,1,-1.21,6.211
trailing5,2024,2025,1,-1.854,6.608
decay180,2024,2025,1,-1.003,6.137
decay365,2024,2025,1,-1.309,6.114
decay730,2024,2025,1,-1.435,6.233
