model,segment,value,n,rmse,mae,r2,wape
cell_mean,month,12,2496,25.870352144509667,14.220909705205067,0.005048205590391874,0.8828578813595283
cell_mean,hour,0,1248,31.957486875001447,14.592625984100938,0.00015222940617010128,0.8682249468907932
cell_mean,hour,1,1248,28.892735363801556,13.56453020354576,-0.00013141536170535595,0.8656936898539229
cell_mean,hour,2,1248,27.02005574513881,12.694837082245723,0.0014812253280215293,0.8659634170932184
cell_mean,hour,3,1248,25.82657151614332,12.643450478513289,0.00015875744893401045,0.8594786373649157
cell_mean,hour,4,1248,24.732742316969738,12.51653251579713,0.0031337997035681964,0.8549103663965548
cell_mean,hour,5,1248,23.756210631955277,13.004532529190893,0.001526173515546736,0.8470304104359457
cell_mean,hour,6,1248,27.357098292773443,13.908535885221132,-0.00038190097425494507,0.8474403995029023
cell_mean,hour,7,1248,22.452864106580037,13.767041278671691,0.004354733122631349,0.8489772669200372
cell_mean,hour,8,1248,24.621004759734884,14.498089364955595,0.00273750027821551,0.8595518898250359
cell_mean,hour,9,1248,25.63444239896816,14.696006301090152,0.005494418173862092,0.876879294395948
cell_mean,hour,10,1248,34.22628353409815,15.463771079102525,0.006190767687810239,0.8843558466420968
cell_mean,hour,11,1248,33.388519351196315,15.925546515513705,0.006864584810365004,0.8852389387398686
cell_mean,hour,12,1248,23.4648344443589,15.449207388925114,0.02098680641474493,0.8825066893571542
cell_mean,hour,13,1248,37.81439432413939,17.135184752290343,0.014046995469303658,0.8897103775646714
cell_mean,hour,14,1248,37.15116174256938,17.802761096697623,0.02020453615103801,0.8867407233988592
cell_mean,hour,15,1248,42.15060489693455,18.321845397378464,0.01923729993155532,0.881017446826368
cell_mean,hour,16,1248,45.97196725540561,19.712352949789576,0.014548560081366957,0.8831014049604242
cell_mean,hour,17,1248,47.07152433487972,20.47451536483311,0.01181563578528877,0.8770285489840514
cell_mean,hour,18,1248,48.29779362221582,20.121636744492516,0.010211741088586135,0.8726974235452886
cell_mean,hour,19,1248,44.812164892031745,19.50006644751652,0.011113579411810348,0.8665244662408311
cell_mean,hour,20,1248,40.842361241881626,19.141837080726614,0.004234646162198374,0.8733574176760429
cell_mean,hour,21,1248,43.13559766775373,18.20255294127179,0.006276570839754192,0.8743199737711542
cell_mean,hour,22,1248,40.39530288370905,17.400322572861487,0.0012620248695278669,0.8743126900056645
cell_mean,hour,23,1248,23.670221556036587,14.465379302836467,0.006512838082173622,0.86322054024141
cell_mean,utility,pge,15264,15.193359199158454,12.587264818739381,-0.13526771048564035,1.0918388307564315
cell_mean,utility,sce,12672,49.606910797060664,19.640059382750163,-0.00376583781675488,0.8253613169702122
cell_mean,utility,sdge,2016,24.239863677719384,19.579911983133446,-1.3654914694351414,0.5341597381209886
cell_mean,sub_kv_class,66.0,17568,18.567040580445124,14.240258367543257,0.0058648958937670415,1.0129485913006315
cell_mean,sub_kv_class,115.0,8928,57.07609290293552,21.051183594252308,-0.02712782165352623,0.7388713079498913
cell_mean,sub_kv_class,230.0,1728,15.283312518345772,11.214617517134466,-0.24851210931223378,0.4466765011539849
cell_mean,sub_kv_class,500.0,288,8.41189522398146,7.700885445226943,-22.778380413022102,0.8133503085378613
linear,month,1,2496,12.21069216937764,2.7451665185511587,0.7719513772339777,0.1751612034807852
linear,month,2,2496,17.393681785544764,3.302747384587834,0.6425051838758071,0.19978678936052566
linear,month,3,2496,15.89461626387178,3.0692496561377105,0.6960642901052068,0.19012083733666274
linear,month,4,2496,17.76780756027418,3.3227506924089343,0.511358526382889,0.216320079365127
linear,month,5,2496,15.26077553285344,2.922759704568902,0.7122142297928771,0.16986917115539862
linear,month,6,2496,22.39865818056933,3.979521556694839,0.6805098421370103,0.1980442162027806
linear,month,7,2496,25.317639081673544,4.4245608291420355,0.6891152407396188,0.20018368243664345
linear,month,8,2496,36.26315952422631,5.551222626106965,0.4196203142328532,0.2335876826430909
