model,segment,value,n,rmse,mae,r2,wape
cell_mean,hour,21,275,85.13953165015842,30.452316512978054,-0.073759285509168,0.8307157587703059
cell_mean,hour,22,275,79.4478705569382,29.357861652288406,-0.08479604376935823,0.8369098092719994
cell_mean,hour,23,275,40.271811862191456,20.368827188213167,-0.14882890559823503,0.794260151345911
cell_mean,utility,pge,2304,20.02450270301113,16.21086550586686,-0.1708993926316149,0.8453977704830432
cell_mean,utility,sce,4296,80.3281314035582,30.59375192374623,-0.10080211309712395,0.81596893653326
cell_mean,sub_kv_class,66.0,4584,20.284243449617364,16.074585926370585,-0.09734305999215276,0.8409993315768081
cell_mean,sub_kv_class,115.0,1152,151.90487757123276,73.8876019773707,-0.2977616581256699,0.8609103887217788
cell_mean,sub_kv_class,230.0,288,3.9847392542030073,2.7690727274904217,-5.015176584511332,0.29068397743661534
hist_gbm,month,1,552,45.910519962639626,18.856082422644658,-0.05441279768236118,0.683505375163344
hist_gbm,month,2,552,53.953221921225506,20.528304359476845,-0.058641007101032816,0.6975678055041327
hist_gbm,month,3,552,53.779556653444324,20.24547056484739,-0.05544608296091935,0.6961164683598267
hist_gbm,month,4,552,45.52115439860473,17.309955562790577,-0.030250288674174897,0.6736819740430602
hist_gbm,month,5,552,50.80228667089566,19.610002400894018,-0.0444972463681399,0.6996158969316816
hist_gbm,month,6,552,75.91657252849113,24.223325246330344,-0.04660733842312026,0.7344974843062946
hist_gbm,month,7,552,87.14515136954893,26.36499495391266,-0.04792537801278329,0.7434272451154995
hist_gbm,month,8,552,90.05641348163628,28.769380873511917,-0.058356280164828966,0.7552647554763975
hist_gbm,month,9,528,100.70373876604286,32.44770489437705,-0.07022823198802741,0.7650471056204166
hist_gbm,month,10,552,48.02486661153505,20.199024931363304,-0.06450617475590525,0.6991931333368692
hist_gbm,month,11,552,46.1364597274261,19.366070046221804,-0.060075167780106575,0.6904556457313469
hist_gbm,month,12,552,46.636089652700015,19.249799880675752,-0.05645445214974787,0.6882004189108887
hist_gbm,hour,0,275,60.52644565041185,20.38513132871295,-0.0429621308702286,0.7106283039802368
hist_gbm,hour,1,275,54.868780215973096,19.4425323940187,-0.042653539980862076,0.7093221480338145
hist_gbm,hour,2,275,51.3165122051032,17.57234640645736,-0.029929690187529667,0.694597946047708
hist_gbm,hour,3,275,47.44873711879076,16.743043100067595,-0.026069462611982397,0.6870692505894651
hist_gbm,hour,4,275,44.97306227896266,16.16528520695783,-0.022857392902120965,0.6729720175295382
hist_gbm,hour,5,275,41.33691554962223,16.3825701332044,-0.02971782988936056,0.6661032688135986
hist_gbm,hour,6,275,51.01864365117936,19.751941032074857,-0.0551067479381242,0.6956476463653019
hist_gbm,hour,7,275,37.22524630264016,16.957613219850604,-0.04524213316179626,0.6554572141587939
hist_gbm,hour,8,275,42.33563863951016,19.107148915122355,-0.06694219724513517,0.6794262545415382
hist_gbm,hour,9,275,43.87372028012563,19.385857043397877,-0.06496844035007188,0.6825043160635733
hist_gbm,hour,10,275,66.11696130684416,23.300582436308765,-0.05833277701909001,0.7216836747149026
hist_gbm,hour,11,275,62.27887736255826,23.211286295470224,-0.06404458418641079,0.722338460585505
hist_gbm,hour,12,275,31.618442311538935,17.882455211966555,-0.07107631533964809,0.6651176713751134
hist_gbm,hour,13,275,69.93506581670594,23.448950360678328,-0.05136571359019659,0.7219105822811379
hist_gbm,hour,14,275,66.1312479432664,23.81769250216078,-0.06142419837347335,0.722927194644099
hist_gbm,hour,15,275,79.81170779032787,25.37805024700001,-0.049219791536177615,0.7281430607310613
hist_gbm,hour,16,275,88.98770762991275,29.36054035884425,-0.06510674068105948,0.7544601122396649
hist_gbm,hour,17,275,90.45177432219526,29.794443034384624,-0.06644561449722008,0.7552406259161057
hist_gbm,hour,18,275,94.24759001874757,29.310851245666413,-0.058965720650774545,0.750957930535335
hist_gbm,hour,19,275,86.47699516731718,28.114223818936203,-0.06171662418134094,0.7439169995425138
hist_gbm,hour,20,275,76.89478971472688,27.4847029373925,-0.07524091993035253,0.7418862153792923
hist_gbm,hour,21,275,84.5335667048714,27.297266101475756,-0.05852910991379279,0.7446484116299754
hist_gbm,hour,22,275,78.60480007793453,26.150709671862753,-0.06189531564201922,0.7454829545495907
hist_gbm,hour,23,275,38.3597899044176,17.006264962295642,-0.042330522632625156,0.6631407129124218
hist_gbm,utility,pge,2304,18.177091429461566,15.08412475088906,0.03518313743726076,0.786638161267491
hist_gbm,utility,sce,4296,79.31784984224663,26.05803905124212,-0.07328680736016735,0.6949964968592376
hist_gbm,sub_kv_class,66.0,4584,16.727056895389456,11.978023939450457,0.2537851953558702,0.6266730709475449
hist_gbm,sub_kv_class,115.0,1152,151.26302441236038,70.86354121022174,-0.28681780131411827,0.8256751765766909
hist_gbm,sub_kv_class,230.0,288,8.251920480912958,8.10633788380831,-24.796372143087165,0.8509644817621229
