name,owner_raw,owner_std,type,category,matched_to_scrape,max_voltage_kv,latitude,longitude,county,city,status,cec_resolve_area,hifld_id
Fumarole,PG&E,pge,SUBSTATION,substation,False,230.0,38.795974,-122.76699329,Sonoma County,,Operational,PGE NGBA,304020.0
Berry - (Other),Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,230.0,38.76173289,-121.26413846,Placer County,Roseville,Operational,PGE NGBA,308767.0
NCPA 1&2,PG&E,pge,SUBSTATION,substation,False,230.0,38.75227265,-122.71953592,Sonoma County,,Operational,PGE NGBA,304033.0
US Windpower,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,230.0,38.12363299,-121.82921782,Solano County,,Operational,PGE GBA,307023.0
Unknown - 3607,PG&E NGBA,pge,SUBSTATION,substation,False,230.0,38.63768798,-121.22046119,Sacramento County,Fair Oaks,Operational,PGE NGBA,303291.0
Unknown - 3638,PG&E KERN,pge,SUBSTATION,substation,False,230.0,35.02465335,-118.99504175,Kern County,,Operational,PGE Kern,303962.0
Unknown - 3646,PG&E GBA,pge,SUBSTATION,substation,False,230.0,37.57432269,-120.98483522,Stanislaus County,Ceres,Operational,PGE GBA,304066.0
Potrero - (PG&E GBA),PG&E,pge,SUBSTATION,substation,False,230.0,37.75744844,-122.38650408,San Francisco County,San Francisco,Operational,PGE GBA,304702.0
Rosemore B,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,230.0,37.64253977,-121.04294204,Stanislaus County,"Modesto, CA",Operational,PGE GBA,302361.0
Santa Rosa Geothermal,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,230.0,38.766206,-122.71321138,Lake County,,Operational,PGE NGBA,306482.0
Unknown - 2553,PG&E,pge,SUBSTATION ASSUMED,substation,False,230.0,38.7658616,-122.71191424,Lake County,,Operational,PGE NGBA,
Unknown - 2557,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,230.0,37.76721651,-121.61650213,Alameda County,,Operational,PGE GBA,310206.0
Flowind Corp,PG&E,pge,SUBSTATION,substation,False,230.0,37.76433184,-121.61443601,CONTRA COSTA,,Operational,PGE GBA,300960.0
High Winds,PG&E,pge,SUBSTATION,substation,False,230.0,38.12739084,-121.83076389,Solano County,,Operational,PGE GBA,307186.0
Unknown - 2607,PG&E,pge,SUBSTATION,substation,False,230.0,37.74248469,-121.7332844,Alameda County,,Operational,PGE GBA,309619.0
Wind Gap,PG&E,pge,SUBSTATION,substation,False,230.0,35.01416018,-118.97753342,Kern County,,Operational,PGE Kern,308232.0
Unknown - 3858,PG&E FRESNO,pge,SUBSTATION,substation,False,230.0,36.23352579,-119.91690388,Kings County,"Lemoore Station, CA",Operational,PGE Fresno,305521.0
Unknown - 3926,PG&E GBA,pge,SUBSTATION,substation,False,230.0,38.12037286,-121.77743916,Solano County,,Operational,PGE GBA,306918.0
Arkansas - (PG&E),PG&E,pge,SUBSTATION,substation,False,230.0,39.36527723,-122.26383027,Colusa County,,Operational,PGE NGBA,305625.0
Oakmont North,PG&E,pge,SUBSTATION,substation,False,230.0,38.4428208,-122.58380045,Sonoma County,Santa Rosa,Operational,PGE NGBA,307357.0
Oakmont South,PG&E,pge,SUBSTATION,substation,False,230.0,38.42885154,-122.59333015,Sonoma County,Santa Rosa,Operational,PGE NGBA,309048.0
Technical Ecological Services,PG&E,pge,SUBSTATION,substation,False,230.0,37.7821165,-121.96766765,Contra Costa County,Danville,Operational,PGE GBA,302072.0
Pacheco Wind Power,PG&E,pge,SUBSTATION,substation,False,230.0,37.04146245,-121.01080288,Merced County,,Operational,PGE Fresno,309344.0
Hatchet Ridge Wind,PG&E,pge,SUBSTATION,substation,False,230.0,40.89027562,-121.79687987,Shasta County,,Operational,PGE NGBA,309110.0
Calistoga 19,PG&E,pge,SUBSTATION,substation,False,230.0,38.78946373,-122.74443136,Lake County,,Operational,PGE NGBA,309686.0
Sonoma 3,PG&E,pge,SUBSTATION,substation,False,230.0,38.79007548,-122.75680661,Sonoma County,,Operational,PGE NGBA,310210.0
Grant 20,PG&E,pge,SUBSTATION,substation,False,230.0,38.77872592,-122.75521265,Sonoma County,,Operational,PGE NGBA,310367.0
