ba,datetime_utc
NEVP,2020-03-09 04:00:00+00:00
NEVP,2020-03-09 05:00:00+00:00
NEVP,2020-03-09 06:00:00+00:00
NEVP,2020-03-09 07:00:00+00:00
WALC,2024-07-13 08:00:00+00:00
WALC,2024-07-13 09:00:00+00:00
WALC,2024-07-13 10:00:00+00:00
WALC,2024-07-13 11:00:00+00:00
WALC,2024-07-13 12:00:00+00:00
WALC,2024-07-13 13:00:00+00:00
WALC,2024-07-13 14:00:00+00:00
WALC,2024-07-13 15:00:00+00:00
WALC,2024-07-13 16:00:00+00:00
WALC,2024-07-13 17:00:00+00:00
WALC,2024-07-13 18:00:00+00:00
WALC,2024-07-13 19:00:00+00:00
WALC,2024-07-13 20:00:00+00:00
WALC,2024-07-13 21:00:00+00:00
WALC,2024-07-13 22:00:00+00:00
WALC,2024-07-13 23:00:00+00:00
WALC,2024-07-14 00:00:00+00:00
WALC,2024-07-14 01:00:00+00:00
WALC,2024-07-14 02:00:00+00:00
WALC,2024-07-14 03:00:00+00:00
WALC,2024-07-14 04:00:00+00:00
WALC,2024-07-14 05:00:00+00:00
WALC,2024-07-14 06:00:00+00:00
WALC,2024-07-14 07:00:00+00:00
WALC,2024-07-14 08:00:00+00:00
WALC,2024-07-14 09:00:00+00:00
WALC,2024-07-14 10:00:00+00:00
WALC,2024-07-14 11:00:00+00:00
WALC,2024-07-14 12:00:00+00:00
WALC,2024-07-14 13:00:00+00:00
WALC,2024-07-14 14:00:00+00:00
WALC,2024-07-14 15:00:00+00:00
WALC,2024-07-14 16:00:00+00:00
WALC,2024-07-14 17:00:00+00:00
WALC,2024-07-14 18:00:00+00:00
WALC,2024-07-14 19:00:00+00:00
WALC,2024-07-14 20:00:00+00:00
WALC,2024-07-14 21:00:00+00:00
WALC,2024-07-14 22:00:00+00:00
WALC,2024-07-14 23:00:00+00:00
