name_norm,lat_basin,lon_basin,name_raw_basin,lat_util,lon_util,name_raw_util,dist_km
arvin,35.15031452530935,-118.87846735665951,Arvin,35.14989859396815,-118.87875605697371,ARVIN,0.05317870558851083
ashlan ave,36.79289039579161,-119.82800800955027,Ashlan Ave,36.79285389656522,-119.82738205997627,ASHLAN AVE,0.05588558944293081
atascadero,35.465472178074315,-120.6714416884647,Atascadero,35.4651926369646,-120.6714179229173,ATASCADERO,0.03115798044428479
atwater,37.36010093561656,-120.61468476352314,Atwater,37.3600903184248,-120.61458852452108,ATWATER,0.008587324528688906
auberry,37.06798806235496,-119.49571647400064,Auberry,37.0682317832377,-119.49617440265196,AUBERRY,0.048838487990132934
auburn,38.90349314437346,-121.06982652969592,Auburn,38.90362002905324,-121.07000550995504,AUBURN,0.020950589950097753
avena,37.84226199204446,-121.0541250136846,Avena,37.84274975923836,-121.05412253622625,AVENA,0.05423767363731773
bahia,38.08087076372414,-122.1373890774632,Bahia,38.08114613944989,-122.13740639333582,BAHIA,0.03065786847291421
bakersfield,35.38723247177944,-119.0044360309872,Bakersfield,35.38858633344532,-119.00445108128255,BAKERSFIELD,0.1505487308301875
balfour,37.92583800616787,-121.67827598590216,Balfour,37.926180349016605,-121.67855023269668,BALFOUR,0.04502998053635563
bancroft,37.73986963293181,-122.15540723260396,Bancroft,37.74028783112764,-122.1548323818996,BANCROFT,0.06868402215857648
bangor,39.38767373773818,-121.40317569925232,Bangor,39.38796688540241,-121.40298390629762,BANGOR,0.03652679758212165
barrett,37.93956363231305,-122.34723449027432,Barrett,37.93963708159622,-122.3466580473046,BARRETT,0.05120662535462391
barry,39.06921638560733,-121.6898478161391,Barry,39.069242120060025,-121.68996821514853,BARRY,0.010780760634305796
barton,36.76424275634893,-119.73491080578825,Barton,36.764127437715366,-119.73480480396712,BARTON,0.0159244046926634
basalt,38.26316201235704,-122.2692320112342,Basalt,38.26311376964152,-122.26904909242027,BASALT,0.016847041861770086
bay meadows,37.55158035932156,-122.29285775519622,Bay Meadows,37.55164336687077,-122.29243887652298,BAY MEADOWS,0.03758537019189592
baywood,35.36124621126173,-120.81143387275726,Baywood,35.36100149108163,-120.8115828504644,BAYWOOD,0.030380614146221518
bear valley,37.58645560462845,-120.1255417263133,Bear Valley,37.58580609306456,-120.12582981367848,BEAR VALLEY,0.07655365989500762
bell,38.94679967505984,-121.0916715839996,Bell,38.946685494069264,-121.0914507213159,BELL,0.02293496206175395
bellevue,38.37897355035385,-122.71253961282282,Bellevue,38.37873966235465,-122.7127531517697,BELLEVUE,0.03198196711579446
belmont,37.52346570103678,-122.26523211220224,Belmont,37.52392507929761,-122.2655656379043,BELMONT,0.05894370363220066
beresford,37.56489265618386,-122.31931200422642,Beresford,37.56455256555905,-122.31946336534357,BERESFORD,0.04010061504441924
berkeley f,37.87242956835905,-122.27816911147052,Berkeley F,37.87234225189556,-122.27809421905329,BERKELEY F,0.011725224952749334
big basin,37.130888014806175,-122.17214468956844,Big Basin,37.13125948685303,-122.17227801178812,BIG BASIN,0.04296349180815015
big bend,39.67735464121586,-121.49151789252134,Big Bend,39.67704842121007,-121.4915529611423,BIG BEND,0.03418212156454721
big lagoon,41.162714744863706,-124.10200637028775,Big Lagoon,41.162116737480105,-124.1022126767118,BIG LAGOON,0.0687015713785222
big meadows,40.171557302152735,-121.08533652645772,Big Meadows,40.17150258367834,-121.08392810254136,BIG MEADOWS,0.11982257854785486
big river,39.31141158284998,-123.78654080553652,Big River,39.31134527209194,-123.78666920979292,BIG RIVER,0.013281714380315253
biola,36.79273986686032,-120.11414660446664,Biola,36.79252636020794,-120.11415824294244,BIOLA,0.02376346580502847
blackwell,35.61462223382047,-119.85371117195912,Blackwell,35.61426839081551,-119.8538757564631,BLACKWELL,0.04206450021959277
blue lake,40.87983429974335,-123.98059072697896,Blue Lake,40.88014012907379,-123.98025783924872,BLUE LAKE,0.04404212872320082
bogue,39.095903402766886,-121.62397928761747,Bogue,39.096194366463855,-121.6233825471538,BOGUE,0.060817011672614704
bolinas,37.941212015097584,-122.70614899138528,Bolinas,37.940980126696346,-122.706692230778,BOLINAS,0.054168905276550786
bonita,36.92391823971697,-120.20157965744748,Bonita,36.96781971171099,-120.2031525152736,BONITA,4.883621652502751
bonnie nook,39.21470786930682,-120.8092924505058,Bonnie Nook,39.21451033170248,-120.80959918082056,BONNIE NOOK,0.034362363576517424
borden,36.92214300830158,-119.98461599164996,Borden,36.92213595117919,-119.98430925285751,BORDEN,0.02727885623974027
boronda,36.69028668467311,-121.67925781517144,Boronda,36.690641286171,-121.67942490459326,BORONDA,0.04215067500140382
bowles,36.6056190151958,-119.77330698067958,Bowles,36.60577292106775,-119.77351527184116,BOWLES,0.025269727724688728
brentwood,37.91905743453774,-121.6767632027892,Brentwood,37.91951019657826,-121.6770008771395,BRENTWOOD,0.05449098015743936
bridgeville,40.47964597017619,-123.78030981845563,Bridgeville,40.47973690196123,-123.78042714948089,BRIDGEVILLE,0.014167419076299684
britton,37.37456219213301,-122.01636588479026,Britton,37.37491569242551,-122.01651663969916,BRITTON,0.04150342835960736
brookside,37.96209565707229,-122.3474106211808,Brookside,37.96197173061187,-122.34740011271514,BROOKSIDE,0.013810754555349794
browns valley,39.22586945122523,-121.4227730889153,Browns  Valley,39.22604998760262,-121.42343570527576,BROWNS VALLEY,0.06050387644340444
brunswick,39.23105001931794,-121.03502608178792,Brunswick,39.231239532701935,-121.03491018822432,BRUNSWICK,0.023317605243910165
buellton,34.624776631645176,-120.18609463634252,Buellton,34.62516166893696,-120.18655523536748,BUELLTON,0.06007729601561846
buena vista,36.65389082139208,-121.62933839543028,Buena Vista,36.65393162469321,-121.62925836204246,BUENA VISTA,0.008459210970177917
bullard,36.82387712081925,-119.76847588716016,Bullard,36.82406405231952,-119.76842651281234,BULLARD,0.021245352698193713
burlingame,37.58992414455095,-122.36337404834336,Burlingame,37.589994031230255,-122.3628212137506,BURLINGAME,0.04932650258636086
burney,40.88793197595096,-121.67118732303456,Burney,40.888215757543065,-121.6708403712964,BURNEY,0.04296918728128442
burns,37.09533199716804,-122.14428727103169,Burns,37.09517776069064,-122.14368831593914,BURNS,0.05582283990252238
butte,39.7122064481817,-121.81335707689334,Butte,39.712000513701405,-121.81334760711448,BUTTE,0.022913192011386363
cabrillo,34.6432697885287,-120.43728019313264,Cabrillo,34.643231832675774,-120.4373602032375,CABRILLO,0.008449033541939195
california ave,36.71951798339581,-119.76418502160708,California Ave,36.71976722854816,-119.76422834299458,CALIFORNIA AVE,0.027982481639994124
calistoga,38.59208804224296,-122.57861044400111,Calistoga,38.59257954214048,-122.57827051121993,CALISTOGA,0.06212650855564526
calpella,39.19724965871583,-123.19241807516715,Calpella,39.19727795800626,-123.1925392202005,CALPELLA,0.010903408288951593
camden,36.44598609096055,-119.79896661374448,Camden,36.44568692380856,-119.79886678890834,CAMDEN,0.03444337681909216
camp evers,37.04188835011482,-122.02513661190704,Camp Evers,37.04175134982072,-122.02549688702273,CAMP EVERS,0.03541967434245318
canal,37.06633333339536,-120.83556394913944,Canal,37.06637138757264,-120.83597188351864,CANAL,0.036441159274090806
cantua,36.42931356064096,-120.34165575802164,Cantua,36.429254389544624,-120.3414752851558,CANTUA,0.017435355404818897
capay,39.77596358103245,-122.10381094002612,Capay,39.77653431381928,-122.10355513930796,CAPAY,0.06712210990855018
carlotta,40.54114692359107,-124.06376729572114,Carlotta,40.541262800218725,-124.06428630276322,CARLOTTA,0.045710371452409804
carneras,35.54109994696263,-119.80523057317228,Carneras,35.5408527000329,-119.80462245906078,CARNERAS,0.06150801502129883
carolands,37.55280499465498,-122.37631200928465,Carolands,37.552816739650304,-122.3759674032582,CAROLANDS,0.030406609441238495
carquinez,38.09087251077395,-122.24865135326652,Carquinez,38.09076019525074,-122.24869737229972,CARQUINEZ,0.01312220717749045
carrizo plains,35.38068153866974,-120.04019423974916,Carrizo Plains,35.381017002802906,-120.04015761995842,CARRIZO PLAINS,0.03744935831234739
caruthers,36.5321694559588,-119.8814694502654,Caruthers,36.53207399155622,-119.88218484607894,CARUTHERS,0.06479442303108739
cassidy,36.9235350157937,-119.8126589810418,Cassidy,36.923692299083626,-119.81261089872176,CASSIDY,0.01800381984680312
castro valley,37.69128098435761,-122.06127739017332,Castro Valley,37.6917841084946,-122.06126559376074,CASTRO VALLEY,0.05595447959145942
catlett,38.80884800692517,-121.51641401759566,Catlett,38.80879690086217,-121.5164995196137,CATLETT,0.00933703028666156
