sub_key,SUBSTATION,YEAR,MONTH,HOUR,MIN_LOAD_bulk,MAX_LOAD_bulk,MIN_LOAD_scrape,MAX_LOAD_scrape,min_diff,max_diff,any_diff
allview,Allview P.T.,2022,9,1,0.15,0.2,,,,,FALSE
allview,Allview P.T.,2022,9,2,0.14,0.19,,,,,FALSE
allview,Allview P.T.,2022,9,3,0.15,0.2,,,,,FALSE
allview,Allview P.T.,2022,9,4,0.14,0.2,,,,,FALSE
allview,Allview P.T.,2022,9,5,0.15,0.21,,,,,FALSE
allview,Allview P.T.,2022,9,6,0.16,0.22,,,,,FALSE
allview,Allview P.T.,2022,9,7,0.17,0.23,,,,,FALSE
allview,Allview P.T.,2022,9,8,0.16,0.24,,,,,FALSE
allview,Allview P.T.,2022,9,9,0.16,0.24,,,,,FALSE
allview,Allview P.T.,2022,9,10,0.16,0.25,,,,,FALSE
allview,Allview P.T.,2022,9,11,0.16,0.22,,,,,FALSE
allview,Allview P.T.,2022,9,12,0.16,0.22,,,,,FALSE
allview,Allview P.T.,2022,9,13,0.17,0.22,,,,,FALSE
allview,Allview P.T.,2022,9,14,0.17,0.24,,,,,FALSE
allview,Allview P.T.,2022,9,15,0.18,0.24,,,,,FALSE
allview,Allview P.T.,2022,9,16,0.18,0.25,,,,,FALSE
allview,Allview P.T.,2022,9,17,0.21,0.26,,,,,FALSE
allview,Allview P.T.,2022,9,18,0.22,0.29,,,,,FALSE
allview,Allview P.T.,2022,9,19,0.23,0.29,,,,,FALSE
allview,Allview P.T.,2022,9,20,0.23,0.28,,,,,FALSE
allview,Allview P.T.,2022,9,21,0.21,0.26,,,,,FALSE
allview,Allview P.T.,2022,9,22,0.19,0.27,,,,,FALSE
allview,Allview P.T.,2022,9,23,0.17,0.22,,,,,FALSE
allview,Allview P.T.,2022,10,0,0.2,0.31,,,,,FALSE
allview,Allview P.T.,2022,10,1,0.19,0.29,,,,,FALSE
allview,Allview P.T.,2022,10,2,0.19,0.27,,,,,FALSE
allview,Allview P.T.,2022,10,3,0.19,0.27,,,,,FALSE
allview,Allview P.T.,2022,10,4,0.2,0.27,,,,,FALSE
allview,Allview P.T.,2022,10,5,0.21,0.27,,,,,FALSE
allview,Allview P.T.,2022,10,6,0.21,0.3,,,,,FALSE
allview,Allview P.T.,2022,10,7,0.22,0.3,,,,,FALSE
allview,Allview P.T.,2022,10,8,0.23,0.32,,,,,FALSE
allview,Allview P.T.,2022,10,9,0.23,0.33,,,,,FALSE
allview,Allview P.T.,2022,10,10,0.24,0.31,,,,,FALSE
allview,Allview P.T.,2022,10,11,0.22,0.31,,,,,FALSE
allview,Allview P.T.,2022,10,12,0.21,0.31,,,,,FALSE
allview,Allview P.T.,2022,10,13,0.22,0.29,,,,,FALSE
allview,Allview P.T.,2022,10,14,0.22,0.3,,,,,FALSE
allview,Allview P.T.,2022,10,15,0.22,0.31,,,,,FALSE
allview,Allview P.T.,2022,10,16,0.24,0.31,,,,,FALSE
allview,Allview P.T.,2022,10,17,0.27,0.34,,,,,FALSE
allview,Allview P.T.,2022,10,18,0.3,0.36,,,,,FALSE
allview,Allview P.T.,2022,10,19,0.3,0.37,,,,,FALSE
allview,Allview P.T.,2022,10,20,0.28,0.37,,,,,FALSE
allview,Allview P.T.,2022,10,21,0.28,0.36,,,,,FALSE
allview,Allview P.T.,2022,10,22,0.27,0.35,,,,,FALSE
allview,Allview P.T.,2022,10,23,0.23,0.33,,,,,FALSE
allview,Allview P.T.,2022,11,0,0.26,0.32,,,,,FALSE
allview,Allview P.T.,2022,11,1,0.23,0.31,,,,,FALSE
allview,Allview P.T.,2022,11,2,0.23,0.29,,,,,FALSE
allview,Allview P.T.,2022,11,3,0.22,0.29,,,,,FALSE
allview,Allview P.T.,2022,11,4,0.22,0.29,,,,,FALSE
allview,Allview P.T.,2022,11,5,0.23,0.31,,,,,FALSE
