util_name,util_norm,util_lat,util_lon,basin_name,basin_norm,basin_lat,basin_lon,dist_km,name_match
KEARNY WEST,kearny west,32.82920357991212,-117.12974040131913,Kearny,kearny,32.83287778257747,-117.13196111375102,0.45822212045957306,False
SPRING VALLEY,spring valley,32.738235386404725,-116.99792090582828,Spring Valley,spring valley,32.738978993333944,-117.0027409998221,0.4583491463698131,True
KETTNER,kettner,32.7330986044989,-117.1790013900778,Kettner,kettner,32.733181011754915,-117.17377098510627,0.48932203010802605,True
CLAIREMONT,clairemont,32.82923686234866,-117.18779641483354,Clairemont,clairemont,32.82590129654676,-117.18399566712438,0.5135026646810078,True
POINT LOMA,point loma,32.743550841479994,-117.2282620623224,Point Loma,point loma,32.74148888108397,-117.23339997947583,0.532430859334646,True
BOULEVARD EAST,boulevard east,32.658400194287246,-116.26859395520212,Boulevard,boulevard,32.661739529548115,-116.2732725289124,0.574196084089442,False
ESCO,esco,33.120609601909536,-117.08670241957644,Esco,esco,33.11580789493501,-117.08907519224232,0.5778474974025991,True
SANTEE,santee,32.85787851830011,-116.96354154047636,Santee,santee,32.85443800932987,-116.9683690172454,0.5913454474902927,True
FRIARS,friars,32.77367296521225,-117.15717030496512,Friars,friars,32.77903023433159,-117.1568485067622,0.5964603835708544,True
WARREN CANYON,warren canyon,33.020611256995075,-117.00065098249038,Warren Canyon,warren canyon,33.01541111409764,-117.00231944679572,0.5987896299691223,True
MIRAMAR,miramar,32.89414865764679,-117.14218638005084,Miramar,miramar,32.89420146730078,-117.1355055461297,0.6238011294732067,True
PROCTOR VALLEY,proctor valley,32.66372460308665,-116.97978499873456,Proctor Valley,proctor valley,32.66511501833525,-116.9866819888588,0.663874338348493,True
MURRAY,murray,32.78917720867769,-117.03001783829848,Murray,murray,32.79085554891451,-117.0230500012111,0.6775428348489465,True
GARFIELD,garfield,32.80156566285017,-116.99533176191096,Garfield,garfield,32.795251019241434,-116.99678699823822,0.7152094688150996,True
SWEETWATER,sweetwater,32.66304022706597,-117.08617832421304,Sweetwater,sweetwater,32.65832701793388,-117.09173501319064,0.7384105278865645,True
GENESEE,genesee,32.87698011329068,-117.22411501059366,UC San Diego,uc san diego,32.883610995853,-117.22246600135104,0.7532289664868437,False
URBAN,urban,32.719899279991296,-117.15312960394763,Urban,urban,32.713247195613846,-117.15145833389684,0.7560227178641129,True
GRANT HILL,grant hill,32.71822942161739,-117.12615902920172,Grant Hill,grant hill,32.71264819530314,-117.130813914861,0.7581564629611686,True
OLD TOWN,old town,32.772093546412904,-117.19633742913187,Old Town,old town,32.76607500384663,-117.19238398741764,0.7645306872514478,True
TORREY PINES,torrey pines,32.90838006172779,-117.2314708130261,Dunhill,dunhill,32.90154501906031,-117.22992000622062,0.7736886098752758,False
ROSE CANYON,rose canyon,32.83771123608502,-117.23420710069304,Rose Canyon,rose canyon,32.84454999544128,-117.23705279138883,0.8055683911132034,True
BARRETT,barrett,32.659659096658075,-116.70118598909106,Barrett,barrett,32.66719694583571,-116.70014267216516,0.843841439574329,True
SAN JUAN CAPISTRANO,san juan capistrano,33.51109710702923,-117.65620343526052,Capistrano,capistrano,33.51258900550316,-117.6655339957112,0.8808103448423195,False
PARADISE,paradise,32.69780480948839,-117.05558332585034,Paradise,paradise,32.70448899050115,-117.04999499087356,0.9087596744720172,True
ELLIOTT,elliott,32.8102012092589,-117.08145090431672,Elliott,elliott,32.81593335004344,-117.08849167454088,0.9160779157593195,True
POWAY,poway,33.0077665025613,-117.00619987748352,Warren Canyon,warren canyon,33.01541111409764,-117.00231944679572,0.9238447772262235,False
VINE,vine,32.739010077220925,-117.18090754192951,Kettner,kettner,32.733181011754915,-117.17377098510627,0.9304213592513308,False
LAGUNA NIGUEL,laguna niguel,33.49650770279464,-117.69302896834556,Laguna Niguel,laguna niguel,33.49494501302921,-117.70297598798469,0.9385964108431207,True
LA JOLLA,la jolla,32.83583436821345,-117.2654177968084,La Jolla,la jolla,32.84011390875879,-117.27528890091868,1.037760062640978,True
CABRILLO,cabrillo,32.715978473390244,-117.23990304016904,Cabrillo,cabrillo,32.7074829862412,-117.24505397835118,1.06048053376833,True
SCRIPPS,scripps,32.917728946481574,-117.1044944697442,Scripps,scripps,32.91098057774938,-117.11259445972686,1.0652560806222466,True
TRABUCO,trabuco,33.57169985785648,-117.67862046657189,Trabuco,trabuco,33.56291183004031,-117.67351986563943,1.0854584687625397,True
SUNNYSIDE,sunnyside,32.66621208946227,-117.0379402035208,Sunnyside,sunnyside,32.658020010311176,-117.03031401811224,1.1573337720520094,True
CHOLLAS WEST,chollas west,32.7333877734591,-117.04860433615758,Chollas,chollas,32.74376948691777,-117.04678614426518,1.1668525387547353,False
CARLTON HILLS,carlton hills,32.84816023573025,-117.00216066109306,Carlton Hills,carlton hills,32.85492698992838,-117.0120253901718,1.1896601529364619,True
RANCHO MISSION VIEJO,rancho mission viejo,33.535200421571034,-117.59176174161767,Rancho Mission Viejo,rancho mission viejo,33.52622035828922,-117.59883516588847,1.1945476963158697,True
MONTGOMERY,montgomery,32.637441800556644,-117.0887467245474,Montgomery,montgomery,32.6316666875281,-117.09967226881224,1.207910635983985,True
MISSION,mission,32.783344132103586,-117.12435622720524,Mission,mission,32.78402027400728,-117.13744314865468,1.2257243425801623,True
WABASH CANYON,wabash canyon,32.72991109316187,-117.09755129532914,Wabash,wabash,32.730044002441986,-117.11096601432388,1.2549036883336093,False
BATIQUITOS,batiquitos,33.091670083710525,-117.24282602229248,Batiquitos,batiquitos,33.10114166474143,-117.25041944096992,1.2686867117366687,True
OCEANSIDE,oceanside,33.200337413405535,-117.36870179532734,Oceanside,oceanside,33.19678961596885,-117.38183179056512,1.2838014365548998,True
MIRA SORRENTO,mira sorrento,32.90614317976712,-117.21384710946812,Doublett,doublett,32.91704962833535,-117.2190893773697,1.3077528282071342,False
PALOMAR AIRPORT,palomar airport,33.131263270165704,-117.27774083466684,Palomar Airport,palomar airport,33.122880559493346,-117.28788611905694,1.3271688240736952,True
SAN YSIDRO,san ysidro,32.57161744273628,-117.01748081302864,San Ysidro,san ysidro,32.56217000207851,-117.02676102050113,1.363770757322043,True
BERNARDO,bernardo,33.02429406155207,-117.08162576831958,Bernardo,bernardo,33.021519442554414,-117.09630000706744,1.402460571094448,True
OTAY,otay,32.60119033314478,-117.0435390484847,Otay,otay,32.59534998706765,-117.05782799852634,1.4877819208803762,True
STREAMVIEW,streamview,32.75913215934833,-117.07830335058776,Streamview,streamview,32.74565799569511,-117.07859801908296,1.498512030941143,True
MELROSE,melrose,33.21795967793746,-117.24347456782957,Melrose,melrose,33.20650000341185,-117.252902778841,1.5469531473054754,True
CANNON,cannon,33.136804347563746,-117.31487812370123,Cannon,cannon,33.1373900080471,-117.33271301587769,1.66189634088459,True
LOVELAND,loveland,32.786284167479835,-116.77857997891188,Loveland,loveland,32.79698054756498,-116.79220000065668,1.742272920486795,True
LOS COCHES,los coches,32.87495027255902,-116.89484641244428,Los Coches,los coches,32.85961372106041,-116.8992092308914,1.7533507521530216,True
