substation_name,subst_id,sys_name,existing_gen,queued_gen,total_gen,projected_load,der_penetration,max_remain_cap,voltage_kv,circuit_count,res_pct,com_pct,agr_pct,ind_pct,other_pct,res_total,com_total,agr_total,ind_total,other_total,note_sub
Carnival,2238.0,Hinson 220/66 System,0.0,0.0,0.0,7.8,0.0,28.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Cascade P.t.,1317.0,Valley 500/115 System,3.723,0.285,4.008,4.15,0.97,0.99,12.0,1.0,73.0924,4.0161,0.8032,0.0,22.0884,182.0,10.0,2.0,0.0,55.0,Deliverability in this area has not been determined by previous interconnection studies.
Casper P.t.,1330.0,Santa Clara 220/66 System,0.0,0.0,0.0,0.04,0.0,0.09,4.0,1.0,16.6667,50.0,25.0,0.0,8.3333,2.0,6.0,3.0,0.0,1.0,Interconnection studies in this area have identified adequate deliverability.
Cavalry P.t.,2200.0,Kramer 220/115 System,0.0,0.0,0.0,0.39,0.0,3.75,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,27.0,Interconnection studies in this area have identified inadequate deliverability.
Cedar Pines P.t.,1332.0,Vista 220/115 System,0.041,0.013,0.054,0.27,0.2,0.4,2.4,1.0,79.1667,2.7778,0.0,0.0,18.0556,57.0,2.0,0.0,0.0,13.0,Interconnection studies in this area have identified adequate deliverability.
Centennial,1872.0,Bailey 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Center 'A',370.0,Center 220/66 System,26.827,11.192,38.02,148.78,0.26,241.98,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Center 'B',369.0,Center 220/66 System,80.124,25.553,105.678,327.54,0.32,384.32,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Century,801.0,Vista A 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Chalet P.t.,1333.0,Valley 'Ab' 500/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
Chalon P.t.,,,,,,,,,4.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,
Channel Islands,,,,,,,,,16.0,5.0,65.0744,16.4702,0.0931,0.0465,18.3158,4196.0,1062.0,6.0,3.0,1181.0,
Chemcorp,1133.0,Hinson 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Chillon P.t.,1335.0,Vista 220/115 System,0.096,0.0,0.096,0.76,0.13,0.9,2.4,1.0,70.2128,0.0,0.0,0.0,29.7872,33.0,0.0,0.0,0.0,14.0,Interconnection studies in this area have identified adequate deliverability.
China Ranch P.t.,1336.0,Valley Electric 220/25,0.0,0.0,0.0,0.04,0.0,0.1,2.4,1.0,0.0,42.8571,0.0,0.0,57.1429,0.0,3.0,0.0,0.0,4.0,Interconnection studies in this area have identified adequate deliverability.
Chino Canyon,1052.0,Devers 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
Chino Training P.t.,,,,,,,,,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,
Chino_Sec_A,333.0,Chino 220/66 System,90.071,26.46,116.531,401.62,0.29,443.47,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Chino_Sec_C,332.0,Chino 220/66 System,142.432,25.734,168.166,444.32,0.38,391.83,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
