subname,OBJECTID,subid,monthhour,high,low,last_update_on_map,publish,longitude,latitude
RUSSELL,33579,1331,09_02,1044.0,936.0,1777468603000,1,-122.27989615948655,37.85452448999599
MADERA,33582,25276,03_12,17793.0,-6294.0,1775130635000,1,-120.05507066657292,36.92328166223725
FORT BRAGG A,33599,4276,07_00,7503.0,6606.0,1775130624000,1,-123.79944585942631,39.4353215496146
OCEAN,33610,2258,06_12,1385.0,735.0,1748822400000,1,-122.45488992150584,37.72329584444796
6TH AVENUE,33614,2253,03_01,2087.0,1568.0,1748822400000,1,-122.4647973814628,37.78165946851242
HALF MOON BAY,33627,2410,12_15,19541.0,12407.0,1775130630000,1,-122.4294538339823,37.46904870806549
LOCKHEED NO 2,33655,8300,03_23,7356.0,4752.0,1775130629000,1,-122.03185703639838,37.41633412032817
NEWARK 21KV,33664,1223,07_10,89631.0,62555.0,1777468603000,1,-121.98163324660962,37.50289932556285
SF E,33672,2207,01_03,5076.0,4450.0,1748822400000,1,-122.42031135616251,37.75998246201988
CHOLAME,33700,18256,09_11,8195.0,1099.0,1777391401000,1,-120.33615099258384,35.68629650117082
PETALUMA C,33710,4263,05_13,18091.0,9718.0,1777468602000,1,-122.63676111116996,38.23949974182017
ANITA,33714,10284,01_21,6293.0,5045.0,1775130629000,1,-121.91991335854588,39.81086776157862
SULLIVAN,33737,2285,04_19,435.0,368.0,1748822400000,1,-122.4717637101012,37.68724547633245
JUDAH,33740,2240,10_20,2113.0,1900.0,1748822400000,1,-122.493499260624,37.76070385654141
EL DORADO PH,33861,15276,12_10,7213.0,5001.0,1764089375000,1,-120.61933508570162,38.79358310217803
BEACH (Q),33869,2234,07_04,478.0,440.0,1748822400000,1,-122.41439367858108,37.80767668920345
WESTLAKE,33915,2260,10_06,885.0,640.0,1775130636000,1,-122.48018281387162,37.69887646243163
WESTPARK,33940,25370,09_14,65196.0,36489.0,1777391400000,1,-119.04033986202364,35.37405023329696
NORIEGA,33971,2251,11_05,697.0,565.0,1748822400000,1,-122.50475444624009,37.752473274537806
ECHO SUMMIT,33991,15803,06_00,337.0,204.0,1775130630000,1,-120.0284989889445,38.82437656201053
NEWARK 12KV,34122,1222,12_03,30089.0,22885.0,1777468603000,1,-121.98896346778255,37.50151207995332
RAWSON,34159,10353,12_18,4447.0,3809.0,1748822400000,1,-122.2122547593741,40.14506917599813
COALINGA NO 1,34192,25216,01_15,6661.0,3229.0,1775130636000,1,-120.34415486251105,36.13620074047216
MOUNTAIN VIEW,34399,8203,12_04,31636.0,23374.0,1775130623000,1,-122.06962750222034,37.38264012657535
LODI,34425,16211,09_04,6974.0,5356.0,1769600102000,1,-121.26217434307496,38.137240812553664
WALL,34445,1374,07_09,941.0,739.0,1775130628000,1,-122.31817641662892,37.92740629292976
SAN JOAQUIN #3,34508,25253,11_10,2238.0,860.0,1777391401000,1,-119.51929522608286,37.25390411510671
SF M,34552,2227,08_03,4158.0,3720.0,1748822400000,1,-122.43054770849852,37.733508415379255
BECK STREET,34558,1264,03_18,326.0,242.0,1760074663000,1,-122.17570399534448,37.76624214689912
FIGARDEN,35204,25455,01_12,38063.0,2504.0,1777391401000,1,-119.85912186746845,36.82143004382485
KERCKHOFF,35482,25256,05_19,279.0,179.0,1775130636000,1,-119.55301276394894,37.09207364074768
PIT NO 3,48103,10373,04_10,1038.0,914.0,1775130624000,1,-121.7472863637594,40.99802297914013
FITCH MOUNTAIN,49071,4275,05_09,4975.0,2806.0,1775130619000,1,-122.85303132509898,38.606826614556056
STANISLAUS,53637,16282,12_11,8204.0,4296.0,1777391400000,1,-120.36971689458166,38.14006225541333
CASSERLY,65131,8311,09_21,357.0,290.0,1777474250000,1,-121.7670741950634,36.96982661403625
