bus_i,kV,Type,Import,Lat,Lon,nearest_our_sub,nearest_utility,nearest_our_lat,nearest_our_lon,dist_km,matched
91,66,Substation,' ',37.90286541,-121.7226958,BRENTWOOD,pge,37.91951019657826,-121.6770008771395,4.415391728859347,False
92,115,Substation,' ',37.96324326,-122.0522531,MEADOW LANE,pge,37.96346551773498,-122.05211023752588,0.027706237742953766,True
93,115,Substation,' ',37.99592158,-122.3481031,POINT PINOLE,pge,37.995974173346816,-122.34791448274218,0.017532199648727903,True
94,66,Substation,' ',38.03732601,-122.178096,NORTH TOWER,pge,38.066339734584254,-122.19598269824904,3.5862420630744674,False
95,230,Substation,' ',37.78241596,-121.9676624,RESEARCH,pge,37.7823591848183,-121.96730288036213,0.03221991041353564,True
96,66,Substation,' ',38.028955,-122.103101,FAIRVIEW,pge,38.01590927413491,-122.11629244561098,1.8545930300169222,True
97,66,Substation,' ',38.02477032,-121.9609733,WILLOW PASS,pge,38.02501979007568,-121.96117701573776,0.032983452365821425,True
98,66,Substation,' ',41.77442883,-123.0350791,HOOPA,pge,41.0562197839853,-123.6821751759544,96.38163090650038,False
99,115,Substation,' ',38.69341229,-120.8258948,DIAMOND SPRINGS,pge,38.69335810297077,-120.82605011972905,0.014765216214942714,True
100,115,Substation,' ',38.88492041,-121.0671416,AUBURN,pge,38.90362002905324,-121.07000550995504,2.094022744340987,False
101,66,Substation,' ',38.6349329,-120.9801828,SHINGLE SPRINGS,pge,38.6594107880625,-120.94678677552162,3.9773984175394648,False
102,66,Substation,' ',38.91406597,-121.0189822,MOUNTAIN QUARRIES,pge,38.91439251858,-121.01899061136776,0.03631783751107611,True
103,115,Substation,' ',38.83485899,-121.094821,PENRYN,pge,38.84486110184167,-121.16643199707649,6.301153145082597,False
104,66,Substation,' ',38.65929769,-120.9472381,SHINGLE SPRINGS,pge,38.6594107880625,-120.94678677552162,0.04115658674021972,True
105,66,Substation,' ',38.85028861,-120.3819544,EL DORADO PH,pge,38.79358310217803,-120.61933508570162,21.509632905986045,False
106,115,Substation,' ',38.79337762,-120.619311,EL DORADO PH,pge,38.79358310217803,-120.61933508570162,0.022943729738134057,True
107,115,Substation,' ',36.54076139,-119.5818423,KINGSBURG,pge,36.4886216034969,-119.5824905378176,5.79796916053625,False
108,115,Substation,' ',36.75773233,-119.6968545,AIRWAYS,pge,36.77817677583952,-119.67395617756009,3.0542064889862597,False
109,66,Substation,' ',36.31946224,-119.9470597,HENRIETTA,pge,36.24184869376041,-119.90482761916222,9.42398347292514,False
110,66,Substation,' ',36.23774299,-120.3687036,COALINGA NO 2,pge,36.237727890424445,-120.31459024852086,4.853243869289936,False
111,500,Substation,' ',36.71509335,-120.7018288,HAMMONDS,pge,36.71999629266149,-120.60261292866964,8.8601998032346,False
112,66,Substation,' ',36.22456945,-120.3814639,COALINGA NO 2,pge,36.237727890424445,-120.31459024852086,6.174053791750553,False
113,115,Substation,' ',36.70056751,-119.754489,RANCHERS COTTON,pge,36.70069654914869,-119.7539900369112,0.04674072290903518,True
114,66,Substation,' ',36.90286001,-119.773843,WOODWARD,pge,36.896288880187065,-119.75080744529772,2.1747731919534488,False
115,66,Substation,' ',36.19229514,-120.3552717,COALINGA NO 2,pge,36.237727890424445,-120.31459024852086,6.23229429968561,False
116,66,Substation,' ',36.63241754,-120.3423122,GIFFEN,pge,36.54577475933991,-120.33539282422548,9.65402404240416,False
117,115,Substation,' ',36.52807464,-120.4852632,GIFFEN,pge,36.54577475933991,-120.33539282422548,13.533619282775406,False
118,66,Substation,' ',36.79273987,-120.1141466,BIOLA,pge,36.79252636020794,-120.11415824294244,0.023763831938045953,True
119,66,Substation,' ',36.28400837,-120.122075,CALFLAX,pge,36.28387686148028,-120.12208024379596,0.014630632031866488,True
120,66,Substation,' ',36.44598609,-119.7989666,CAMDEN,pge,36.44568692380856,-119.79886678890834,0.03444295497166952,True
121,115,Substation,' ',36.42931356,-120.3416558,CANTUA,pge,36.429254389544624,-120.3414752851558,0.017438806545315697,True
122,66,Substation,' ',36.83609272,-120.4495568,FIREBAUGH,pge,36.85079413120268,-120.4658435279364,2.184672876748688,False
123,66,Substation,' ',36.53216946,-119.8814695,CARUTHERS,pge,36.53207399155622,-119.88218484607894,0.06479011302538988,True
124,115,Substation,' ',36.63275972,-120.5319935,PANOCHE,pge,36.65147106321651,-120.58017074552066,4.775472380427719,False
125,66,Substation,' ',36.89581265,-119.6647064,COPPERMINE,pge,36.89631750001298,-119.664718786115,0.05614756462589972,True
126,66,Substation,' ',36.22650304,-120.3378885,COALINGA NO 2,pge,36.237727890424445,-120.31459024852086,2.4340666852448405,False
127,66,Substation,' ',36.57016948,-119.4190334,REEDLEY,pge,36.604246761895766,-119.37597494144654,5.397949241302587,False
128,66,Substation,' ',36.70935277,-119.0289556,DUNLAP,pge,36.70967604208161,-119.0292556541925,0.044805814786077335,True
129,66,Substation,' ',36.8505811,-120.4663723,FIREBAUGH,pge,36.85079413120268,-120.4658435279364,0.05267591472456604,True
130,66,Substation,' ',36.59142343,-120.1761988,SAN JOAQUIN,pge,36.62114126800271,-120.17810289515532,3.3088409007990998,False
131,66,Substation,' ',36.18606391,-120.1039111,HURON,pge,36.18607144784237,-120.10386221168731,0.0044668660446695865,True
132,66,Substation,' ',36.69153501,-120.060083,KERMAN,pge,36.69166461699721,-120.06003825090616,0.01495376997701119,True
133,66,Substation,' ',36.70562289,-119.882865,KEARNEY,pge,36.706696128628494,-119.88009059611775,0.2746137302966539,True
134,66,Substation,' ',36.706794,-119.880023,KEARNEY,pge,36.706696128628494,-119.88009059611775,0.012439723921958645,True
135,115,Substation,' ',36.69325502,-119.726534,MALAGA,pge,36.6933448884706,-119.7259384506958,0.05403197106151327,True
136,230,Substation,' ',36.59336916,-119.9887084,MC MULLIN,pge,36.593617549943424,-119.9886805783096,0.027731161645005508,True
137,66,Substation,' ',36.72059631,-120.4589551,MENDOTA,pge,36.72025412492721,-120.45868266031763,0.04513737958074457,True
138,66,Substation,' ',36.75624051,-120.3653702,MENDOTA,pge,36.72025412492721,-120.45868266031763,9.227725472009654,False
139,66,Substation,' ',36.60561902,-119.773307,BOWLES,pge,36.60577292106775,-119.77351527184116,0.025268097058336082,True
140,66,Substation,' ',36.60755351,-119.5213101,PARLIER,pge,36.60756183371276,-119.52147471307352,0.014722564637438262,True
141,115,Substation,' ',36.78995077,-119.4034036,TIVY VALLEY,pge,36.770688020428544,-119.39266766293925,2.3456412417847172,False
142,115,Substation,' ',36.71022222,-119.5381139,SANGER,pge,36.70772235449084,-119.61086419533504,6.491132309911218,False
143,66,Substation,' ',36.6043472,-119.3762084,REEDLEY,pge,36.604246761895766,-119.37597494144654,0.02364347290667808,True
144,66,Substation,' ',36.62093615,-120.1783513,SAN JOAQUIN,pge,36.62114126800271,-120.17810289515532,0.031806712376949944,True
145,66,Substation,' ',36.53108764,-120.1045065,STROUD,pge,36.53114916455339,-120.10431099777811,0.01875979425649701,True
146,66,Substation,' ',36.77054901,-119.393313,TIVY VALLEY,pge,36.770688020428544,-119.39266766293925,0.05952311815226036,True
147,115,Substation,' ',36.68753802,-119.721984,MALAGA,pge,36.6933448884706,-119.7259384506958,0.7356938462657329,True
148,66,Substation,' ',36.66108307,-120.3343954,GIFFEN,pge,36.54577475933991,-120.33539282422548,12.822008277093255,False
149,66,Substation,' ',36.35685741,-120.2512062,SCHINDLER,pge,36.401932506462806,-120.13844397559691,11.270690994027968,False
150,115,Substation,' ',36.83604392,-120.6203074,ORO LOMA,pge,36.88604386572732,-120.65597132911496,6.401399541182034,False
151,66,Substation,' ',39.58278564,-122.0104719,JACINTO,pge,39.58288667011789,-122.01062919339816,0.01754731751810391,True
152,66,Substation,' ',39.77596358,-122.1038109,CAPAY,pge,39.77653431381928,-122.10355513930796,0.06712110451283711,True
153,66,Substation,' ',39.78927916,-122.0513104,CAPAY,pge,39.77653431381928,-122.10355513930796,4.683871607239412,False
154,230,Substation,' ',39.53951119,-122.2630509,LOGAN CREEK,pge,39.53921325844442,-122.2628031886025,0.03935364296967352,True
155,66,Substation,' ',39.725196,-122.178741,ORLAND B,pge,39.72519125045083,-122.17865785695024,0.007130153008466521,True
156,66,Substation,' ',39.55776855,-122.0047037,JACINTO,pge,39.58288667011789,-122.01062919339816,2.838811420331124,False
157,66,Substation,' ',39.531676,-122.1861239,WILLOWS A,pge,39.53184406918284,-122.18627003440444,0.022501701970461984,True
158,66,Substation,' ',39.58704303,-122.533157,ELK CREEK,pge,39.59327331009217,-122.54352006687898,1.126272452034779,True
159,66,Substation,' ',40.87793436,-123.9946333,BLUE LAKE,pge,40.88014012907379,-123.98025783924872,1.2332344270675368,True
160,66,Substation,' ',40.86708117,-124.0884243,ARCATA,pge,40.86730949748007,-124.08825985825644,0.028910194483596118,True
161,66,Substation,' ',41.16271474,-124.1020064,BIG LAGOON,pge,41.162116737480105,-124.1022126767118,0.06870042269776983,True
162,66,Substation,' ',40.90584397,-124.0343692,JANES CREEK,pge,40.90518967567011,-124.07217770855576,3.178262150764352,False
163,66,Substation,' ',40.8798343,-123.9805907,BLUE LAKE,pge,40.88014012907379,-123.98025783924872,0.044040665394198264,True
164,115,Substation,' ',40.47964597,-123.7803098,BRIDGEVILLE,pge,40.47973690196123,-123.78042714948089,0.01416852649163437,True
165,66,Substation,' ',40.80046704,-124.1962938,FAIRHAVEN,pge,40.80053988251958,-124.1961850487832,0.012222944087939808,True
166,66,Substation,' ',40.21377701,-123.5963844,FORT SEWARD,pge,40.213926195853496,-123.5966650918544,0.029038971204827038,True
167,66,Substation,' ',40.28584174,-123.8373077,FRUITLAND,pge,40.286587508255074,-123.83681278567364,0.0929459941610427,True
168,66,Substation,' ',40.10300786,-123.7928774,GARBERVILLE,pge,40.10337464980182,-123.7925248171206,0.05062301528947331,True
169,66,Substation,' ',40.78091459,-124.1318534,HARRIS,pge,40.781372534153576,-124.1319638474449,0.05176325621210248,True
170,66,Substation,' ',40.74032526,-124.2096559,HUMBOLDT BAY PP,pge,40.74070324565622,-124.20905652543362,0.06569984675152621,True
171,66,Substation,' ',40.90513782,-124.072347,JANES CREEK,pge,40.90518967567011,-124.07217770855576,0.015351382507049541,True
172,66,Substation,' ',40.86575137,-124.1523425,ARCATA,pge,40.86730949748007,-124.08825985825644,5.391467179097323,False
173,66,Substation,' ',40.59459298,-124.1352072,NEWBURG,pge,40.594817406183694,-124.13502277842233,0.029414684230031525,True
174,230,Substation,' ',37.80116,-121.641651,HERDLYN,pge,37.81698475446724,-121.58716994811228,5.0993984027674,False
175,66,Substation,' ',40.48092347,-124.1040001,RIO DELL,pge,40.495345252516735,-124.09933588858924,1.651427354918254,True
176,66,Substation,' ',40.72891925,-123.6697785,MAPLE CREEK,pge,40.76836583499929,-123.87400272507614,17.754019568984972,False
177,66,Substation,' ',40.49538982,-124.0992681,RIO DELL,pge,40.495345252516735,-124.09933588858924,0.007577348907093871,True
178,66,Substation,' ',40.82049761,-123.8282375,MAPLE CREEK,pge,40.76836583499929,-123.87400272507614,6.960245674457657,False
179,66,Substation,' ',37.73329501,-121.120652,RIPON,pge,37.75576421896199,-121.14626329694828,3.363554037810475,False
180,66,Substation,' ',41.06473688,-124.1284232,TRINIDAD,pge,41.06502580500504,-124.12827879249215,0.03433244145795806,True
181,115,Substation,' ',32.99897909,-115.5188889,BOULEVARD EAST,sdge,32.658400194287246,-116.26859395520212,79.63112891127957,False
182,115,Substation,' ',33.12533089,-115.9785357,BORREGO,sdge,33.242891548049656,-116.34638794455222,36.6435829813922,False
183,66,Substation,' ',32.78149971,-114.5745907,Verdant,sce,33.41784425716497,-114.72418516485564,72.1173255707521,False
184,115,Substation,' ',32.90250651,-114.4800809,Verdant,sce,33.41784425716497,-114.72418516485564,61.64367311403838,False
