utility,substation_name,util_lat,util_lon,basin_lat,basin_lon,dist_to_basin_km,sub_type,substation_voltage,voltage_kv,sys_name,division,subst_id,existing_gen,queued_gen,total_gen,projected_load,der_penetration,max_remain_cap,circuit_count,res_pct,com_pct,agr_pct,ind_pct,other_pct,res_total,com_total,agr_total,ind_total,other_total,note_sub,lat,lon,coord_source,nearest_cats_id,nearest_cats_kv,nearest_cats_lat,nearest_cats_lon,cats_dist_km,cats_matched
pge,DUMBARTON,37.55713232904114,-122.05834145293557,37.556992018214,-122.05794001685494,0.038673139845519,,,12.0,,Mission,1447.0,21.384,36.222,57.606,,,,3.0,,,,,,,,,,,No,37.55713232904114,-122.05834145293557,utility,7,115,37.55699202,-122.05794,0.038674419214002845,True
pge,SCHINDLER,36.401932506462806,-120.13844397559691,36.401944424908194,-120.1387222013054,0.0249358515864383,,,12.0,,Fresno,25289.0,4.988,5.994,10.982,,,,2.0,,,,,,,,,,,No,36.401932506462806,-120.13844397559691,utility,8231,115,36.4019601,-120.1387436,0.026990709103383213,True
pge,WILKINS SLOUGH,39.0064697514912,-121.86729753227635,39.005842687054574,-121.8670286493896,0.07349530545726,,,12.0,,Sacramento,6277.0,1.103,1.655,2.758,,,,1.0,,,,,,,,,,,Yes,39.0064697514912,-121.86729753227635,utility,1532,230,39.02399377,-121.7233826,12.58544758198566,False
pge,SANTA YNEZ,34.62552143506068,-120.11931589174262,34.625201112592144,-120.11935266826184,0.0357768399614595,,,12.0,,Los Padres,18272.0,7.109,7.505,14.614,,,,2.0,,,,,,,,,,,No,34.62552143506068,-120.11931589174262,utility,1218,115,34.62520111,-120.1193527,0.03577740018017559,True
pge,FAMOSO,35.60547527167606,-119.20318663401906,35.60504032904604,-119.20365312438253,0.0641689592372402,,,12.0,,Kern,25246.0,6.96,8.611,15.571,,,,1.0,,,,,,,,,,,No,35.60547527167606,-119.20318663401906,utility,8446,115,35.60508518,-119.203664,0.06118848289996937,True
pge,FAIRVIEW,38.01590927413491,-122.11629244561098,38.01608705182072,-122.11628728147318,0.0197731526968981,,,21.0,,Diablo,1343.0,5.476,5.801,11.277,,,,1.0,,,,,,,,,,,No,38.01590927413491,-122.11629244561098,utility,1592,115,38.01608705,-122.1162873,0.019772913228170288,True
pge,WATERLOO,38.05131599877336,-121.20945809220316,38.05163078327458,-121.20989255434432,0.0516949568193337,,,12.0,,Stockton,16315.0,5.071,5.474,10.545,,,,1.0,,,,,,,,,,,No,38.05131599877336,-121.20945809220316,utility,1170,66,38.05163078,-121.2098926,0.05169765222855768,True
pge,SILVERADO,38.49997654207099,-122.45894388782744,38.49981793855024,-122.45911067581191,0.0228405075159981,,,21.0,,North Bay,4343.0,9.214,9.617,18.831,,,,2.0,,,,,,,,,,,No,38.49997654207099,-122.45894388782744,utility,8044,66,38.49986786,-122.4591484,0.02151234679399935,True
pge,STOCKTON A,37.94731136404815,-121.28897066909988,37.94745800461249,-121.2887219790938,0.0272286718525134,,,12.0,,Stockton,16237.0,9.78,10.474,20.254,,,,5.0,,,,,,,,,,,No,37.94731136404815,-121.28897066909988,utility,8161,115,37.94746451,-121.2887683,0.02459407898784734,True
pge,AVENA,37.84274975923836,-121.05412253622625,37.84226199204446,-121.0541250136846,0.0542376736373177,,,17.0,,Stockton,16357.0,6.615,14.743,21.358,,,,1.0,,,,,,,,,,,No,37.84274975923836,-121.05412253622625,utility,1136,115,37.84226199,-121.054125,0.05423789616333704,True
pge,GABILAN,36.73135977881113,-121.61341084063255,36.73130337624566,-121.61331164213672,0.0108390234693846,,,12.0,,Central Coast,18233.0,5.271,7.21,12.481,,,,1.0,,,,,,,,,,,No,36.73135977881113,-121.61341084063255,utility,637,66,36.73130338,-121.6133116,0.010841844856076836,True
pge,GOOSE LAKE,35.60174548016343,-119.57986582808483,35.60163890356536,-119.57988056253367,0.0119254160006158,,,12.0,,Kern,25420.0,2.43,10.408,12.838,,,,2.0,,,,,,,,,,,No,35.60174548016343,-119.57986582808483,utility,8690,66,35.57824487,-119.5442403,4.148008745383423,False
pge,CANAL,37.06637138757264,-120.83597188351864,37.06633333339536,-120.83556394913944,0.0364411592740908,,,12.0,,Yosemite,25209.0,9.715,20.063,29.778,,,,2.0,,,,,,,,,,,No,37.06637138757264,-120.83597188351864,utility,606,66,37.06633333,-120.8355639,0.03644553360057056,True
pge,CHALLENGE,39.48563129002225,-121.22014874811364,39.48525925803122,-121.22031867914004,0.043863295512374,,,12.0,,North Valley,10320.0,0.397,0.487,0.884,,,,1.0,,,,,,,,,,,No,39.48563129002225,-121.22014874811364,utility,1489,66,39.48525926,-121.2203187,0.043863684263908236,True
pge,TERMINOUS,38.11711521592538,-121.42139866543384,38.11646156281604,-121.422181919905,0.0998899521986201,,,12.0,,Stockton,16302.0,1.073,2.452,3.525,,,,1.0,,,,,,,,,,,No,38.11711521592538,-121.42139866543384,utility,1167,66,38.11646156,-121.4221819,0.09988898553854886,True
pge,PERRY,35.57121004522495,-121.0559169553722,35.57091817059289,-121.05537112809648,0.0590802839118262,,,12.0,,Los Padres,18307.0,5.962,6.5,12.462,,,,1.0,,,,,,,,,,,No,35.57121004522495,-121.0559169553722,utility,1184,66,35.57091817,-121.0553711,0.0590824435677342,True
pge,PINEDALE,36.85007067841538,-119.8034557830923,36.84992908278196,-119.80334504901184,0.018573585439142,,,21.0,,Fresno,25285.0,13.161,13.64,26.801,,,,3.0,,,,,,,,,,,No,36.85007067841538,-119.8034557830923,utility,2185,115,36.84992908,-119.803345,0.018576161463524456,True
pge,JAMESON,38.20543608324877,-122.14796860832556,38.20550643382101,-122.1478779805956,0.0111310452651273,,,12.0,,North Bay,6380.0,3.373,4.493,7.866,,,,2.0,,,,,,,,,,,No,38.20543608324877,-122.14796860832556,utility,1782,115,38.20550643,-122.147878,0.01112954051347159,True
pge,PIT NO 5,40.98670271889426,-121.97630522163178,40.98672928632707,-121.97658491117306,0.023661382146224,,,12.0,,North Valley,10132.0,2.057,2.062,4.119,,,,1.0,,,,,,,,,,,Yes,40.98670271889426,-121.97630522163178,utility,1730,230,40.98672929,-121.9765849,0.023660502649575393,True
pge,RIO DELL,40.495345252516735,-124.09933588858924,40.49538981817036,-124.09926805925724,0.0075798224496724,,,12.0,,Humboldt,19225.0,0.165,0.205,0.37,,,,1.0,,,,,,,,,,,No,40.495345252516735,-124.09933588858924,utility,177,66,40.49538982,-124.0992681,0.007577348907093871,True
pge,KERN OIL,35.44071661874439,-119.02040105128609,35.4407056097126,-119.02073606106468,0.0303739792686101,,,12.0,,Kern,25272.0,1.926,3.482,5.408,,,,3.0,,,,,,,,,,,No,35.44071661874439,-119.02040105128609,utility,283,115,35.44070561,-119.0207361,0.030377502353699785,True
pge,STILLWATER,40.67760281495655,-122.34983936540058,40.67776349188238,-122.34977518071872,0.0186683387218439,,,12.0,,North Valley,10356.0,3.621,3.79,7.411,,,,1.0,,,,,,,,,,,No,40.67760281495655,-122.34983936540058,utility,1287,66,40.67776349,-122.3497752,0.018667667034624635,True
pge,CLAY,38.34223678954548,-120.93502517926262,38.34219061191322,-120.93498037585024,0.0064523789306713,,,12.0,,Stockton,16334.0,4.367,4.759,9.126,,,,2.0,,,,,,,,,,,No,38.34223678954548,-120.93502517926262,utility,26,66,38.34219061,-120.9349804,0.006451273039027322,True
pge,SANTA NELLA,37.08567509415812,-121.01318384348406,37.085841857403146,-121.01322547094186,0.0189072992596971,,,12.0,,Yosemite,25405.0,5.078,6.0120000000000005,11.09,,,,2.0,,,,,,,,,,,No,37.08567509415812,-121.01318384348406,utility,617,66,37.08584186,-121.0132255,0.018908086007288185,True
pge,HOLLYWOOD,37.81262335848576,-122.2188198016409,,,,,,4.16,,East Bay,1317.0,1.716,1.915,3.631,,,,1.0,,,,,,,,,,,No,37.81262335848576,-122.2188198016409,utility,1611,115,37.80528987,-122.2312677,1.3641172626901017,True
