utility,substation_name,node,dist_km
pge,SEMITROPIC,266,0.014362713235062633
sce,Mira Loma,8083,0.014388023217386648
pge,MIRA VISTA,2125,0.01439677444028334
pge,COLUMBUS,8300,0.014434708781575479
pge,LINCOLN,751,0.01444366808308673
sce,Tippecanoe,2008,0.014444167706861404
pge,STAFFORD,585,0.014494326055014814
sce,Neenach,471,0.014495606265421622
pge,SOLEDAD,8711,0.014519178867273814
sce,Mira Loma,8082,0.014619552514443952
pge,CALFLAX,119,0.014630632031547299
pge,PARLIER,140,0.014722564639051576
sce,Perry,2100,0.014738422156824216
pge,DIAMOND SPRINGS,99,0.014765216214494505
pge,TEMPLETON,8406,0.01483376230240496
pge,KERMAN,132,0.014953769976533669
pge,PANAMA,259,0.015003379295613614
pge,SMYRNA,268,0.015057877936796273
sce,Santa Fe Springs,517,0.015127069979799967
sce,Amalia,2066,0.015217117618363174
pge,CHICO A,43,0.015336646064670749
pge,JANES CREEK,171,0.015351382507509326
sce,Archline,995,0.015394543999861494
pge,LOS GATOS,1814,0.015396618639030052
sce,Oldfield,534,0.015615997365520998
sce,Lakewood,447,0.015643495022196446
sce,La Mirada,446,0.015669910149434862
sce,Mira Loma,8081,0.01575870548878093
sce,Eric,416,0.01593752699066401
pge,OAKLAND L,1612,0.01604341116278891
pge,CRESSEY,608,0.016063068171160638
pge,HICKS,8254,0.01621856124562102
pge,LIVE OAK,1391,0.016310828703184906
sce,Riverway,1979,0.01647817484536121
sce,Rialto,2004,0.016692316607188416
sce,Duarte,2046,0.016815725617730412
sce,Fruitland,421,0.016844100367253957
pge,BASALT,657,0.01684602863117184
pge,WOODSIDE,1210,0.016882348421362377
sce,Victoria,553,0.016900239247339466
sce,Arcadia,362,0.016941190029122293
pge,ALMADEN,1241,0.01694331852648516
pge,SERRAMONTE,8463,0.016981954951761125
pge,WEEDPATCH,278,0.01704215995017857
sce,Howard,434,0.017066883570171443
sce,Belmont,366,0.017164282287254654
pge,POSO MOUNTAIN,1664,0.017182071466780916
sce,Lancaster,448,0.01719502939998513
pge,SERRAMONTE,8464,0.017302913914303383
pge,CURTIS,1448,0.01738512999816882
pge,CANTUA,121,0.017438806543580463
pge,SAN BRUNO,1206,0.017505173086233842
pge,POINT PINOLE,93,0.017532199649547272
pge,JACINTO,151,0.01754731751765085
sce,Vera,727,0.017794685375488895
sce,Perez,2022,0.01782586778360453
sce,Fremont,1510,0.017889512021289203
sce,Valdez,550,0.017916432824246663
sce,Atwood,667,0.017926087385428852
pge,PEASE,1393,0.017968608336071928
pge,STELLING,1259,0.017993222087820927
pge,CASSIDY,568,0.018003765672981543
pge,SAN MIGUEL,2242,0.018043860639081068
pge,KIRKER,8147,0.01808761188984251
pge,SANTA ROSA A,8011,0.018109244639990238
sce,Hesperia,1012,0.018123808275245092
sce,San Miguel,1473,0.0181818622503057
pge,COARSEGOLD,569,0.01832382688835098
pge,PINEDALE,2185,0.018576161463576882
pge,STILLWATER,1287,0.01866766703424581
sce,Banning,8455,0.01871486156145856
sce,Walteria,556,0.01875341773869392
sce,Sunnyside,536,0.018755581758129036
pge,STROUD,145,0.018759794256814524
sce,Lafayette,697,0.018760129376273575
pge,COLUMBUS,8299,0.01884781668417497
pge,SANTA NELLA,617,0.018908086007488188
pge,MERCED FALLS,615,0.0189250056585937
pge,HAMILTON A,47,0.018948212396046556
pge,FORT ORD,636,0.018955670005788832
pge,HICKS,8252,0.01901681104356545
pge,OROSI,1414,0.019062792930847425
pge,OAKLAND X,1611,0.019067181551279982
pge,FROGTOWN,58,0.01927414286285471
pge,MOSHER,1159,0.01944556639757613
pge,GIRVAN,1283,0.01950927361826206
pge,SWIFT,1261,0.019549287092035544
pge,ELK HILLS,241,0.019657070797553636
pge,KINGSBURG,8301,0.019702207480372137
sce,Oceanview,711,0.019739646625549754
pge,FAIRVIEW,1592,0.0197729132277282
pge,WILSON,619,0.019791007457408506
pge,CHANNEL,1140,0.019911133996450562
pge,NORTH DUBLIN,1539,0.019934432412365317
sce,Milliken,1846,0.019948727655545492
pge,MC ARTHUR,1284,0.02001186312963565
sce,Gisler,690,0.02031923980330708
pge,GUSTINE,612,0.020330758858712335
sce,Bicknell,2065,0.020361731924521797
pge,PASO ROBLES,1183,0.02053028496388307
pge,RUSSELL,2138,0.02056209112129965
sce,Holiday,2232,0.020582033517923926
sce,Slater,720,0.020604913588472946
pge,UKIAH,600,0.020617426257772697
sce,Borrego,671,0.020624035724448212
sce,La Canada,445,0.020661215546709195
pge,CORONA,8384,0.020705549284606828
pge,AUBURN,742,0.020952817094250602
sce,Cornuta,398,0.021111226212801214
sce,Sepulveda,521,0.02113873313880894
pge,WASCO,277,0.021221127780169928
pge,GREEN VALLEY,8693,0.02125393507330731
sce,Cabrillo,676,0.021304743394399295
pge,GREEN VALLEY,8692,0.02131640790925374
sce,Rosamond,308,0.0213223966267901
pge,COPUS,235,0.021375299337275947
sce,Walnut,7990,0.02140830910928324
pge,SILVERADO,8044,0.021512346794531886
pge,AVENAL,317,0.021668983567021953
pge,SILVERADO,8045,0.0217167995443389
sce,Telegraph,538,0.021782220557376015
pge,FRENCH CAMP,1145,0.02182319102711921
pge,GREENBRAE,580,0.021862593604338097
sce,Downey,376,0.02187146772892677
pge,KINGSBURG,8302,0.02194758686358276
pge,KIRKER,8148,0.021967679127724446
pge,LIVINGSTON,614,0.021987599660295575
sce,San Gabriel,515,0.022111424186493294
sce,Macarthur,701,0.022179368424475012
sce,Railroad,499,0.022295633602779724
sce,Nelson,806,0.022382647068213583
pge,LAS GALLINAS A,581,0.022395417023138103
pge,WILLOWS A,157,0.022501701969763813
pge,STUART,2137,0.02268858471628232
pge,PLEASANT GROVE,753,0.02281097939622818
sce,George A.f.b.,1953,0.022821870402337265
pge,BUTTE,42,0.022913464027908434
pge,BELL,743,0.02293641850316465
sce,Quartz Hill,498,0.02306154011533048
pge,ZACA,1219,0.023083499836058296
sce,Gallatin,423,0.023098599034560605
pge,RIPON,1152,0.023154396914252546
sce,Citrus,391,0.023209519040940402
pge,BRUNSWICK,662,0.02331820827109681
pge,CORONA,8385,0.023350194060248672
pge,WHEATLAND,1496,0.023358459282484215
sce,Walnut,7989,0.023412433662146178
pge,OAKHURST,575,0.02356920110371603
pge,PENNGROVE,1342,0.02356930042998521
pge,OROVILLE,49,0.023591331853215713
pge,LLAGAS,1247,0.023593969738577473
pge,REEDLEY,143,0.02364347290700879
pge,PIT NO 5,1730,0.023660502649779026
pge,AIRWAYS,2186,0.023684919085704227
pge,BIOLA,118,0.023763831938147476
pge,ORICK,2239,0.023863961979904785
sce,Edinger,2227,0.02388299522187303
pge,VASCO,23,0.023884984630481037
pge,LOS MOLINOS,1398,0.0239228374559866
pge,RIDGE,2132,0.023945934387407247
pge,MONARCH,1157,0.02417946432763037
sce,Stadler,811,0.024541309229874183
sce,Terrace,2063,0.024564123496132087
pge,PLACER,8868,0.02458175336252929
pge,STOCKTON A,8161,0.024594078986873324
pge,GERBER,1397,0.02478685977355165
pge,ARANA,2174,0.024841649749948992
sce,Beaumont,2229,0.024880150287442955
sce,Bolsa,670,0.02489491741187584
pge,CLAYTON,82,0.025158501493210382
pge,TULARE LAKE,326,0.02518628640714376
pge,BOWLES,139,0.025268097059120333
sce,Carolina,679,0.025282161819249083
sce,Palmdale,484,0.02539599322945871
sce,Redondo,2101,0.025546715531222033
sce,Running Springs,2281,0.025834374065190485
pge,CORNING,1395,0.02585472245996421
pge,HORSESHOE,750,0.025971438828081964
sce,Movie,343,0.026153510926589074
sce,Nogales,475,0.026175552099761294
pge,VIEJO,656,0.02622875449511362
pge,ELK,592,0.02626785232953399
sce,Lucas,459,0.026380130362765306
pge,ROB ROY,1272,0.026435117428936318
pge,LAS POSITAS,7961,0.026461759527842757
