bus_i,kV,Type,Import,Lat,Lon,nearest_cec_name,nearest_cec_owner,nearest_cec_type,nearest_cec_lat,nearest_cec_lon,dist_km,matched
1535,115,Substation,' ',37.43005674,-121.9514711,Road,pge_assumed,SUBSTATION,37.43005179,-121.95145799,0.0012817984711887807,True
1536,66,Substation,' ',37.67389353,-121.835631,Cal Mat,pge,SUBSTATION,37.67388855,-121.8356179,0.0012790311055827417,True
1537,66,Substation,' ',37.70408449,-121.9007603,East Dublin,pge_assumed,SUBSTATION,37.70407951,-121.90074715,0.001282574359501453,True
1538,66,Substation,' ',37.72019332,-121.5952918,Fayette,pge,SUBSTATION,37.72018832,-121.5952787,0.0012793472060567928,True
1539,66,Substation,' ',37.74483101,-121.857924,North Dublin,pge,SUBSTATION,37.74482603,-121.85791088,0.0012796219552318117,True
1540,115,Substation,' ',40.5258508,-122.4280528,Texas Springs,pge_assumed,SUBSTATION,40.52584564,-122.42803925,0.0012809439035087488,True
1541,66,Substation,' ',33.23069511,-117.0184193,Valley Center - (SDG&E),sdge,SUBSTATION,33.23069028,-117.01840743,0.0012277457713876375,True
1542,66,Substation,' ',32.69904488,-116.3537629,Crestwood,sdge,SUBSTATION,32.69904008,-116.35375109,0.0012272352883911427,True
1543,115,Substation,' ',34.02229167,-117.3327972,Highgrove,sce,SUBSTATION,34.02228677,-117.33278519,0.0012336858453573644,True
1544,66,Substation,' ',32.79698055,-116.7922,Loveland - (SDG&E),sdge,SUBSTATION,32.79697576,-116.79218816,0.0012281844780530362,True
1545,230,Substation,' ',38.12465193,-121.8301478,Birds Landing,pge,SUBSTATION,38.12464691,-121.83013466,0.0012777772895229654,True
1546,66,Substation,' ',33.05860864,-117.1192854,Lake Hodges,sdge,SUBSTATION,33.05860383,-117.11927352,0.001229564641991946,True
1547,500,Substation,' ',33.73452905,-117.4125219,Alberhill,sce,SUBSTATION ASSUMED,33.73452419,-117.41250985,0.001238415842905345,True
1548,115,Substation,' ',37.41801671,-120.8309528,August,pge_assumed,SUBSTATION,37.41801168,-120.83093989,0.0012699301050182155,True
1549,115,Substation,' ',37.43627042,-121.1323489,Marshall - (Other),pge_assumed,SUBSTATION,37.43626541,-121.13233591,0.0012750522606014155,True
1550,115,Substation,' ',37.53726161,-120.8092201,Taylor - Other,pge_assumed,SUBSTATION,37.53725657,-120.80920721,0.0012672072115153543,True
1551,66,Substation,' ',37.738605,-121.7711633,Cayetano,pge,SUBSTATION,37.73860001,-121.77115017,0.0012809834973979974,True
1552,66,Substation,' ',37.50071672,-120.913575,Commons,pge_assumed,SUBSTATION,37.50071169,-120.9135621,0.0012680070689834366,True
1553,66,Substation,' ',35.14258236,-117.9687131,Cal City,sce,SUBSTATION,35.14257737,-117.96870088,0.0012419604926207062,True
1554,66,Substation,' ',33.96078597,-117.4277577,Mt. View - (Other),sce_assumed,SUBSTATION,33.96078108,-117.4277457,0.0012330867339393299,True
1555,66,Substation,' ',34.00353401,-117.3431884,Alumax,sce_assumed,SUBSTATION ASSUMED,34.00352911,-117.3431764,0.0012330782641883989,True
1556,66,Substation,' ',34.2734985,-119.2475484,Pierpont,sce,SUBSTATION ASSUMED,34.27349368,-119.24753598,0.0012608215873267568,True
1557,66,Substation,' ',32.69488244,-117.1432682,Silvergate,sdge,SUBSTATION,32.69487768,-117.14325631,0.0012321099387149347,True
1558,66,Substation,' ',40.36041129,-120.8677626,Coppervale,pge_assumed,SUBSTATION ASSUMED,40.36040601,-120.86774927,0.0012729201437533632,True
1559,66,Substation,' ',40.41450968,-120.7380555,Five Mile,nve_assumed,SUBSTATION,40.41450439,-120.73804223,0.001268126862038492,True
1560,66,Substation,' ',40.42373732,-120.6545605,Chestnut 1,nve_assumed,SUBSTATION,40.42373203,-120.65454724,0.0012672405265111957,True
1561,66,Substation,' ',40.41232276,-120.6606949,Richmond,nve_assumed,SUBSTATION,40.41231746,-120.66068166,0.001266426665598028,True
1562,66,Substation,' ',40.40822706,-120.6473551,Modoc - Other,nve_assumed,SUBSTATION ASSUMED,40.40822176,-120.64734181,0.0012702357583940763,True
1563,66,Substation,' ',40.41007909,-120.6421892,Milwood 1,nve_assumed,SUBSTATION,40.41007379,-120.64217592,0.00126945836792961,True
1564,66,Substation,' ',40.41009979,-120.6416013,Milwood 2,nve_assumed,SUBSTATION ASSUMED,40.41009449,-120.64158801,0.0012702080212060058,True
1565,66,Substation,' ',40.38191421,-120.57454,Johnstonville,nve_assumed,SUBSTATION,40.38190891,-120.57452673,0.0012691248225383308,True
1566,66,Substation,' ',40.3520719,-120.3224458,Maples Lane,nve_assumed,SUBSTATION ASSUMED,40.35206658,-120.32243261,0.0012646038742536723,True
1567,66,Substation,' ',40.36833693,-120.2647837,Honey Lake,nve_assumed,SUBSTATION,40.36833161,-120.26477044,0.0012696098181963252,True
