name,owner_raw,owner_std,type,hifld_id,max_voltage_kv,latitude,longitude,county,city,zip_code,source,path,cec_id,status,proposed,urban_rural,imagery_verified,cpuc_substation_name,cpuc_caiso_study_area,cpuc_caiso_local_area,cpuc_owner,cpuc_voltages,cec_resolve_area,nearest_cats_id,nearest_cats_kv,nearest_cats_lat,nearest_cats_lon,cats_dist_km,cats_matched
Unknown - 3946,SCE Eastern,sce,NOT AVAILABLE,307297.0,66.0,33.90760912,-117.46889525,Riverside County,Riverside,92505.0,HIFLD,,{CAF37212-C82E-4B1D-8FD3-5AD3BB38FD9D},Operational,NO,URBAN,UNK,,,,,,SCE Eastern,2225,66,33.85880824,-117.4407018,6.018249152582502,False
Vapor,SCE,sce,SUBSTATION,304152.0,66.0,33.84816172,-118.33004075,Los Angeles County,Torrance,90504.0,CEC,,{EA8FED2B-5F77-4A26-9E4B-DF0C2FE11B0D},Operational,NO,URBAN,UNK,,,,,,SCE Metro,2102,66,33.84816655,-118.3300529,0.0012439559860881687,True
Unknown - 3947,SCE Metro,sce,RISER,307312.0,69.0,33.85072315,-117.92343888,Orange County,Anaheim,92801.0,HIFLD,,{4DCA956A-5632-4EB3-9B58-71F616BD8AD1},Operational,NO,URBAN,YES,,,,,,SCE Metro,2033,66,33.84837748,-117.9106911,1.2057767146334464,True
Unknown - 3948,SCE Metro,sce,RISER,307338.0,66.0,34.05039237,-118.43198232,Los Angeles County,Los Angeles,90025.0,HIFLD,,{2070CB78-B686-414D-9A5A-E7CBCB1E0599},Operational,NO,URBAN,NO,,,,,,SCE Metro,519,66,34.04746172,-118.4521968,1.890688223768033,True
Bluff Cove,SCE,sce,SUBSTATION,306116.0,,33.77965734,-118.38732968,Los Angeles County,Rancho Palos Verdes,90275.0,CEC,,{19524A3D-BA86-4430-BD2F-59DD9D5829CA},Operational,NO,URBAN,UNK,,,,,,SCE Metro,2103,66,33.77966215,-118.3873419,0.0012496529915384863,True
Unknown - 3949,SCE Metro,sce,SUBSTATION,307354.0,,33.84184927,-118.23524689,Los Angeles County,Carson,90810.0,HIFLD,,{62853A5B-BB13-4697-A97F-7F2B960674B6},Operational,NO,URBAN,UNK,,,,,,SCE Metro,483,66,33.8460286,-118.2338731,0.48172828892641134,True
Unknown - 2778,SCE,sce,SUBSTATION,307832.0,,33.89908891,-118.38462337,Los Angeles County,Manhattan Beach,90266.0,CEC,,{B7F0D6DE-136D-4BEE-A1D1-DCF013183695},Operational,NO,URBAN,UNK,,,,,,SCE Metro,2104,230,33.89909374,-118.3846356,0.0012500155482566186,True
Big Oaks,SCE Eastern,sce,SUBSTATION,307362.0,,34.03044738,-116.85716535,Riverside County,,92220.0,HIFLD,,{0A07653F-E5E6-4D66-B363-D513BFBBE209},Operational,NO,RURAL,UNK,,,,,,SCE Eastern,2270,66,34.08755227,-116.9205846,8.628512029640973,False
Canandaiqua Winery,Other (PGE - Assumed),pge_assumed,SUBSTATION,300324.0,60.0,36.92816645,-120.10704159,Madera County,,93637.0,CEC,,{C3211F36-2098-4038-80FA-DF6F53296242},Operational,NO,RURAL,UNK,,,,,,PGE Fresno,2105,66,36.92817149,-120.1070544,0.0012690982559380652,True
Unknown - 3951,SCE Northern,sce,SUBSTATION,307375.0,66.0,35.05529469,-118.32065691,Kern County,,93501.0,HIFLD,,{C8402874-48DA-453F-9CE2-4904158EC664},Operational,NO,RURAL,UNK,,,,,,SCE Northern,1989,66,35.06200315,-118.3205828,0.7459772163947748,True
Schuller,Other (PGE - Assumed),pge_assumed,SUBSTATION ASSUMED,,,39.53669697,-122.26095589,Glenn County,,95988.0,CEC,,{0291F7C1-A67A-4ED6-920A-BB4F58A5A04D},Operational,NO,RURAL,UNK,,,,,,PGE NGBA,2106,230,39.53670207,-122.2609693,0.0012822051697418567,True
