t3_name,sub_id,t3_norm,alt_name,alt_lat,alt_lon,alt_norm,t3_in_basin,alt_in_basin,names_agree
Cherry,832.0,cherry,Cherry,33.77884099741242,-118.18354200162445,cherry,True,True,True
Chestnut,974.0,chestnut,Chestnut,33.73291743598918,-117.84905438111056,chestnut,True,True,True
Chillon P.t.,1335.0,chillon,Chillon P.T.,34.237491161319305,-117.25271894571011,chillon,False,False,True
China Ranch P.t.,1336.0,china ranch,China Ranch P.T.,35.82827691887815,-116.18903964111246,china ranch,False,False,True
Chino,330.0,chino,Chino,33.99800099876217,-117.67945500552317,chino,True,True,True
Chiquita,1023.0,chiquita,Chiquita,33.629716996532885,-117.63206999531124,chiquita,True,True,True
Chollita P.t.,1321.0,chollita,Chollita P.T.,34.13987057719961,-116.3080615408371,chollita,False,False,True
Cima,739.0,cima,Cima,35.25530700396468,-115.5170589961386,cima,True,True,True
Citrus,453.0,citrus,Citrus,34.11883200009951,-117.87186899926029,citrus,True,True,True
Clark,890.0,clark,Clark,33.79608034211235,-118.10702342803262,clark,True,True,True
Coffee,1805.0,coffee,Coffee,33.932236354588085,-116.50504522447508,coffee,True,True,True
Coldbrook P.t.,2050.0,coldbrook,Coldbrook P.T.,33.85935675592398,-118.12132699213583,coldbrook,False,False,True
Colonia,643.0,colonia,Colonia,34.203997997029866,-119.0967720048126,colonia,True,True,True
Colton,737.0,colton,Colton,34.05928099568391,-117.31516299984052,colton,False,False,True
Columbine,598.0,columbine,Columbine,35.83453147955805,-119.21259382724928,columbine,True,True,True
Compton,887.0,compton,Compton,33.8968740620171,-118.22512802021888,compton,True,True,True
Concho,1826.0,concho,Concho,33.75688900153803,-116.33419299787862,concho,True,True,True
Control,187.0,control,Control,37.33542300124301,-118.48085000382235,control,True,True,True
Converse Flats,1653.0,converse flats,Converse Flats,34.19366413798804,-116.91201653378045,converse flats,True,True,True
Cornuta,844.0,cornuta,Cornuta,33.88379282288618,-118.12056412504514,cornuta,True,True,True
Cortez,454.0,cortez,Cortez,34.092668773995285,-117.8790593448018,cortez,True,True,True
Corum,680.0,corum,Corum,34.93630482935899,-117.95107436777867,corum,True,True,True
Coso,1892.0,coso,Coso,36.082697937378725,-117.9508794515932,coso,False,False,True
Cottage Grove,1346.0,cottage grove,Cottage Grove,34.24375366141106,-117.19723414306642,cottage grove,False,False,True
Cottonwood,1785.0,cottonwood,Cottonwood,34.37348672287697,-116.86154669043889,cottonwood,True,True,True
Cove P.t.,1366.0,cove,Cove P.T.,33.88973706516375,-116.6051725956054,cove,False,False,True
Crater,509.0,crater,Crater,34.108029995505106,-118.71436334833967,crater,True,True,True
Crawford P.t.,1345.0,crawford,Crawford P.T.,37.62900545166868,-118.98708328176254,crawford,False,False,True
Crest,537.0,crest,Crest,33.76692923592485,-118.3727197248746,crest,True,True,True
Crestwind U.g.s.,1344.0,crestwind u g s,Crestwind U.G.S.,33.77852113938615,-118.41941446413716,crestwind u g s,False,False,True
Crown,930.0,crown,Crown,33.608690174598145,-117.86390230589092,crown,True,True,True
Crump P.t.,1348.0,crump,Crump P.T.,34.08919933252988,-116.92173454047229,crump,False,False,True
Cucamonga,790.0,cucamonga,Cucamonga,34.08395434683573,-117.59268522261728,cucamonga,True,True,True
Culver,468.0,culver,Culver,34.01459700392742,-118.40266499797504,culver,True,True,True
Cummings,644.0,cummings,Cummings,35.11090957384204,-118.49392933183512,cummings,True,True,True
Cypress,949.0,cypress,Cypress,33.80991268026793,-118.07236092354432,cypress,True,True,True
Daeley P.t.,2046.0,daeley,Daeley P.T.,33.9283278766198,-118.14182197758188,daeley,False,False,True
Daggett,1655.0,daggett,Daggett,34.8631924881409,-116.89486358150022,daggett,True,True,True
Daisy,886.0,daisy,Daisy,33.78857299996503,-118.2000940015866,daisy,False,False,True
Dalba P.t.,1349.0,dalba,Dalba P.T.,34.20608557579066,-117.12039687304828,dalba,False,False,True
Dalton,456.0,dalton,Dalton,34.113777954796774,-117.9332777228,dalton,True,True,True
Declez,743.0,declez,Declez,34.07838299868792,-117.48664800366758,declez,True,True,True
Deep Springs,203.0,deep springs,Deep Springs,37.37486700132881,-117.977503003681,deep springs,True,True,True
Defrain,1656.0,defrain,Defrain,33.6599157219618,-114.62269680370996,defrain,True,True,True
Del Amo,2128.0,del amo,Del Amo,33.84822500287367,-118.09716799786231,del amo,True,True,True
Del Rosa,798.0,del rosa,Del Rosa,34.15048200034294,-117.2517030051407,del rosa,True,True,True
Del Sur,645.0,del sur,Del Sur,34.71800399750987,-118.28801500342776,del sur,True,True,True
Deluz P.t.,1350.0,deluz,Deluz P.T.,33.49973013826498,-117.18461438567844,deluz,False,False,True
Desert Outpost,1658.0,desert outpost,Desert Outpost,33.80841701514476,-116.47263928522204,desert outpost,True,True,True
Devers,339.0,devers,Devers,33.93401700227757,-116.57836100060614,devers,True,True,True
Diamond Bar,405.0,diamond bar,Diamond Bar,34.00400717113695,-117.81169586594292,diamond bar,True,True,True
Dike,842.0,dike,Dike,33.76237900518144,-118.22216998226938,dike,True,True,True
Dinkey Creek P.t.,1351.0,dinkey creek,Dinkey Creek P.T.,37.06493512397656,-119.1661012488832,dinkey creek,False,False,True
Ditmar,520.0,ditmar,Ditmar,33.87237600011136,-118.37840454778362,ditmar,True,True,True
Doheny,475.0,doheny,Doheny,34.09039725281789,-118.39157019643156,doheny,False,False,True
Dolphin P.t.,2160.0,dolphin,Dolphin P.T.,34.15954170706311,-119.051375324635,dolphin,False,False,True
Domeland P.t.,1363.0,domeland,Domeland P.T.,35.791809933097475,-117.851531062441,domeland,False,False,True
Downey,932.0,downey,Downey,33.93716290704601,-118.12975636922113,downey,True,True,True
Downs,2027.0,downs,Downs,35.62041331900779,-117.6884528047109,downs,True,True,True
Drinkwater P.t. Pb,2257.0,drinkwater p t pb,Drinkwater P.T. Pb,34.58798716399067,-118.45490725587705,drinkwater p t pb,False,False,True
Duarte,422.0,duarte,Duarte,34.13856470583992,-117.96563295453346,duarte,True,True,True
Dunes,1661.0,dunes,Dunes,33.611349995945176,-114.67926099516676,dunes,True,True,True
Dunn Siding,1657.0,dunn siding,Dunn Siding,35.04896210066004,-116.44277963649056,dunn siding,True,True,True
Dysart P.t.,1364.0,dysart,Dysart P.T.,33.896619249714675,-116.90972073182132,dysart,False,False,True
Eagle Crest P.t.,2208.0,eagle crest,Eagle Crest P.T.,33.72498088808595,-117.26877509370809,eagle crest,False,False,True
Eagle Mountain,310.0,eagle mountain,Eagle Mountain,33.81142800223903,-115.45355200188276,eagle mountain,False,False,True
Eagle Rock,283.0,eagle rock,Eagle Rock,34.14996000085006,-118.18440999461907,eagle rock,True,True,True
Earlimart,564.0,earlimart,Earlimart,35.893572999556234,-119.25176100227374,earlimart,True,True,True
East Barstow,1662.0,east barstow,East Barstow,34.88981280113665,-117.00156920661708,east barstow,True,True,True
Eaton,399.0,eaton,Eaton,34.16215700293834,-118.0856959980606,eaton,True,True,True
Edinger,989.0,edinger,Edinger,33.72704165914478,-117.86833970365298,edinger,True,True,True
Edwards,1786.0,edwards,Edwards,34.97733316152458,-117.89157335300752,edwards,True,True,True
Eisenhower,1815.0,eisenhower,Eisenhower,33.807706998789484,-116.49345499860358,eisenhower,True,True,True
El Casco,1861.0,el casco,El Casco,33.967165609123306,-117.07742912743562,el casco,True,True,True
El Nido,302.0,el nido,El Nido,33.89601600350098,-118.37257599658405,el nido,True,True,True
El Sobrante,1669.0,el sobrante,El Sobrante,33.85855174333349,-117.44061908499997,el sobrante,True,True,True
