loads_name,sub_id,loads_lat,loads_lon,loads_norm,attrs_name,attrs_lat,attrs_lon,attrs_norm,loads_in_basin,attrs_in_basin,names_agree,loads_attrs_dist_km
COARSEGOLD,25443,37.22741691128599,-119.690552055026,coarsegold,COARSEGOLD,37.22741691128599,-119.690552055026,coarsegold,True,True,True,0.0
ARANA,8301,36.98438410414178,-121.99012545589314,arana,ARANA,36.98438410414178,-121.99012545589314,arana,True,True,True,0.0
BONITA,25539,36.96781971171099,-120.2031525152736,bonita,BONITA,36.96781971171099,-120.2031525152736,bonita,True,True,True,0.0
NARROWS,15313,39.235347065419134,-121.26906719226427,narrows,NARROWS,39.235347065419134,-121.26906719226427,narrows,True,True,True,0.0
UKIAH,4277,39.14297181783122,-123.19174687279155,ukiah,UKIAH,39.14297181783122,-123.19174687279155,ukiah,True,True,True,0.0
ARLINGTON,1370,37.88897961680794,-122.27297827230667,arlington,ARLINGTON,37.88897961680794,-122.27297827230667,arlington,True,True,True,0.0
WELLFIELD,25429,35.22496336365365,-118.77833722283752,wellfield,WELLFIELD,35.22496336365365,-118.77833722283752,wellfield,True,True,True,0.0
JACOBS CORNER,25477,36.22220579820744,-119.77959785166227,jacobs corner,JACOBS CORNER,36.22220579820744,-119.77959785166227,jacobs corner,True,True,True,0.0
SAND CREEK,25460,36.64397666926381,-119.15978031526912,sand creek,SAND CREEK,36.64397666926381,-119.15978031526912,sand creek,True,True,True,0.0
WEST LANE,16362,37.99058390947568,-121.2838089984723,west lane,WEST LANE,37.99058390947568,-121.2838089984723,west lane,True,True,True,0.0
FRENCH GULCH,10338,40.6868686177047,-122.6404649477137,french gulch,FRENCH GULCH,40.6868686177047,-122.6404649477137,french gulch,True,True,True,0.0
CANTUA,25359,36.429254389544624,-120.3414752851558,cantua,CANTUA,36.429254389544624,-120.3414752851558,cantua,True,True,True,0.0
HERDLYN,16374,37.81698475446724,-121.58716994811228,herdlyn,HERDLYN,37.81698475446724,-121.58716994811228,herdlyn,True,True,True,0.0
SWIFT,8339,37.322704670725145,-121.79709909967092,swift,SWIFT,37.322704670725145,-121.79709909967092,swift,True,True,True,0.0
MCKITTRICK,25278,35.29701832939979,-119.6266169615922,mckittrick,MCKITTRICK,35.29701832939979,-119.6266169615922,mckittrick,True,True,True,0.0
CARRIZO PLAINS,25346,35.381017002802906,-120.04015761995842,carrizo plains,CARRIZO PLAINS,35.381017002802906,-120.04015761995842,carrizo plains,True,True,True,0.0
GANSO,25454,35.50133512445359,-119.44912437034876,ganso,GANSO,35.50133512445359,-119.44912437034876,ganso,True,True,True,0.0
CORCORAN,25217,36.1097291421788,-119.55733517121652,corcoran,CORCORAN,36.1097291421788,-119.55733517121652,corcoran,True,True,True,0.0
CALIFORNIA AVE,25228,36.71976722854816,-119.76422834299458,california ave,CALIFORNIA AVE,36.71976722854816,-119.76422834299458,california ave,True,True,True,0.0
VIERRA,16270,37.79819570487165,-121.2743535358029,vierra,VIERRA,37.79819570487165,-121.2743535358029,vierra,True,True,True,0.0
BUCKS CREEK,10221,39.91160243296182,-121.32682793665592,bucks creek,BUCKS CREEK,39.91160243296182,-121.32682793665592,bucks creek,False,False,True,0.0
SAN MATEO,2419,37.58173090782904,-122.31998566182828,san mateo,SAN MATEO,37.58173090782904,-122.31998566182828,san mateo,True,True,True,0.0
DEL MONTE,18222,36.59919530577832,-121.85414882424809,del monte,DEL MONTE,36.59919530577832,-121.85414882424809,del monte,True,True,True,0.0
CAL WATER,25545,35.42222837471225,-118.90059842079376,cal water,CAL WATER,35.42222837471225,-118.90059842079376,cal water,False,False,True,0.0
FRUITLAND,19231,40.286587508255074,-123.83681278567364,fruitland,FRUITLAND,40.286587508255074,-123.83681278567364,fruitland,True,True,True,0.0
SONOMA,4272,38.27657572900672,-122.46207109995244,sonoma,SONOMA,38.27657572900672,-122.46207109995244,sonoma,True,True,True,0.0
PEASE,15375,39.17017321175534,-121.66111558856706,pease,PEASE,39.17017321175534,-121.66111558856706,pease,True,True,True,0.0
WOODLAND,6203,38.67836096439384,-121.75921270604204,woodland,WOODLAND,38.67836096439384,-121.75921270604204,woodland,True,True,True,0.0
LOCKEFORD,16368,38.11719384065125,-121.16028330539748,lockeford,LOCKEFORD,38.11719384065125,-121.16028330539748,lockeford,True,True,True,0.0
HAMMER,16330,38.02161846146168,-121.3204489914979,hammer,HAMMER,38.02161846146168,-121.3204489914979,hammer,True,True,True,0.0
SAN PABLO,1437,37.98592857019798,-122.33656746665152,san pablo,SAN PABLO,37.98592857019798,-122.33656746665152,san pablo,True,True,True,0.0
WILLOWS A,10274,39.53184406918284,-122.18627003440444,willows a,WILLOWS A,39.53184406918284,-122.18627003440444,willows a,True,True,True,0.0
HILLSDALE,2411,37.53650756155396,-122.32255097270397,hillsdale,HILLSDALE,37.53650756155396,-122.32255097270397,hillsdale,True,True,True,0.0
KERN POWER,25526,35.378644853294965,-119.09838282217432,kern power,KERN POWER,35.378644853294965,-119.09838282217432,kern power,True,True,True,0.0
ZACA,18268,34.69665857732155,-120.15172324390338,zaca,ZACA,34.69665857732155,-120.15172324390338,zaca,True,True,True,0.0
CHEROKEE,16365,38.00576000998228,-121.23810008766183,cherokee,CHEROKEE,38.00576000998228,-121.23810008766183,cherokee,True,True,True,0.0
CLEAR LAKE,4214,39.007758745598494,-122.89345093801266,clear lake,CLEAR LAKE,39.007758745598494,-122.89345093801266,clear lake,True,True,True,0.0
