util_name,util_norm,util_lat,util_lon,basin_name,basin_norm,basin_lat,basin_lon,dist_km,name_match
BONANZA,bonanza,42.199096922359374,-121.40981811351097,Tulelake,tulelake,41.953363861811184,-121.47142246508336,27.79330469914639,False
KLAMATH FALLS,klamath falls,42.1985060928284,-121.78324879670728,Dorris,dorris,41.96684121703738,-121.9135761877594,27.915137077488623,False
TEXUM,texum,42.19359885774318,-121.76587662866896,Dorris,dorris,41.96684121703738,-121.9135761877594,28.006186178002242,False
OBRIEN,obrien,42.0967033022574,-123.68147493387508,Patrick'S Creek,patrick s creek,41.8814008700706,-123.8646664919014,28.326337183801403,False
CEDARVILLE,cedarville,41.531578016942206,-120.18197347349344,Alturas,alturas,41.49986440367209,-120.53346705469008,29.47697877103366,False
HORNET,hornet,42.18111167560692,-121.6993465426326,Dorris,dorris,41.96684121703738,-121.9135761877594,29.670210963505873,False
WEST SIDE,west side,42.22023313531531,-121.79197751971051,Dorris,dorris,41.96684121703738,-121.9135761877594,29.90902021018885,False
EAST SIDE,east side,42.22766682834517,-121.79653083105242,Dorris,dorris,41.96684121703738,-121.9135761877594,30.568015334648166,False
BRYANT,bryant,42.21090957433583,-121.73840988337383,Dorris,dorris,41.96684121703738,-121.9135761877594,30.748399135864016,False
RUNNING Y,running y,42.25252997674344,-121.85665301497822,Dorris,dorris,41.96684121703738,-121.9135761877594,32.11230881026879,False
OAK KNOLL,oak knoll,42.17604979762406,-122.6483448065232,Iron Gate,iron gate,41.932981039006506,-122.43674846188034,32.18251735535302,False
DAIRY,dairy,42.23464451886697,-121.5804695031699,Tulelake,tulelake,41.953363861811184,-121.47142246508336,32.54545979854362,False
ROSS AVENUE,ross avenue,42.23600375455319,-121.75827373456686,Dorris,dorris,41.96684121703738,-121.9135761877594,32.55674563387987,False
SWAN LAKE STEP UP,swan lake step up,42.2325437637286,-121.59895367952876,Tulelake,tulelake,41.953363861811184,-121.47142246508336,32.77841809308343,False
LAKEPORT,lakeport,42.249648535391216,-121.8012103269456,Dorris,dorris,41.96684121703738,-121.9135761877594,32.78443168054133,False
CAVE JUNCTION,cave junction,42.16607721487453,-123.6379747645382,Patrick'S Creek,patrick s creek,41.8814008700706,-123.8646664919014,36.778402629894344,False
