OBJECTID,Name,Sub_Type,longitude,latitude
213,COLEMAN,Trans and Distrib,-113.08438440737687,37.68580716786497
214,COLISEUM_OSU,Distribution,-123.27942410449144,44.56222060378789
215,COLLEGE,Transmission,-111.93897838017196,41.19061437995983
216,COLTON WELL,Distribution,-111.01070250266277,39.84737385351991
217,COLUMBIA,Distribution,-122.6674537243312,45.57989744020728
218,COLUMBIA_UT,Trans and Distrib,-110.39029273786916,39.520742074453565
219,COLUMBIAGENEVA,Distribution,-108.75995975928022,42.53194149378258
220,COMMERCE,Distribution,-113.16494430965538,37.70308459626503
221,COMMUNITY PARK,Distribution,-106.31755863920228,42.82140349734615
222,COMNET CELL,Transmission,-111.85880857130556,39.65029327609058
223,CONDA,Transmission,-111.5475517262276,42.732736530120896
224,CONSER RD,Distribution,-123.07748811969836,44.68052055303216
225,COOS RIVER,Distribution,-124.18231553512732,43.35217201434053
226,COPCO 2,Distribution,-122.35849213588962,41.97520968611644
227,COPCO 2 230KV,Trans and Distrib,-122.36166080740874,41.97660119830531
228,COPPER HILLS,Distribution,-112.05925041074444,40.59478224594408
229,COQUILLE,Distribution,-124.16547176422398,43.19462757830648
230,CORINNE,Trans and Distrib,-112.27725178433197,41.58687150938063
231,CORRAL,Transmission,-120.92969046093972,44.223237857960896
232,COTTONWOOD,Trans and Distrib,-111.86069646262182,40.6886570552774
233,COVE,Transmission,-121.26808493644046,44.60029436824263
234,COVE FORT,Distribution,-112.6011724943805,38.54922281109407
235,COVE_ID,Distribution,-111.79359976601664,42.51472632300881
236,COWBOY PASTURE,Distribution,-109.48913116872136,37.41345565801407
237,COYOTE,Transmission,-109.35086163846825,40.04987467525811
238,COYOTE WASH METER STA(FUTURE),Transmission,-109.36306145442433,40.05348474596403
239,COZYDALE,Distribution,-112.01818054627216,41.17582627535024
241,CRANER FLAT,Trans and Distrib,-112.73240524702692,40.87982335784125
242,CRAVEN CREEK,Transmission,-110.32880524676384,41.82384987892688
243,CREEK,Transmission,-120.03006810292896,45.709803538961
244,CRESCENT JCT,Distribution,-109.82061390581478,38.94255308505836
245,CROOKED RIVER,Distribution,-121.24782937396948,44.43295281162688
246,CROOKS GAP,Distribution,-107.85319054141294,42.40181252834874
247,CROSS HOLLOW,Distribution,-113.11006451316634,37.66261916480518
248,CROWFOOT,Distribution,-122.88077738158812,44.508452942542704
249,CROYDON,Trans and Distrib,-111.51831298216932,41.06399750481704
250,CUDAHY,Distribution,-111.94532726207002,40.84260133225736
251,CULLY,Distribution,-122.60412741687358,45.5499508198799
252,CULVER,Distribution,-121.2504940717496,44.520544837459305
253,CURRANT CREEK,Transmission,-111.8958522342851,39.821587194129066
254,CUTLER,Trans and Distrib,-112.05276037656574,41.83482210211127
255,DAIRY,Distribution,-121.5804695031699,42.23464451886697
256,DAIRY FORK,Distribution,-111.3368464891406,39.969841016616655
257,DALLAS,Distribution,-123.31064879457246,44.91146631231033
258,DALREED,Distribution,-119.99888802138832,45.763767562753074
259,DALTON METERING STA,Transmission,-112.06121666030629,40.5577374199998
260,DAMMERON VLY,Distribution,-113.6610322184885,37.29052684219952
261,DANIEL,Transmission,-111.43675520971364,40.496655934933536
262,DAVE JOHNSTON PLANT,Transmission,-105.77825765900386,42.83713135844573
263,DAYBREAK,Distribution,-112.05873249155894,40.5378284390501
264,DAYS CREEK,Transmission,-123.19092311486423,42.97349965902552
265,DAYTON,Distribution,-117.97771090858753,46.32807315766501
266,DECADE,Distribution,-111.96910558230071,40.734152420072526
267,DECKER LAKE,Distribution,-111.95080088484409,40.70600124446973
268,DEER CREEK,Distribution,-105.88863106273077,42.83561632953206
270,DELLE,Distribution,-112.82695326485378,40.85062755832962
271,DELTA,Distribution,-112.57840607960496,39.35137349215942
272,DESCHUTES,Distribution,-121.24929069578153,44.166706584329546
273,DESERET PEAK,Distribution,-112.3663001003938,40.569797576345074
274,DEVILS LAKE,Distribution,-124.00745626869258,44.95795173580128
275,DEVILS SLIDE SY,Transmission,-111.53600966301076,41.06047881159763
276,DEWEYVILLE,Distribution,-112.09666640384964,41.71505964277911
277,DIAMOND HILL,Transmission,-123.0477186312073,44.24767494863276
278,DIMPLE DELL,Distribution,-111.83678330077542,40.55697997887071
279,DIXON,Distribution,-123.25736804689984,44.56817181873458
280,DIXONVILLE 230KV,Transmission,-123.2407819002436,43.20624702515165
281,DIXONVILLE 500KV,Transmission,-123.22444045377236,43.21826427435005
282,DODD RD,Distribution,-118.93106332103326,46.13904329005975
283,DODGE BRIDGE,Distribution,-122.84715228706672,42.52494946264984
285,DOG VALLEY,Distribution,-112.0059500860868,39.6741742830343
287,DOWELL,Distribution,-123.36332148430736,42.42105130387396
288,DOWNEY,Distribution,-112.13031897963226,42.43328050729946
289,DRAPER,Distribution,-111.90567267266664,40.52717956234498
290,DRY FORK,Distribution,-105.90314659625042,43.09093632910016
291,DUBOIS,Distribution,-112.23432103369753,44.10096564030084
292,DUMAS,Distribution,-111.86429498519094,40.52844793759708
293,DUNLAP,Transmission,-106.16181629636137,42.042395311824194
294,DYNAMO,Transmission,-111.75668453876652,40.330930968080125
295,EAGLE MOUNTAIN,Transmission,-111.9141008265624,40.42456106777601
296,EAGLE POINT HYDRO,Transmission,-122.75700530895452,42.51446001769176
297,EAGLE ROCK SY,Transmission,-112.16225919760002,43.46796500256389
298,EAST BENCH,Distribution,-111.93073056486612,41.22220516280752
299,EAST LAYTON,Distribution,-111.94515275534292,41.10399102566295
300,EAST MILLCREEK,Distribution,-111.82537578542522,40.69563894816261
301,EAST PROVO,Trans and Distrib,-111.63112965434873,40.23458061113504
302,EAST SIDE,Transmission,-121.79653083105242,42.22766682834517
303,EASTHYRUM,Distribution,-111.81068161202988,41.63258928931895
304,EASTMONT,Distribution,-112.47655786399416,43.99653436637383
305,EASY VALLEY,Distribution,-123.36651857133552,42.44458918158201
306,ECHO SPRINGS,Transmission,-107.825085766789,41.64998539376448
307,EDEN,Distribution,-111.80988551783852,41.29680877077432
308,EGIN,Distribution,-111.83887917992772,43.9420212782338
309,EIGHT MILE,Distribution,-111.5256672585334,42.61830055076979
310,EKOLA FLATS,Transmission,-106.36665902459796,42.00442883805412
311,EL MONTE,Transmission,-111.92998762039691,41.240183080966695
312,ELBERTA,Distribution,-111.95666262653322,39.981297500293536
313,ELGIN SY,Transmission,-117.9167707484084,45.56006767979793
314,ELK BASIN PA,Distribution,-108.84418442769352,44.98038645900407
315,ELK MEADOWS,Distribution,-112.38173450085462,38.32275924177912
316,ELKHORN,Distribution,-106.24305730577989,42.82814204743776
317,ELSINORE,Distribution,-112.14877824570829,38.67533697067229
318,EMERY,Transmission,-111.02851600042376,39.17724816932163
319,EMERY CITY,Distribution,-111.25191501278702,38.91032615592831
320,EMIGRANT,Trans and Distrib,-105.39320337251236,42.65218175498012
321,EMIGRATION,Distribution,-111.83847779828574,40.738617650458856
322,EMMA PARK,Distribution,-110.77046118903996,39.7918351563505
323,EMPIRE,Distribution,-124.28350916635692,43.37338692338248
324,ENOCH,Distribution,-113.02099181503108,37.76439936089943
325,ENTERPRISE VLY,Distribution,-113.66052384030964,37.61180531253484
326,ENTERPRISE_OR,Trans and Distrib,-117.28281112105928,45.41838005202846
327,EUREKA,Distribution,-112.11332068322866,39.95153200955254
328,EVANS,Distribution,-106.23907014596772,42.857122150720045
329,EVANSTON,Distribution,-110.97329515404552,41.27172111719204
330,EXXON METER STA,Transmission,-110.04558664258832,41.87649204804836
331,FAIRCHILD SY,Transmission,-111.97194103454498,40.584764794372205
