substation_name,subst_id,sys_name,existing_gen,queued_gen,total_gen,projected_load,der_penetration,max_remain_cap,voltage_kv,circuit_count,res_pct,com_pct,agr_pct,ind_pct,other_pct,res_total,com_total,agr_total,ind_total,other_total,note_sub
Kaweah 1,167.0,Rector 220/66 System,0.0,0.0,0.0,3.23,0.0,8.7,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Kaweah 2,168.0,Rector 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Kaweah 3,169.0,Rector 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Kearney P.t.,1436.0,La Cienega 220/66 System,0.0,0.0,0.0,0.0,0.0,0.17,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Kempster,1691.0,Vista 220/115 System,0.097,0.003,0.1,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Kern River 1,,,,,,,,,2.4,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,
Kerrgen,106.0,Kramer 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Kimberly P.t.,1434.0,San Bernardino 220/66 System,0.0,0.0,0.0,0.29,0.0,0.5,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Kinder,1265.0,Barre 220/66 System,0.0,0.0,0.0,2.63,0.0,10.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Koefler P.t.,1433.0,Kramer 220/115 System,0.0,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
La Colina,276.0,Vista 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,80.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,1.0,Interconnection studies in this area have identified adequate deliverability.
La Fresa 'A',298.0,La Fresa 220/66 System,46.945,8.333,55.278,347.56,0.16,504.72,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
La Fresa 'B',300.0,La Fresa 220/66 System,66.495,69.874,136.369,362.89,0.38,393.63,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Laguna Bell 'Ab',360.0,Laguna Bell Ab 220/66 System,28.206,23.428,51.634,334.27,0.15,478.37,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Laguna Bell 'De',361.0,Laguna Bell De 220/66 System,8.493,2.377,10.87,243.69,0.04,549.07,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Lakegen,86.0,Vestal 220/66 System,0.0,0.0,0.0,10.0,0.0,11.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Lakeside P.t.,1440.0,Moorpark 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Langford P.t.,1451.0,Kramer 220/115 System,0.0,0.0,0.0,0.0,0.0,0.03,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,Interconnection studies in this area have identified inadequate deliverability.
Lanpri,1206.0,Antelope 220/66 System,0.0,0.0,0.0,3.61,0.0,14.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Latchford Glass,1112.0,Laguna Bell De 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Lb Network,,,,,,,,,12.0,1.0,52.973,19.4595,0.0,0.0,27.5676,392.0,144.0,0.0,0.0,204.0,
Leatherneck,2025.0,Devers 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
Lee Vining,190.0,Inyo Sce 220/115 System,0.044,0.138,0.182,0.0,0.0,0.0,12.0,1.0,26.6667,20.0,0.0,0.0,53.3333,4.0,3.0,0.0,0.0,8.0,Interconnection studies in this area have identified inadequate deliverability.
Lehman,1117.0,Santa Clara 220/66 System,0.0,0.0,0.0,9.7,0.0,28.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Lighthipe 'Ab',356.0,Lighthipe 220/66 System,32.508,26.702,59.21,258.35,0.23,220.79,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Lighthipe 'Def',357.0,Lighthipe 220/66 System,44.847,11.673,56.52,283.5,0.2,503.48,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Lime Rock,1079.0,Victor 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Linde,783.0,Etiwanda 220/66 System,0.0,0.0,0.0,0.0,0.0,17.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Liquid,1161.0,Rio Hondo 220/66 System,0.0,0.0,0.0,9.0,0.0,14.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Lizard P.t.,1442.0,Mirage 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Loma Linda Hosp.,1068.0,San Bernardino 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Look Out P.t.,1450.0,Windhub 220/66 System,0.0,0.0,0.0,0.0,0.0,0.05,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Lourich,1193.0,Rector 220/66 System,0.0,0.0,0.0,7.2,0.0,10.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Lunar,619.0,Big Creek 220/220 System,0.012,0.0,0.012,1.31,0.01,3.74,12.0,1.0,27.2727,2.2727,0.0,0.0,70.4545,12.0,1.0,0.0,0.0,31.0,Interconnection studies in this area have identified inadequate deliverability.
Lytle Creek P.h.,165.0,Etiwanda 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Magmagen,67.0,Inyo Sce 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Mammoth,2090.0,Big Creek 220/220 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Mandalay,124.0,Santa Clara 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Mars,1063.0,Kramer 220/115 System,0.0,0.0,0.0,0.0,0.0,7.5,4.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,Interconnection studies in this area have identified inadequate deliverability.
Mcgen,22.0,Kramer 220/115 System,0.0,0.0,0.0,0.0,0.0,108.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Midwind,62.0,Windhub 220/66 System,10.5,7.2,17.7,0.0,-465789.47,0.0,12.0,2.0,38.4615,7.6923,0.0,0.0,53.8462,10.0,2.0,0.0,0.0,14.0,Interconnection studies in this area have identified adequate deliverability.
Military,1207.0,Kramer 220/115 System,0.0,0.0,0.0,4.87,0.0,11.83,12.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,299.0,Interconnection studies in this area have identified inadequate deliverability.
Mill Creek No.1 0,163.0,El Casco 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
Mill Creek No.2 0,164.0,El Casco 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
Missile,1223.0,Santa Clara 220/66 System,0.0,0.0,0.0,7.91,0.0,22.47,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Mobgen,14.0,La Fresa 220/66 System,0.0,0.0,0.0,41.3,0.0,43.2,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Mobiloil,497.0,La Fresa 220/66 System,0.0,0.0,0.0,100.04,0.0,196.0,12.0,37.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,60.0,Interconnection studies in this area have identified adequate deliverability.
Mojave Siphon (Cdwr),222.0,Vista 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Monaco U.g.s.,1470.0,La Fresa 220/66 System,0.0,0.0,0.0,0.0,0.0,0.75,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Moog,1248.0,La Fresa 220/66 System,0.0,0.0,0.0,3.8,0.0,5.6,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Moorpark 'A',324.0,Moorpark 220/66 System,102.741,21.018,123.758,280.06,0.44,436.18,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Moorpark 'C',325.0,Moorpark 220/66 System,136.607,31.768,168.374,395.3,0.43,391.56,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Moraga33,,,,,,,,,33.0,2.0,,,,,,0.0,0.0,0.0,0.0,0.0,
Morwind,63.0,Windhub 220/66 System,0.0,0.0,0.0,0.14,0.0,56.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
