name,owner_raw,owner_std,type,hifld_id,max_voltage_kv,latitude,longitude,county,city,zip_code,source,path
Provident,PG&E,pge,,,60.0,39.55776855036031,-122.00470373938784,Glenn County,Unincorporated,95943,CEC,
Quicksilver,PG&E,pge,SUBSTATION,308511.0,,38.76615971602122,-122.70744191805696,Lake County,Unincorporated,95461,CEC,
Ragu,PG&E,pge,SUBSTATION,301903.0,60.0,37.96810648140888,-121.26869653727908,San Joaquin County,Unincorporated,95205,CEC,
Ralph,PG&E,pge,SUBSTATION,302831.0,,37.79905698986354,-121.61994380061796,Alameda County,Unincorporated,94514,CEC,
Ravenswood,PG&E,pge,SUBSTATION,308197.0,230.0,37.49296812408314,-122.13794615040464,San Mateo County,Menlo Park,94025,CEC,
Red Bank,PG&E,pge,SUBSTATION,303143.0,60.0,40.14574121874566,-122.1994669205267,Tehama County,Unincorporated,96080,CEC,
Reta,PG&E,pge,SUBSTATION,304920.0,,37.45439248575215,-120.4900540217868,Merced County,Unincorporated,95388,CEC,
Ridge Cabin,PG&E,pge,,,,40.72891925469917,-123.66977850927016,Humboldt County,Unincorporated,95550,CEC,
Ridge Line,PG&E,pge,SUBSTATION,303978.0,115.0,38.81471408642573,-122.80203918048647,Sonoma County,Unincorporated,95441,CEC,
Rio Bravo Fresno,PG&E,pge,SUBSTATION,301816.0,115.0,36.68886004102305,-119.72371782540635,Fresno County,Unincorporated,93725,CEC,
Rio Bravo Poso,PG&E,pge,SUBSTATION,304418.0,115.0,35.57653240954226,-119.00652720623208,Kern County,Unincorporated,93308,CEC,
Rio Bravo Rocklin,PG&E,pge,SUBSTATION,300044.0,60.0,38.83187125290999,-121.31400271572043,Placer County,Unincorporated,95648,CEC,
Rio Del Mar,PG&E,pge,SUBSTATION,305943.0,60.0,36.97546947545002,-121.8942992611325,Santa Cruz County,Unincorporated,95003,CEC,
Rio Dell Tap,PG&E,pge,TAP,310755.0,60.0,40.551248789422594,-124.07921547141898,Humboldt County,Unincorporated,95547,CEC,
Rio Oso,PG&E,pge,SUBSTATION,304864.0,230.0,38.93517895362423,-121.46684295367594,Sutter County,Unincorporated,95674,CEC,
Rio Vista,PG&E,pge,SUBSTATION,304327.0,,38.16004971772207,-121.6965001010822,Solano County,Rio Vista,94571,CEC,
River Rock,PG&E,pge,SUBSTATION,304800.0,60.0,36.90286000596502,-119.77384298675636,Fresno County,Unincorporated,93730,CEC,
Robertson,PG&E,pge,SUBSTATION,304947.0,60.0,37.94339395521123,-121.3298474259229,San Joaquin County,Stockton,95203,CEC,
Roland,PG&E,pge,SUBSTATION,307329.0,60.0,36.96472779654248,-121.97377831285034,Santa Cruz County,Unincorporated,95062,CEC,
Round Mt.,PG&E,pge,SUBSTATION,303913.0,500.0,40.80747896449215,-121.93581580541282,Shasta County,Unincorporated,96065,CEC,66
Russ Ranch,PG&E,pge,SUBSTATION,308615.0,60.0,40.82049761112737,-123.8282375459324,Humboldt County,Unincorporated,95550,CEC,
S.J. Power,PG&E,pge,,,,37.80650699209757,-121.29089900214474,San Joaquin County,Lathrop,95330,CEC,
Salado,PG&E,pge,SUBSTATION,304632.0,115.0,37.42194798786807,-121.14748200719993,Stanislaus County,Unincorporated,95363,CEC,
San Andreas,PG&E,pge,SUBSTATION,307313.0,60.0,37.60403101798599,-122.42315894314376,San Mateo County,Unincorporated,94030,CEC,
San Francisco Airport,PG&E,pge,SUBSTATION,308409.0,115.0,37.62624530359648,-122.40352407709956,San Mateo County,Unincorporated,94066,CEC,
San Joaquin 1A,PG&E,pge,SUBSTATION,310419.0,60.0,37.158813310923954,-119.49446082423948,Madera County,Unincorporated,93643,CEC,
San Lorenzo,PG&E,pge,SUBSTATION,300818.0,60.0,37.68021007110539,-122.12625635713135,Alameda County,Unincorporated,94580,CEC,
San Luis,PG&E,pge,SUBSTATION,305921.0,230.0,37.06666668816659,-121.07545277410044,Merced County,Unincorporated,93635,CEC,
San Luis 3,PG&E,pge,SUBSTATION,307723.0,230.0,36.862073444276895,-120.77728656533732,Merced County,Unincorporated,93622,CEC,
San Luis 5,PG&E,pge,SUBSTATION,306746.0,,36.78002057787478,-120.72974401420127,Fresno County,Unincorporated,93622,CEC,
Sand Bar,PG&E,pge,SUBSTATION,300109.0,115.0,38.186125561643735,-120.15000199836854,Tuolumne County,Unincorporated,95335,CEC,
Santa Maria Cogen,PG&E,pge,SUBSTATION,308379.0,,34.94478983212465,-120.45777417291836,Santa Barbara County,Santa Maria,93458,CEC,
Santa Rosa B,PG&E,pge,,,,38.44026157785383,-122.70900679710958,Sonoma County,Santa Rosa,95404,CEC,
Santa Ynez Switch,PG&E,pge,SUBSTATION,304838.0,115.0,34.64795679031357,-120.1848072517467,Santa Barbara County,Unincorporated,93427,CEC,
Sausalito Meter,PG&E,pge,SUBSTATION,306024.0,,37.83984214869384,-122.47858416640244,Marin County,Unincorporated,94965,CEC,
Seacliff,PG&E,pge,SUBSTATION,308275.0,60.0,36.98428364209861,-121.91541655936638,Santa Cruz County,Unincorporated,95003,CEC,
Senter,PG&E,pge,,,115.0,37.30049547762674,-121.84474997624127,Santa Clara County,San Jose,95111,CEC,
Sharon,PG&E,pge,SUBSTATION,300642.0,115.0,37.09782627977079,-120.15718387640584,Madera County,Chowchilla,93610,CEC,
Shell Chemical,PG&E,pge,SUBSTATION,306606.0,,38.030833992616856,-121.94602199348677,Contra Costa County,Unincorporated,94565,CEC,
Shiloh II,PG&E,pge,SUBSTATION,300352.0,500.0,38.171320140980406,-121.8464210080862,Solano County,Unincorporated,94571,CEC,15X
Shiloh III,PG&E,pge,,,230.0,38.16952264476485,-121.846916112212,Solano County,Unincorporated,94571,CEC,15X
Shredder,PG&E,pge,SUBSTATION,307611.0,115.0,37.51141770427968,-122.20758081766444,San Mateo County,Redwood City,94063,CEC,
Sierra,PG&E,pge,SUBSTATION,306842.0,115.0,35.515758891424355,-119.04060295449294,Kern County,Unincorporated,93308,CEC,
Signetics,PG&E,pge,SUBSTATION,303084.0,115.0,37.38493422024482,-122.01297825893649,Santa Clara County,Sunnyvale,94085,CEC,
Skaggs Island,PG&E,pge,SUBSTATION,308472.0,115.0,38.1613610947696,-122.38101854538714,Sonoma County,Unincorporated,95476,CEC,
Sly Creek,PG&E,pge,SUBSTATION,301510.0,115.0,39.580401651569936,-121.1196963680714,Butte County,Unincorporated,95941,CEC,
Socrates 18,PG&E,pge,SUBSTATION,308455.0,230.0,38.76859088758865,-122.74829118763498,Sonoma County,Unincorporated,95441,CEC,
Sonoma 3,PG&E,pge,SUBSTATION,310210.0,230.0,38.79008048113569,-122.75682000346043,Sonoma County,Unincorporated,95441,CEC,
Sonora Mining,PG&E,pge,,,,37.96718047107743,-120.38640751228633,Tuolumne County,Sonora,95370,CEC,
South Bay 1,PG&E,pge,SUBSTATION,310124.0,,37.77848161015776,-121.62595134314,Alameda County,Unincorporated,94514,CEC,
South Bay 2,PG&E,pge,SUBSTATION,307226.0,,37.77697496906707,-121.62532386832268,Alameda County,Unincorporated,94514,CEC,
South Belridge Cogen,PG&E,pge,SUBSTATION,306083.0,115.0,35.44866380334264,-119.7339932444599,Kern County,Unincorporated,93251,CEC,
Sri,PG&E,pge,SUBSTATION,308777.0,60.0,37.45537671251861,-122.17828672892516,San Mateo County,Menlo Park,94025,CEC,
Stauffer,PG&E,pge,,,,38.03229043595164,-122.11999248931232,Contra Costa County,Martinez,94553,CEC,
Stockton Cogen,PG&E,pge,SUBSTATION,301985.0,60.0,37.9125559768013,-121.26337159943589,San Joaquin County,Stockton,95206,CEC,
Stony Gorge,PG&E,pge,SUBSTATION,310479.0,,39.587043025553136,-122.53315696653576,Glenn County,Unincorporated,95939,CEC,
Stroud Switching Station,PG&E,pge,SUBSTATION,309046.0,60.0,36.53156657156764,-120.17045479075252,Fresno County,Unincorporated,93660,CEC,
Sulphur Springs,PG&E,pge,SUBSTATION,300152.0,230.0,38.78671169338545,-122.78203219421708,Sonoma County,Unincorporated,95441,CEC,
Sunrise Power,PG&E,pge,SUBSTATION,309622.0,115.0,35.210333339352324,-119.58264443348602,Kern County,Unincorporated,93224,CEC,
Sutter Power,PG&E,pge,SUBSTATION,304115.0,,39.05250879544234,-121.69190423802937,Sutter County,Unincorporated,95993,CEC,
Sysquoc,PG&E,pge,SUBSTATION,306607.0,70.0,35.3198257331365,-119.66232478995532,Kern County,Unincorporated,93251,CEC,
TRACY DEFENSE DEPOT,PG&E,pge,SUBSTATION,301199.0,,37.72172800700287,-121.39194800812216,San Joaquin County,Unincorporated,95304,CEC,
Table Mt.,PG&E,pge,SUBSTATION,300007.0,500.0,39.55528056360781,-121.64478736387608,Butte County,Unincorporated,95965,CEC,66
Technical Ecological Services,PG&E,pge,SUBSTATION,302072.0,230.0,37.78212147519469,-121.96768080127508,Contra Costa County,Danville,94583,CEC,
Tecuya,PG&E,pge,SUBSTATION,305592.0,70.0,35.01965139017872,-118.97963838659624,Kern County,Unincorporated,93313,CEC,
Tesla,PG&E,pge,SUBSTATION,305530.0,500.0,37.71239639315276,-121.56485786768286,Alameda County,Unincorporated,95377,CEC,15X
Texaco,PG&E,pge,SUBSTATION,306341.0,,35.95856111715653,-120.86357779412668,Monterey County,Unincorporated,93450,CEC,
Thermal Energy,PG&E,pge,SUBSTATION,310448.0,115.0,37.72005265740157,-121.48842859533217,San Joaquin County,Unincorporated,95377,CEC,
Thermalito,PG&E,pge,SUBSTATION,302245.0,,39.51409170250548,-121.63247047599424,Butte County,Unincorporated,95965,CEC,
Tiger Creek,PG&E,pge,SUBSTATION,306652.0,230.0,38.449175243866094,-120.49227690773776,Amador County,Unincorporated,95666,CEC,H11
Tocaloma,PG&E,pge,SUBSTATION,303383.0,60.0,38.05486443157044,-122.75986310219042,Marin County,Unincorporated,94946,CEC,
Trans Bay Cable,PG&E,pge,,,,38.0186169128807,-121.85087174624896,Contra Costa County,Pittsburg,94509,CEC,
Trinity,PG&E,pge,SUBSTATION,302403.0,115.0,40.71803009961374,-122.9344308734431,Trinity County,Unincorporated,96093,CEC,
Tulloch,PG&E,pge,SUBSTATION,310532.0,115.0,37.876673141863705,-120.6055921445229,Calaveras County,Unincorporated,95228,CEC,H2
