sap_substation_name,lcr_area,city_served,division,owner,n_city_rows
SAN MATEO SUB,Greater Bay Area,Burlingame; Foster City; Hillsborough; San Mateo,PENINSULA,PGE,4
SAN PABLO SUB,Greater Bay Area,El Sobrante; Pinole; Richmond; Rollingwood; San Pablo,EAST BAY,PGE,5
SAN RAFAEL SUB,North Coast/North Bay,Fairfax; Kentfield; Larkspur; Ross; San Anselmo; San Rafael; Santa Venetia,NORTH BAY,PGE,7
SAN RAMON SUB,Greater Bay Area,Alamo; Castro Valley; Danville; Dublin; Pleasanton; San Ramon,MISSION,PGE,6
SANBORN JCT,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1
SAND CREEK SUB,Greater Fresno,Squaw Valley,FRESNO,PGE,1
SAND DRAG PV SOLAR SUB,Greater Fresno,Avenal,FRESNO,nonPGE,1
SANGER SUB,Greater Fresno,Del Rey; Fresno; Kingsburg; Sanger,FRESNO,PGE,4
SANTA FE-KERN RIVER SUB,Kern,Kern County,KERN,nonPGE,1
SANTA NELLA SUB,Greater Fresno,Santa Nella,YOSEMITE,PGE,1
SANTA RITA SUB,Greater Fresno,Dos Palos,YOSEMITE,PGE,1
SANTA ROSA A SUB,North Coast/North Bay,Roseland; Santa Rosa,NORTH COAST,PGE,2
SANTA ROSA B SUB,North Coast/North Bay,Santa Rosa,NORTH COAST,PGE,1
SANTA TERESA SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1
SARANAP SUB,Greater Bay Area,Walnut Creek,DIABLO,PGE,1
SARATOGA SUB,Greater Bay Area,Campbell; Cupertino; Los Gatos; Monte Sereno; San Jose; Saratoga,DE ANZA,PGE,6
SAUSALITO SUB,North Coast/North Bay,Sausalito; Tamalpais-Homestead Valley,NORTH BAY,PGE,2
SAXON CREEK SUB,Greater Fresno,Madera County,FRESNO,nonPGE,1
SC JOHNSON WAX SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1
SCHINDLER SUB,Greater Fresno,Five Points,FRESNO,PGE,1
SCHULTE SWITCHING STATION,Stockton,N/A,STOCKTON,PGE,1
SEMINARY SUB,Greater Bay Area,Oakland,EAST BAY,PGE,1
SENTER SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1
SERRAMONTE SUB,Greater Bay Area,Daly City; Pacifica; San Bruno; South San Francisco,PENINSULA,PGE,4
SHADY GLEN SUB,Sierra,Colfax,SIERRA,PGE,1
SHARON PRISON SUB,Greater Fresno,Madera County,FRESNO,PGE,1
SHEPHERD SUB,Greater Fresno,Clovis,FRESNO,PGE,1
SHINGLE SPRINGS SUB,Sierra,Cameron Park; Shingle Springs,SIERRA,PGE,2
SHORE ACRES BANK SUB,Greater Bay Area,Bay Point,DIABLO,nonPGE,1
SHREDDER SUB,Greater Bay Area,Redwood City,PENINSULA,PGE,1
SIERRA PACIFIC (LINCOLN),Sierra,Lincoln,SIERRA,nonPGE,1
SIERRA PACIFIC INDUSTRIES CHINESE STATION SUB,Stockton,Stanislaus County,YOSEMITE,nonPGE,1
SIERRA PACIFIC LUMBER,Humboldt,Humboldt County,HUMBOLDT,nonPGE,1
SIERRA PINE SUB,Sierra,Loomis,SIERRA,nonPGE,1
SIERRA ULTRA CHINESE STATION SUB,Stockton,Stanislaus County,YOSEMITE,nonPGE,1
SILVER (AVENUE) SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
SILVERADO SUB,North Coast/North Bay,Angwin; Deer Park; St. Helena,NORTH BAY,PGE,3
SIMPSON HUMBOLDT,Humboldt,Fairhaven,HUMBOLDT,nonPGE,1
SIMPSON-KORBEL (BLUE LAKE),Humboldt,Humboldt County,HUMBOLDT,nonPGE,1
SINCLAIR SUB,Greater Bay Area,Concord,DIABLO,PGE,1
SIXTH AVE SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
SJ NO.1A PH SUB,Greater Fresno,Madera County,FRESNO,PGE,1
SJ NO.2 PH SUB,Greater Fresno,Madera County,FRESNO,PGE,1
SJ NO.3 PH SUB,Greater Fresno,Madera County,FRESNO,PGE,1
SJVE EL NIDO SUB,Greater Fresno,Merced County,FRESNO,nonPGE,1
SKAGGS ISLAND SUB,North Coast/North Bay,Skaggs Island,NORTH BAY,PGE,1
SMARTVILLE SUB,Sierra,Smartville,SIERRA,PGE,1
SNEATH LANE SUB,Greater Bay Area,Daly City; Pacifica; San Bruno; South San Francisco,PENINSULA,PGE,4
SOBRANTE SUB,Greater Bay Area,Lafayette; Orinda,DIABLO,PGE,2
SOLANO SUB,Greater Bay Area,Albany; Berkeley,EAST BAY,PGE,2
SOLEDAD JCT,Greater Bay Area,,CENTRAL COAST,PGE,1
SOLEDAD SUB,Greater Bay Area,Soledad,CENTRAL COAST,PGE,1
SONOMA A SUB,North Coast/North Bay,Boyes Hot Springs; El Verano; Fetters Hot Springs-Agua Caliente; Sonoma; Temelec,NORTH COAST,PGE,5
SOTO SUB,Greater Bay Area,Cherryland; Hayward,MISSION,PGE,2
SOUTH KERN SOLAR SUB,Kern,Maricopa,KERN,nonPGE,1
SPAULDING PH #1 SUB,Sierra,Truckee,SIERRA,PGE,1
SPENCE SUB,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1
SPRING GAP PH SUB,Stockton,Tuolumne County,YOSEMITE,PGE,1
SPRUCE SUB,Greater Bay Area,Berkeley; Kensington,EAST BAY,PGE,2
SRI SUB,Greater Bay Area,Menlo Park,PENINSULA,PGE,1
STAFFORD SUB,North Coast/North Bay,Novato,NORTH BAY,PGE,1
STAGG SUB,Stockton,Country Club; Lincoln Village; Stockton,STOCKTON,PGE,3
STANISLAUS CO. RESOURCE RECOVERY,Stockton,Stanislaus County,YOSEMITE,nonPGE,1
STANISLAUS PH SUB,Stockton,Arnold; Avery; Forest Meadows; Murphys,STOCKTON,PGE,5
STARWOOD POWER MIDWAY LLC SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1
STATION MA SUB,Greater Bay Area,Millbrae,PENINSULA,nonPGE,1
STAUFFER SUB,Greater Bay Area,Martinez,DIABLO,PGE,1
STELLING SUB,Greater Bay Area,Cupertino; Los Altos; Loyola; Mountain View; San Jose; Sunnyvale,DE ANZA,PGE,6
STOCKDALE SUB,Kern,Bakersfield,KERN,PGE,1
STONE CORRAL SUB,Greater Fresno,Squaw Valley,FRESNO,PGE,1
STONE SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1
STONY POINT SUB,North Coast/North Bay,Roseland,NORTH COAST,nonPGE,1
STOREY SUB,Greater Fresno,Bonadelle Ranchos-Madera Ranchos; Madera; Madera Acres; Parksdale,YOSEMITE,PGE,4
STROUD SUB,Greater Fresno,Helm,FRESNO,PGE,1
STUART SUB,Greater Bay Area,Berkeley; Oakland,EAST BAY,PGE,2
SULLIVAN SUB,Greater Bay Area,Broadmoor; Daly City,PENINSULA,PGE,2
SUMMIT SUB (PG&E),Sierra,Placer County,SIERRA,PGE,1
SUN CITY PV SOLAR SUB,Greater Fresno,Avenal,FRESNO,nonPGE,1
SUN MAID SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1
SUNOL SUB,Greater Bay Area,Fremont; Pleasanton; Sunol,MISSION,PGE,3
SWIFT SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1
TAMARAK SUB,Sierra,Placer County,SIERRA,PGE,1
TAR FLAT SUB,Stockton,Sonora,YOSEMITE,PGE,1
TARAVAL SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
TASSAJARA SUB,Greater Bay Area,Alamo; Blackhawk-Camino Tassajara; Danville; Diablo; San Ramon; Walnut Creek,DIABLO,PGE,6
TAYLOR RD STATION,Sierra,Rocklin,SIERRA,nonPGE,1
TEICHERT SUB,Stockton,Tracy,STOCKTON,nonPGE,1
TEVIS SUB,Kern,Bakersfield; Rosedale,KERN,PGE,2
THERMAL SUB,Greater Bay Area,Oakland,EAST BAY,PGE,1
TIDEWATER SUB,Greater Bay Area,Bay Point; Clayton; Clyde; Concord; Martinez; Pacheco; Pleasant Hill; Vine Hill,DIABLO,PGE,8
TIVY VALLEY SUB,Greater Fresno,Squaw Valley,FRESNO,PGE,1
TOCALOMA SUB,North Coast/North Bay,Tocaloma,NORTH BAY,PGE,1
TOMA-TEK SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1
TORNADO (TEXACO TRADING AND TRANSPORTATION C,Greater Fresno,Fresno County,FRESNO,nonPGE,1
TRACY DEFENSE DEPOT SUB,Stockton,Tracy,STOCKTON,nonPGE,1
TRACY SUB,Stockton,Lathrop; Tracy,STOCKTON,PGE,2
TRANQUILITY #1,Greater Fresno,,YOSEMITE,PGE,1
TRANQUILITY #2,Greater Fresno,,YOSEMITE,PGE,1
TRIGO JCT SUB,Greater Fresno,Madera County,FRESNO,PGE,1
TRIMBLE SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1
TRINIDAD SUB,Humboldt,McKinleyville; Trinidad; Westhaven-Moonstone,HUMBOLDT,PGE,3
TUDOR SUB,Sierra,Tudor,SIERRA,PGE,1
TULARE LAKE SUB,Greater Fresno,Kettleman City,FRESNO,PGE,1
TULUCAY SUB,North Coast/North Bay,American Canyon; Napa,NORTH BAY,PGE,2
TWENTY-FIRST AVENUE SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
UC DAVIS,Sierra,Davis,SACRAMENTO,nonPGE,1
UKIAH SUB,North Coast/North Bay,Talmage; Ukiah,NORTH COAST,PGE,2
ULTRA POWER (BLUE LAKE),Humboldt,Blue Lake,HUMBOLDT,nonPGE,1
ULTRA POWER (OGLE) SUB,Kern,Kern County,KERN,nonPGE,1
UPPER LAKE SUB,North Coast/North Bay,Upper Lake,HUMBOLDT,PGE,1
URICH SUB,Greater Bay Area,Martinez,DIABLO,PGE,1
US POST OFFICE SUB,Sierra,West Sacramento,SACRAMENTO,nonPGE,1
VALLECITOS SUB,Greater Bay Area,Sunol,MISSION,PGE,1
VALLEJO B SUB,North Coast/North Bay,Vallejo,NORTH BAY,PGE,1
VALLEJO C SUB,North Coast/North Bay,Vallejo,NORTH BAY,PGE,1
VALLEY CHILDREN'S HOSPITAL SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1
VALLEY HOME SUB,Stockton,Valley Home,YOSEMITE,PGE,1
VALLEY VIEW SUB,Greater Bay Area,El Sobrante; Pinole; Richmond; San Pablo,EAST BAY,PGE,4
VASCO SUB,Greater Bay Area,Livermore,MISSION,PGE,1
VASONA SUB,Greater Bay Area,Cambrian Park; Campbell; Los Gatos; Monte Sereno; San Jose,DE ANZA,PGE,5
VEDDER SUB,Kern,Kern County,KERN,nonPGE,1
VICTOR SUB,Stockton,Lockeford,STOCKTON,PGE,1
VIEJO SUB,Greater Bay Area,Monterey,CENTRAL COAST,PGE,1
VIERRA SUB,Stockton,Lathrop; Manteca,STOCKTON,PGE,2
VINEYARD SUB,Greater Bay Area,Dublin; Hayward; Livermore; Pleasanton; Sunol,MISSION,PGE,5
VIRGINIA SUB,Greater Bay Area,Richmond,EAST BAY,PGE,1
WAHTOKE SUB,Greater Fresno,Parlier; Reedley,FRESNO,PGE,2
WALDO SUB,Greater Bay Area,El Cerrito; Kensington; Richmond,EAST BAY,PGE,3
WALL SUB,Greater Bay Area,El Cerrito; Richmond,EAST BAY,PGE,2
WALNUT CREEK SUB,Greater Bay Area,Walnut Creek,DIABLO,PGE,1
WARD SUB,Greater Bay Area,San Leandro,MISSION,PGE,1
WATERSHED SUB,Greater Bay Area,Redwood City,PENINSULA,PGE,1
WATSONVILLE SUB,Greater Bay Area,Watsonville,CENTRAL COAST,PGE,1
WAYNE SUB,Greater Bay Area,Alamo,DIABLO,PGE,1
WEIMAR SUB,Sierra,Colfax; Meadow Vista,SIERRA,PGE,2
WESIX (WAPA) SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1
WEST FRESNO SUB,Greater Fresno,Easton; Fresno,FRESNO,PGE,2
WEST SACRAMENTO SUB,Sierra,W. Sacramento; West Sacramento,SACRAMENTO,PGE,2
WESTLAKE SUB,Greater Bay Area,Daly City; San Francisco,PENINSULA,PGE,2
WESTLANDS #1 RA PP SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1
WESTLANDS 16RA SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1
WESTLANDS 18RA SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1
WESTLANDS SUB,Greater Fresno,San Joaquin,YOSEMITE,PGE,1
WESTLEY SUB,Stockton,Grayson; Westley,YOSEMITE,PGE,2
WESTPARK SUB,Kern,Bakersfield; Oildale,KERN,PGE,2
WHEATLAND SUB,Sierra,Beale AFB; Wheatland,SIERRA,PGE,2
WHEELER RIDGE JUNCTION SUB,Kern,Kern County,KERN,PGE,1
WHISMAN SUB,Greater Bay Area,Mountain View; Palo Alto; Sunnyvale,DE ANZA,PGE,3
WHITNEY SUB,Greater Bay Area,Pittsburg,DIABLO,PGE,1
WILLITS A SUB,North Coast/North Bay,Willits,NORTH COAST,PGE,1
WILLOW CREEK SUB,Humboldt,Willow Creek,HUMBOLDT,PGE,1
WILLOW PASS SUB,Greater Bay Area,Bay Point; Concord; Pittsburg,DIABLO,PGE,3
WILSON SUB,Greater Fresno,Merced; Planada,YOSEMITE,PGE,2
WISE PH SUB,Sierra,Auburn,SIERRA,PGE,1
WISHON SUB,Greater Fresno,Auberry,YOSEMITE,PGE,1
WITCO (OILDALE CO-GEN) SUB,Kern,Kern County,KERN,nonPGE,1
WITCO REFINERY SUB,Kern,Kern County,KERN,nonPGE,1
WOHLER SUB,North Coast/North Bay,Healdsburg,NORTH COAST,PGE,1
WOLFE SUB,Greater Bay Area,Cupertino; San Jose; Santa Clara; Sunnyvale,DE ANZA,PGE,4
WOOD SUB,Greater Bay Area,Oakland; Piedmont,EAST BAY,PGE,2
WOODACRE SUB,North Coast/North Bay,Fairfax; Lagunitas-Forest Knolls; San Geronimo; Woodacre,NORTH BAY,PGE,4
WOODBRIDGE WINERY SUB,Stockton,Lodi,STOCKTON,nonPGE,1
WOODCHUCK SUB,Greater Fresno,Wilson Village,FRESNO,PGE,1
WOODLAND BIOMASS,Sierra,Woodland,SACRAMENTO,PGE,1
WOODLAND SUB,Sierra,Woodland,SACRAMENTO,PGE,2
WOODSIDE SUB,Greater Bay Area,Atherton; Emerald Lake Hills; Menlo Park; Portola Valley; Redwood City; Woodside,PENINSULA,PGE,6
WOODWARD SUB,Greater Fresno,Clovis; Fresno; Fresno County; Friant,FRESNO,PGE,4
WRIGHT SUB,Greater Fresno,Los Banos,YOSEMITE,PGE,1
WYANDOTTE SUB,Sierra,Concow; Oroville; Oroville East; Palermo; South Oroville,NORTH VALLEY,PGE,5
YANCY SUB,Greater Fresno,Fresno County,FRESNO,PGE,1
YOSEMITE SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
YUBA GOLDFIELDS,Sierra,Marysville,SIERRA,PGE,1
ZAMORA SUB,Sierra,Zamora,SACRAMENTO,PGE,1
