sap_substation_name,lcr_area,city_served,division,owner,n_city_rows
FAIRVIEW SUB,Greater Bay Area,Crockett; Martinez; Port Costa; Rodeo; Vine Hill,DIABLO,PGE,5
FIGARDEN SUB,Greater Fresno,Fresno,FRESNO,PGE,1
FIGAS CONSTRUCTION (HUMBOLDT FLAKEBOARD),Humboldt,Humboldt County,HUMBOLDT,nonPGE,1
FIREBAUGH SUB,Greater Fresno,Firebaugh; Mendota,YOSEMITE,PGE,2
FIRESTONE SUB,Greater Bay Area,,,nonPGE,1
FIRESTONE SW STA,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1
FITCH MOUNTAIN SUB,North Coast/North Bay,Healdsburg; Windsor,NORTH COAST,PGE,2
FIVE POINTS SW STA,Greater Fresno,Five Points,FRESNO,PGE,1
FLINT SUB,Sierra,Auburn,SIERRA,PGE,1
FLORENCE SUB,Greater Bay Area,Oakland; Piedmont,EAST BAY,PGE,2
FMC SUB,Greater Bay Area,San Jose; Santa Clara,SAN JOSE,PGE,2
FORBESTOWN PH,Sierra,Forbestown,NORTH VALLEY,nonPGE,1
FORESTHILL SUB,Sierra,Foresthill,SIERRA,PGE,1
FORMICA,Sierra,Lincoln,SIERRA,nonPGE,1
FORT BRAGG A SUB,North Coast/North Bay,Fort Bragg,NORTH COAST,PGE,1
FORT ORD SUB,Greater Bay Area,Fort Ord,CENTRAL COAST,PGE,1
FORT ROSS SUB,North Coast/North Bay,Fort Ross,NORTH COAST,PGE,1
FORT SEWARD SUB,Humboldt,Fort Seward,HUMBOLDT,PGE,1
FRANKLIN SUB,Greater Bay Area,Crockett; Hercules; Pinole; Rodeo,EAST BAY,PGE,4
FREMONT SUB,Greater Bay Area,Fremont; Sunol,MISSION,PGE,2
FRESH EXPRESS SUB,Greater Bay Area,,CENTRAL COAST,nonPGE,1
FRESNO WASTE WATER SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1
FROGTOWN SUB,Stockton,Angels City; Copperopolis; Mountain Ranch; Murphys; Vallecito,STOCKTON,PGE,5
FRUITLAND SUB,Humboldt,Myers Flat,HUMBOLDT,PGE,1
FRUITVALE SUB,Kern,Bakersfield; Rosedale,KERN,PGE,2
FULTON SUB,North Coast/North Bay,Larkfield-Wikiup; Santa Rosa; Windsor,NORTH COAST,PGE,3
GABILAN SUB,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1
GALLO SUB,Greater Fresno,Livingston,YOSEMITE,PGE,1
GARBERVILLE SUB,Humboldt,Redway,HUMBOLDT,PGE,1
GARCIA SUB,North Coast/North Bay,Point Arena,NORTH COAST,PGE,1
GATES SUB,Greater Fresno,Avenal; Coalinga; Huron,FRESNO,PGE,3
GATES WELLHEAD SUB,Greater Fresno,Fresno County,FRESNO,PGE,1
GEARY SUB,Greater Bay Area,Pleasant Hill; Walnut Creek,DIABLO,PGE,2
GEYSERVILLE SUB,North Coast/North Bay,Geyserville,NORTH COAST,PGE,1
GIFFEN SUB,Greater Fresno,Cantua Creek,FRESNO,PGE,1
GILL RANCH SUB,Greater Fresno,Madera County,FRESNO,nonPGE,1
GILL SUB,Greater Bay Area,Concord,DIABLO,PGE,1
GLASS SUB,Greater Fresno,Madera,YOSEMITE,nonPGE,1
GLENWOOD SUB,Greater Bay Area,Atherton; Menlo Park; North Fair Oaks,PENINSULA,PGE,3
GOLD HILL SUB,Sierra,Folsom,SIERRA,PGE,1
GOLDEN STATE METALS (EISEN) SUB,Kern,Kern County,KERN,nonPGE,1
GONZALES,Greater Bay Area,Gonzales,CENTRAL COAST,PGE,1
GRAND ISLAND SUB,Sierra,Isleton; Rio Vista,SACRAMENTO,PGE,2
GRANITE CONSTRUCTION SUB,North Coast/North Bay,Lake County,NORTH COAST,nonPGE,1
GRANITE ROCK SUB,Greater Bay Area,Oromas,CENTRAL COAST,nonPGE,1
GRANT SUB,Greater Bay Area,Ashland; Cherryland; Hayward; San Leandro,MISSION,PGE,4
GRASS VALLEY SUB,Sierra,Grass Valley,SIERRA,PGE,1
GREEN VALLEY SUB,Greater Bay Area,Watsonville,CENTRAL COAST,PGE,1
GREENBRAE SUB,North Coast/North Bay,Corte Madera; Kentfield; Larkspur; Tiburon,NORTH BAY,PGE,4
GREGG SUB,Greater Fresno,Madera,YOSEMITE,PGE,1
GRIMMWAY-MALAGA SUB,Kern,Kern County,KERN,nonPGE,1
GRIZZLY SUB,Greater Bay Area,Berkeley,EAST BAY,nonPGE,1
GRONEMEYER SUB,Stockton,Lathrop,STOCKTON,nonPGE,1
GUALALA SUB,North Coast/North Bay,Gualala,NORTH COAST,PGE,1
GUARDIAN SUB,Greater Fresno,Kings County,FRESNO,nonPGE,1
GUERNSEY SUB,Greater Fresno,Hanford,FRESNO,PGE,1
