sap_substation_name,lcr_area,city_served,division,owner,n_city_rows,match_type,match_score,pge_name,pge_norm_name,pge_voltage_kv,pge_lat,pge_lon
CRYSTAL SPRINGS SUB,Greater Bay Area,San Mateo,PENINSULA,PGE,1,fuzzy,81.4814814814815,SALT SPRINGS,SALT SPRINGS,21.0,38.49873757346975,-120.21883454678164
CURTIS SUB,Stockton,Columbia; East Sonora; Groveland-Big Oak Flat; Jamestown; Mono Vista; Phoenix Lake-Cedar Ridge; Sonora; Soulsbyville; Tuolumne City,YOSEMITE,PGE,9,exact,100.0,CURTIS,CURTIS,17.0,37.97431175393948,-120.31978089327473
City of HEALDSBURG SUB,North Coast/North Bay,Healdsburg,NORTH COAST,PGE,1,unmatched,0.0,,,,,
DAIRYLAND SUB,Greater Fresno,Chowchilla,YOSEMITE,PGE,1,exact,100.0,DAIRYLAND,DAIRYLAND,12.0,37.055238199109,-120.31690423390413
DALY CITY SUB,Greater Bay Area,Broadmoor; Colma; Daly City; Pacifica; San Francisco; South San Francisco,PENINSULA,PGE,6,exact,100.0,DALY CITY,DALY CITY,12.0,37.69202059210078,-122.45565658797352
DAVIS SUB,Sierra,Davis,SACRAMENTO,nonPGE,1,exact,100.0,DAVIS,DAVIS,12.0,38.54537389882344,-121.7337412213476
DE FRANCESCO SUB,Greater Fresno,Fresno County,FRESNO,PGE,1,unmatched,0.0,,,,,
DEADWOOD CREEK,Sierra,Concow,NORTH VALLEY,nonPGE,1,unmatched,0.0,,,,,
DEEPWATER SUB,Sierra,West Sacramento,SACRAMENTO,PGE,1,exact,100.0,DEEPWATER,DEEPWATER,12.0,38.55140495900723,-121.55981764661082
DEER CREEK PH,Sierra,Nevada County,SIERRA,PGE,1,unmatched,0.0,,,,,
DEL MAR SUB,Sierra,Granite Bay; Lincoln; Loomis; Rocklin,SIERRA,PGE,4,exact,100.0,DEL MAR,DEL MAR,21.0,38.798905518358,-121.22132249121611
DEL MONTE SUB,Greater Bay Area,Monterey,CENTRAL COAST,PGE,1,exact,100.0,DEL MONTE,DEL MONTE,21.0,36.59919530577832,-121.85414882424809
DELTA SWITCHING YARD,Greater Bay Area,,,,1,unmatched,0.0,,,,,
DERRICK SUB,Greater Fresno,Kettleman,KERN,nonPGE,1,unmatched,0.0,,,,,
DEXZEL SUB,Kern,Kern County,KERN,nonPGE,1,unmatched,0.0,,,,,
DIAMOND SPRINGS SUB,Sierra,Diamond Springs; Placerville,SIERRA,PGE,2,exact,100.0,DIAMOND SPRINGS,DIAMOND SPRINGS,12.0,38.69335810297077,-120.82605011972905
DINOSAUR POINT SUB,Greater Fresno,Merced County,FRESNO,PGE,1,unmatched,0.0,,,,,
DINUBA ENERGY SUB,Greater Fresno,Dinuba; London; Reedley,FRESNO,nonPGE,3,unmatched,0.0,,,,,
DISCOVERY CHEVRON SUB,Kern,Kern County,KERN,nonPGE,1,unmatched,0.0,,,,,
DIXON LANDING SUB,Greater Bay Area,Fremont; Milpitas; San Jose,MISSION,PGE,4,exact,100.0,DIXON LANDING,DIXON LANDING,21.0,37.45705888772975,-121.92097272747756
DOBBINS SUB,Sierra,Dobbins,SIERRA,PGE,1,exact,100.0,DOBBINS,DOBBINS,12.0,39.340076339250025,-121.19541552842642
DOLAN ROAD SUB,Greater Bay Area,Moss Landing,CENTRAL COAST,PGE,1,exact,100.0,DOLAN ROAD,DOLAN ROAD,12.0,36.80013119439448,-121.76897719428231
DOLE PACKAGED FROZEN FOODS INC SUB,Greater Fresno,Merced County,FRESNO,nonPGE,1,unmatched,0.0,,,,,
DOS PALOS SUB,Greater Fresno,Dos Palos; South Dos Palos,YOSEMITE,PGE,2,exact,100.0,DOS PALOS,DOS PALOS,12.0,36.97511066443014,-120.63479080838368
DOUBLE C SUB,Kern,Kern County,KERN,nonPGE,1,unmatched,0.0,,,,,
DOW CHEMICAL METERING SUB,Greater Bay Area,Pittsburg,DIABLO,nonPGE,1,unmatched,0.0,,,,,
DOWNIEVILLE DIESEL SUB,Sierra,Loyalton,SIERRA,PGE,1,unmatched,0.0,,,,,
DRUM PH #1 SUB,Sierra,Colfax,SIERRA,PGE,1,unmatched,0.0,,,,,
DUMBARTON SUB,Greater Bay Area,Fremont; Hayward; Newark; Union City,MISSION,PGE,4,exact,100.0,DUMBARTON,DUMBARTON,12.0,37.55713232904114,-122.05834145293557
DUNBAR SUB,North Coast/North Bay,Boyes Hot Springs; Eldridge; Fetters Hot Springs-Agua Caliente; Glen Ellen; Santa Rosa,NORTH COAST,PGE,5,exact,100.0,DUNBAR,DUNBAR,12.0,38.38374078362537,-122.52780897971554
DUNLAP SUB,Greater Fresno,Squaw Valley,FRESNO,PGE,1,exact,100.0,DUNLAP,DUNLAP,12.0,36.70967604208161,-119.0292556541925
DUTCH FLAT #1 PH,Sierra,Colfax,SIERRA,PGE,1,unmatched,0.0,,,,,
EAGLE ROCK SUB,North Coast/North Bay,Geysers,NORTH COAST,PGE,1,unmatched,0.0,,,,,
EAST BANK SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1,unmatched,0.0,,,,,
EAST GRAND SUB,Greater Bay Area,Brisbane; Colma; San Bruno; South San Francisco,PENINSULA,PGE,4,exact,100.0,EAST GRAND,EAST GRAND,12.0,37.65396784266645,-122.40420306125036
EAST MARYSVILLE SUB,Sierra,Marysville; Yuba City,SIERRA,PGE,2,exact,100.0,EAST MARYSVILLE,EAST MARYSVILLE,12.0,39.16342235495069,-121.56120836057298
EAST NICOLAUS SUB,Sierra,E. Nicolaus,SIERRA,PGE,1,exact,100.0,EAST NICOLAUS,EAST NICOLAUS,12.0,38.90941478613143,-121.54229853496466
EAST PORTAL SUB,Greater Bay Area,Orinda,DIABLO,PGE,1,unmatched,0.0,,,,,
EASTSHORE SUB,Greater Bay Area,Hayward,MISSION,PGE,1,unmatched,0.0,,,,,
EDENVALE SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1,exact,100.0,EDENVALE,EDENVALE,21.0,37.24486514436606,-121.79536211168684
EDES SUB,Greater Bay Area,Oakland; San Leandro,EAST BAY,PGE,2,exact,100.0,EDES,EDES,12.0,37.738958386689234,-122.19406786917396
EEL RIVER SUB,Humboldt,Ferndale; Humboldt Hill,HUMBOLDT,PGE,2,exact,100.0,EEL RIVER,EEL RIVER,12.0,40.60254042515516,-124.20988251695042
EIGHTEENTH STREET SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1,unmatched,0.0,,,,,
EIGHTH AVE SUB,Greater Bay Area,Oakland,EAST BAY,PGE,1,unmatched,0.0,,,,,
EL CAPITAN SUB,Greater Fresno,Merced,YOSEMITE,PGE,1,exact,100.0,EL CAPITAN,EL CAPITAN,12.0,37.33595281998132,-120.50540396991832
EL CERRITO G SUB,Greater Bay Area,Albany; Berkeley; East Richmond Heights; El Cerrito; Kensington; Richmond; Rollingwood; San Pablo,EAST BAY,PGE,9,exact,100.0,EL CERRITO G,EL CERRITO G,12.0,37.91642199870226,-122.30263855024612
EL DORADO PH,Sierra,Pollock Pines,SIERRA,nonPGE,1,exact,100.0,EL DORADO PH,EL DORADO PH,21.0,38.79358310217803,-120.61933508570162
EL NIDO SUB,Greater Fresno,Merced,YOSEMITE,PGE,1,exact,100.0,EL NIDO,EL NIDO,12.0,37.12088972778191,-120.47290782246549
EL PATIO SUB,Greater Bay Area,Burbank; Campbell; Fruitdale; San Jose; Santa Clara,DE ANZA,PGE,5,exact,100.0,EL PATIO,EL PATIO,12.0,37.29163644525506,-121.93561870955156
EL PECO SUB,Greater Fresno,Madera,YOSEMITE,PGE,1,exact,100.0,EL PECO,EL PECO,12.0,36.88099449637093,-120.16446451789515
ELK SUB,North Coast/North Bay,Elk,NORTH COAST,PGE,1,exact,100.0,ELK,ELK,12.0,39.129493032948936,-123.71168466277476
ELLIS SUB,Stockton,Tracy,STOCKTON,nonPGE,1,unmatched,0.0,,,,,
EMERALD LAKE SUB,Greater Bay Area,Emerald Lake Hills; Redwood City; Woodside,PENINSULA,PGE,3,exact,100.0,EMERALD LAKE,EMERALD LAKE,4.16,37.46149299207372,-122.2772794279851
ENCINAL SUB,Sierra,Live Oak,SIERRA,PGE,1,unmatched,0.0,,,,,
ERTA SUB,Greater Bay Area,Watsonville,CENTRAL COAST,PGE,1,exact,100.0,ERTA,ERTA,4.16,36.93065412756231,-121.76425096468428
ESSEX JUNCT SUB,Humboldt,Blue Lake,HUMBOLDT,PGE,1,unmatched,0.0,,,,,
ESTUDILLO SUB,Greater Bay Area,Oakland; San Leandro,MISSION,PGE,2,exact,100.0,ESTUDILLO,ESTUDILLO,4.16,37.72712154609791,-122.1388744667424
EUREKA A SUB,Humboldt,Eureka,HUMBOLDT,PGE,1,exact,100.0,EUREKA A,EUREKA A,12.0,40.79388382264845,-124.18290357012602
EUREKA E SUB,Humboldt,Bayview; Cutten; Eureka; Pine Hills,HUMBOLDT,PGE,4,exact,100.0,EUREKA E,EUREKA E,12.0,40.793699357832445,-124.17955004886942
EVERGREEN SUB,Greater Bay Area,San Jose; Seven Trees,SAN JOSE,PGE,2,exact,100.0,EVERGREEN,EVERGREEN,21.0,37.30352178997496,-121.83997139739384
EXCELSIOR SW STA,Greater Fresno,Mendota,YOSEMITE,PGE,1,unmatched,0.0,,,,,
EXCHEQUER PH SUB,Greater Fresno,Snelling,FRESNO,nonPGE,1,unmatched,0.0,,,,,
FAIRHAVEN SUB,Humboldt,Fairhaven,HUMBOLDT,PGE,1,exact,100.0,FAIRHAVEN,FAIRHAVEN,12.0,40.80053988251958,-124.1961850487832
FAIRMONT SUB,Greater Bay Area,Albany; El Cerrito; Richmond,EAST BAY,PGE,3,fuzzy,94.11764705882352,FAIRMOUNT,FAIRMOUNT,4.16,37.90189965591967,-122.29689529328267
FAIRVIEW SUB,Greater Bay Area,Crockett; Martinez; Port Costa; Rodeo; Vine Hill,DIABLO,PGE,5,exact,100.0,FAIRVIEW,FAIRVIEW,21.0,38.01590927413491,-122.11629244561098
FIGARDEN SUB,Greater Fresno,Fresno,FRESNO,PGE,1,exact,100.0,FIGARDEN,FIGARDEN,21.0,36.82143004382485,-119.85912186746845
FIGAS CONSTRUCTION (HUMBOLDT FLAKEBOARD),Humboldt,Humboldt County,HUMBOLDT,nonPGE,1,unmatched,0.0,,,,,
FIREBAUGH SUB,Greater Fresno,Firebaugh; Mendota,YOSEMITE,PGE,2,exact,100.0,FIREBAUGH,FIREBAUGH,12.0,36.85079413120268,-120.4658435279364
FIRESTONE SUB,Greater Bay Area,,,nonPGE,1,unmatched,0.0,,,,,
FIRESTONE SW STA,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1,unmatched,0.0,,,,,
FITCH MOUNTAIN SUB,North Coast/North Bay,Healdsburg; Windsor,NORTH COAST,PGE,2,exact,100.0,FITCH MOUNTAIN,FITCH MOUNTAIN,12.0,38.606826614556056,-122.85303132509898
FIVE POINTS SW STA,Greater Fresno,Five Points,FRESNO,PGE,1,unmatched,0.0,,,,,
FLINT SUB,Sierra,Auburn,SIERRA,PGE,1,unmatched,0.0,,,,,
FLORENCE SUB,Greater Bay Area,Oakland; Piedmont,EAST BAY,PGE,2,exact,100.0,FLORENCE,FLORENCE,4.16,37.83612012296221,-122.2202658186114
FMC SUB,Greater Bay Area,San Jose; Santa Clara,SAN JOSE,PGE,2,exact,100.0,FMC,FMC,12.0,37.34728445797068,-121.9223066818288
FORBESTOWN PH,Sierra,Forbestown,NORTH VALLEY,nonPGE,1,unmatched,0.0,,,,,
FORESTHILL SUB,Sierra,Foresthill,SIERRA,PGE,1,exact,100.0,FORESTHILL,FORESTHILL,12.0,39.01998695236322,-120.8293416806212
FORMICA,Sierra,Lincoln,SIERRA,nonPGE,1,unmatched,0.0,,,,,
FORT BRAGG A SUB,North Coast/North Bay,Fort Bragg,NORTH COAST,PGE,1,exact,100.0,FORT BRAGG A,FORT BRAGG A,12.0,39.4353215496146,-123.79944585942631
FORT ORD SUB,Greater Bay Area,Fort Ord,CENTRAL COAST,PGE,1,exact,100.0,FORT ORD,FORT ORD,21.0,36.64329014858041,-121.7923827803921
FORT ROSS SUB,North Coast/North Bay,Fort Ross,NORTH COAST,PGE,1,exact,100.0,FORT ROSS,FORT ROSS,12.0,38.539950114554514,-123.22321445936709
FORT SEWARD SUB,Humboldt,Fort Seward,HUMBOLDT,PGE,1,exact,100.0,FORT SEWARD,FORT SEWARD,12.0,40.213926195853496,-123.5966650918544
FRANKLIN SUB,Greater Bay Area,Crockett; Hercules; Pinole; Rodeo,EAST BAY,PGE,4,exact,100.0,FRANKLIN,FRANKLIN,12.0,38.012370285670094,-122.26448472267798
FREMONT SUB,Greater Bay Area,Fremont; Sunol,MISSION,PGE,2,exact,100.0,FREMONT,FREMONT,12.0,37.5418196595348,-121.961946339948
FRESH EXPRESS SUB,Greater Bay Area,,CENTRAL COAST,nonPGE,1,unmatched,0.0,,,,,
FRESNO WASTE WATER SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1,unmatched,0.0,,,,,
FROGTOWN SUB,Stockton,Angels City; Copperopolis; Mountain Ranch; Murphys; Vallecito,STOCKTON,PGE,5,exact,100.0,FROGTOWN,FROGTOWN,17.0,38.05723780621027,-120.5341629491827
FRUITLAND SUB,Humboldt,Myers Flat,HUMBOLDT,PGE,1,exact,100.0,FRUITLAND,FRUITLAND,12.0,40.286587508255074,-123.83681278567364
FRUITVALE SUB,Kern,Bakersfield; Rosedale,KERN,PGE,2,exact,100.0,FRUITVALE,FRUITVALE,12.0,35.37778171713446,-119.09265249949172
FULTON SUB,North Coast/North Bay,Larkfield-Wikiup; Santa Rosa; Windsor,NORTH COAST,PGE,3,exact,100.0,FULTON,FULTON,12.0,38.497363244277295,-122.76136488870888
GABILAN SUB,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1,exact,100.0,GABILAN,GABILAN,12.0,36.73135977881113,-121.61341084063255
GALLO SUB,Greater Fresno,Livingston,YOSEMITE,PGE,1,unmatched,0.0,,,,,
GARBERVILLE SUB,Humboldt,Redway,HUMBOLDT,PGE,1,exact,100.0,GARBERVILLE,GARBERVILLE,12.0,40.10337464980182,-123.7925248171206
GARCIA SUB,North Coast/North Bay,Point Arena,NORTH COAST,PGE,1,unmatched,0.0,,,,,
GATES SUB,Greater Fresno,Avenal; Coalinga; Huron,FRESNO,PGE,3,exact,100.0,GATES,GATES,12.0,36.13875751303389,-120.1233876281544
GATES WELLHEAD SUB,Greater Fresno,Fresno County,FRESNO,PGE,1,unmatched,0.0,,,,,
GEARY SUB,Greater Bay Area,Pleasant Hill; Walnut Creek,DIABLO,PGE,2,unmatched,0.0,,,,,
GEYSERVILLE SUB,North Coast/North Bay,Geyserville,NORTH COAST,PGE,1,exact,100.0,GEYSERVILLE,GEYSERVILLE,12.0,38.70995941018712,-122.9076911568436
GIFFEN SUB,Greater Fresno,Cantua Creek,FRESNO,PGE,1,exact,100.0,GIFFEN,GIFFEN,12.0,36.54577475933991,-120.33539282422548
GILL RANCH SUB,Greater Fresno,Madera County,FRESNO,nonPGE,1,unmatched,0.0,,,,,
GILL SUB,Greater Bay Area,Concord,DIABLO,PGE,1,exact,100.0,GILL,GILL,4.16,37.98700838558783,-122.04030298525278
GLASS SUB,Greater Fresno,Madera,YOSEMITE,nonPGE,1,unmatched,0.0,,,,,
GLENWOOD SUB,Greater Bay Area,Atherton; Menlo Park; North Fair Oaks,PENINSULA,PGE,3,exact,100.0,GLENWOOD,GLENWOOD,4.16,37.457303934642994,-122.18733079776786
GOLD HILL SUB,Sierra,Folsom,SIERRA,PGE,1,unmatched,0.0,,,,,
GOLDEN STATE METALS (EISEN) SUB,Kern,Kern County,KERN,nonPGE,1,unmatched,0.0,,,,,
GONZALES,Greater Bay Area,Gonzales,CENTRAL COAST,PGE,1,exact,100.0,GONZALES,GONZALES,12.0,36.50924719473701,-121.44649143497328
GRAND ISLAND SUB,Sierra,Isleton; Rio Vista,SACRAMENTO,PGE,2,exact,100.0,GRAND ISLAND,GRAND ISLAND,21.0,38.23143431844358,-121.59064447220264
GRANITE CONSTRUCTION SUB,North Coast/North Bay,Lake County,NORTH COAST,nonPGE,1,unmatched,0.0,,,,,
GRANITE ROCK SUB,Greater Bay Area,Oromas,CENTRAL COAST,nonPGE,1,unmatched,0.0,,,,,
GRANT SUB,Greater Bay Area,Ashland; Cherryland; Hayward; San Leandro,MISSION,PGE,4,exact,100.0,GRANT,GRANT,12.0,37.67180204255067,-122.15958413255876
GRASS VALLEY SUB,Sierra,Grass Valley,SIERRA,PGE,1,exact,100.0,GRASS VALLEY,GRASS VALLEY,12.0,39.20922183386184,-121.06131819310708
GREEN VALLEY SUB,Greater Bay Area,Watsonville,CENTRAL COAST,PGE,1,exact,100.0,GREEN VALLEY,GREEN VALLEY,21.0,36.952075206180815,-121.7601230620376
GREENBRAE SUB,North Coast/North Bay,Corte Madera; Kentfield; Larkspur; Tiburon,NORTH BAY,PGE,4,exact,100.0,GREENBRAE,GREENBRAE,12.0,37.93806581399283,-122.51415076392202
GREGG SUB,Greater Fresno,Madera,YOSEMITE,PGE,1,unmatched,0.0,,,,,
GRIMMWAY-MALAGA SUB,Kern,Kern County,KERN,nonPGE,1,unmatched,0.0,,,,,
GRIZZLY SUB,Greater Bay Area,Berkeley,EAST BAY,nonPGE,1,unmatched,0.0,,,,,
GRONEMEYER SUB,Stockton,Lathrop,STOCKTON,nonPGE,1,unmatched,0.0,,,,,
GUALALA SUB,North Coast/North Bay,Gualala,NORTH COAST,PGE,1,exact,100.0,GUALALA,GUALALA,12.0,38.78608834746834,-123.52264215716971
GUARDIAN SUB,Greater Fresno,Kings County,FRESNO,nonPGE,1,unmatched,0.0,,,,,
GUERNSEY SUB,Greater Fresno,Hanford,FRESNO,PGE,1,exact,100.0,GUERNSEY,GUERNSEY,12.0,36.22643077790519,-119.65578907910825
GUSTINE SUB,Stockton,Gustine,YOSEMITE,PGE,1,exact,100.0,GUSTINE,GUSTINE,12.0,37.253059038898215,-121.01309879419414
GWF HANFORD SUB,Greater Fresno,Kings County,FRESNO,nonPGE,1,unmatched,0.0,,,,,
GWF HANFORD SW STA SUB,Greater Fresno,Kings County,FRESNO,nonPGE,1,unmatched,0.0,,,,,
HAAS PH SUB,Greater Fresno,Fresno County,FRESNO,PGE,1,unmatched,0.0,,,,,
HALF MOON BAY SUB,Greater Bay Area,El Granada; Half Moon Bay; Montara; Moss Beach,PENINSULA,PGE,4,exact,100.0,HALF MOON BAY,HALF MOON BAY,12.0,37.46904870806549,-122.4294538339823
HALSEY PH SUB,Sierra,Auburn; Meadow Vista; North Auburn,SIERRA,PGE,3,fuzzy,80.0,HALSEY,HALSEY,12.0,38.95682089677347,-121.04286722342916
HAMILTON FIELD SUB,North Coast/North Bay,Novato,NORTH BAY,PGE,1,fuzzy,75.0,HAMILTON A,HAMILTON A,12.0,39.74626480299121,-122.01146489920175
HAMMONDS SUB,Greater Fresno,Fresno,YOSEMITE,PGE,1,exact,100.0,HAMMONDS,HAMMONDS,12.0,36.71999629266149,-120.60261292866964
HANFORD SWITCHING STATION SUB,Greater Fresno,Kings County,FRESNO,PGE,1,unmatched,0.0,,,,,
HARDWICK SUB,Greater Fresno,Hanford; Laton,FRESNO,PGE,2,unmatched,0.0,,,,,
HARKINS,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1,fuzzy,76.92307692307692,HARRIS,HARRIS,12.0,40.781372534153576,-124.1319638474449
HARRIS SUB,Humboldt,Cutten; Eureka; Myrtletown; Pine Hills,HUMBOLDT,PGE,4,exact,100.0,HARRIS,HARRIS,12.0,40.781372534153576,-124.1319638474449
HARTER SUB,Sierra,South Yuba City; Sutter; Tierra Buena; Yuba City,SIERRA,PGE,4,exact,100.0,HARTER,HARTER,12.0,39.1430758668314,-121.64781496424256
HARTLEY SUB,North Coast/North Bay,Lakeport; North Lakeport,NORTH COAST,PGE,2,exact,100.0,HARTLEY,HARTLEY,12.0,39.07670414389441,-122.93340708386404
HATTON SUB,Greater Bay Area,Carmel Valley,CENTRAL COAST,PGE,1,exact,100.0,HATTON,HATTON,12.0,36.55698934837941,-121.89760148903191
HAYWARD O SUB,Greater Bay Area,Ashland; Cherryland; Hayward,MISSION,PGE,3,exact,100.0,HAYWARD O,HAYWARD O,4.16,37.68617570872579,-122.10256842334825
HEINZ SUB,Stockton,Tracy,STOCKTON,nonPGE,1,unmatched,0.0,,,,,
HELM SUB,Greater Fresno,San Joaquin,FRESNO,PGE,1,unmatched,0.0,,,,,
HELMS PGP SUB,Greater Fresno,Fresno County,FRESNO,PGE,1,unmatched,0.0,,,,,
HENRIETTA SUB,Greater Fresno,Lemoore Station,FRESNO,PGE,1,exact,100.0,HENRIETTA,HENRIETTA,12.0,36.24184869376041,-119.90482761916222
HERNDON SUB,Greater Fresno,Herndon,FRESNO,PGE,1,unmatched,0.0,,,,,
HICKS SUB,Greater Bay Area,Cambrian Park; Los Gatos; San Jose,SAN JOSE,PGE,3,exact,100.0,HICKS,HICKS,21.0,37.233642133115225,-121.9012169860993
HIGGINS SUB,Sierra,Alta Sierra; Lake of the Pines,SIERRA,PGE,2,exact,100.0,HIGGINS,HIGGINS,12.0,39.04402916015481,-121.0909371400403
HIGH ST SUB,Greater Bay Area,Oakland,EAST BAY,PGE,1,unmatched,0.0,,,,,
HIGHLANDS SUB,North Coast/North Bay,Clearlake; Hidden Valley Lake; Lower Lake,NORTH COAST,PGE,3,exact,100.0,HIGHLANDS,HIGHLANDS,12.0,38.93697153956946,-122.60907443594864
HIGHWAY 70 INDUSTRIAL PARK (LOUISIANA PACIFIC),Sierra,Oroville,NORTH VALLEY,nonPGE,1,unmatched,0.0,,,,,
HIGHWAY SUB,North Coast/North Bay,American Canyon; Vallejo,NORTH BAY,PGE,2,exact,100.0,HIGHWAY,HIGHWAY,12.0,38.165934399172585,-122.25383771242235
HILLSDALE SUB,Greater Bay Area,Belmont; Hillsborough; San Mateo,PENINSULA,PGE,3,exact,100.0,HILLSDALE,HILLSDALE,4.16,37.53650756155396,-122.32255097270397
HJ HEINZ,Stockton,Tracy,STOCKTON,nonPGE,1,unmatched,0.0,,,,,
HOLLISTER SUB,Greater Bay Area,Hollister,CENTRAL COAST,PGE,1,exact,100.0,HOLLISTER,HOLLISTER,21.0,36.86291061228925,-121.4059655595244
HOLLYWOOD SUB,Greater Bay Area,Oakland; Piedmont,EAST BAY,PGE,2,exact,100.0,HOLLYWOOD,HOLLYWOOD,4.16,37.81262335848576,-122.2188198016409
HOMESTAKE SUB,North Coast/North Bay,,NORTH COAST,PGE,1,unmatched,0.0,,,,,
HONCUT SUB,Sierra,Gridley; Loma Rica,NORTH VALLEY,PGE,2,exact,100.0,HONCUT,HONCUT,12.0,39.3207327968909,-121.59528383517107
HOOPA SUB,Humboldt,Hoopa,HUMBOLDT,PGE,1,exact,100.0,HOOPA,HOOPA,12.0,41.0562197839853,-123.6821751759544
HOPLAND SUB,North Coast/North Bay,Hopland,NORTH BAY,PGE,1,exact,100.0,HOPLAND,HOPLAND,12.0,38.97287952085421,-123.08117071435976
HORSESHOE SUB,Sierra,Folsom; Granite Bay; Loomis; Roseville,SIERRA,PGE,4,exact,100.0,HORSESHOE,HORSESHOE,12.0,38.74422432366909,-121.16136710564363
HOWLAND ROAD SUB,Stockton,Manteca,STOCKTON,PGE,1,fuzzy,81.81818181818181,DOLAN ROAD,DOLAN ROAD,12.0,36.80013119439448,-121.76897719428231
HUMBOLDT BAY GEN STA SUB,Humboldt,Bayview; Eureka; Humboldt Hill; Pine Hills,HUMBOLDT,PGE,5,unmatched,0.0,,,,,
HUMBOLDT SUB,Humboldt,Eureka,HUMBOLDT,PGE,1,unmatched,0.0,,,,,
HURON SUB,Greater Fresno,Huron,FRESNO,PGE,1,exact,100.0,HURON,HURON,12.0,36.18607144784237,-120.10386221168731
IGNACIO SUB,North Coast/North Bay,Black Point-Green Point; Lucas Valley-Marinwood; Novato,NORTH BAY,PGE,3,exact,100.0,IGNACIO,IGNACIO,12.0,38.075692626064345,-122.53961816606646
IMHOFF SUB,Greater Bay Area,Martinez,DIABLO,PGE,1,unmatched,0.0,,,,,
INDIAN FLAT SUB,Greater Fresno,Incline,YOSEMITE,PGE,1,exact,100.0,INDIAN FLAT,INDIAN FLAT,12.0,37.66553336561797,-119.84124163589712
INDIAN VALLEY SUB,North Coast/North Bay,,NORTH COAST,PGE,1,unmatched,0.0,,,,,
INDUSTRIAL ACRES SUB,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1,exact,100.0,INDUSTRIAL ACRES,INDUSTRIAL ACRES,4.16,36.664142645204045,-121.62883846892647
INDUSTRIAL SUB,Stockton,Lodi,STOCKTON,PGE,1,fuzzy,76.92307692307692,INDUSTRIAL ACRES,INDUSTRIAL ACRES,4.16,36.664142645204045,-121.62883846892647
INGRAM CREEK SUB,Stockton,Stanislaus County,YOSEMITE,nonPGE,1,unmatched,0.0,,,,,
IUKA SUB,Greater Bay Area,Pleasanton,MISSION,PGE,1,unmatched,0.0,,,,,
J.R. WOOD SUB,Greater Fresno,Merced County,FRESNO,nonPGE,1,unmatched,0.0,,,,,
JACALITO SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1,fuzzy,80.0,JACINTO,JACINTO,12.0,39.58288667011789,-122.01062919339816
JACOBS CORNER SUB,Greater Fresno,Lemoore; Lemoore Station; Stratford,FRESNO,PGE,3,exact,100.0,JACOBS CORNER,JACOBS CORNER,12.0,36.22220579820744,-119.77959785166227
JANES CREEK SUB,Humboldt,Arcata; McKinleyville,HUMBOLDT,PGE,2,exact,100.0,JANES CREEK,JANES CREEK,12.0,40.90518967567011,-124.07217770855576
JARVIS SUB,Greater Bay Area,Fremont; Hayward; Union City,MISSION,PGE,3,exact,100.0,JARVIS,JARVIS,12.0,37.59533398503197,-122.01754403270029
JEFFERSON SUB,Greater Bay Area,Redwood City,PENINSULA,PGE,1,unmatched,0.0,,,,,
JR WOOD SUB,Greater Fresno,Atwater,YOSEMITE,nonPGE,1,unmatched,0.0,,,,,
JUDAH SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1,exact,100.0,JUDAH,JUDAH,4.16,37.76070385654141,-122.493499260624
KAMM (TEXACO) SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1,unmatched,0.0,,,,,
KANAKA SUB,Sierra,Feather Falls,NORTH VALLEY,nonPGE,1,exact,100.0,KANAKA,KANAKA,12.0,39.57508683288682,-121.30575066528326
KANSAS SOLAR SUB,Greater Fresno,Lemoore,FRESNO,nonPGE,1,unmatched,0.0,,,,,
KANSAS SOUTH SUB,Greater Fresno,Lemoore,FRESNO,nonPGE,1,unmatched,0.0,,,,,
KASSON SUB,Stockton,Tracy,STOCKTON,PGE,1,unmatched,0.0,,,,,
KEARNEY (NEW) SUB,Greater Fresno,Easton; Fresno; Fresno County,FRESNO,PGE,3,unmatched,0.0,,,,,
KEARNY (OLD) SUB,Greater Fresno,Fresno County,FRESNO,PGE,1,unmatched,0.0,,,,,
KEKAWAKA,Humboldt,,HUMBOLDT,nonPGE,1,unmatched,0.0,,,,,
KELSO SUB,Greater Bay Area,Tracy,STOCKTON,PGE,1,unmatched,0.0,,,,,
KERCKHOFF #1 PH SUB,Greater Fresno,Fresno County,FRESNO,PGE,1,fuzzy,75.0,KERCKHOFF,KERCKHOFF,12.0,37.09207364074768,-119.55301276394894
KERCKHOFF #2 PH SUB,Greater Fresno,Fresno County,FRESNO,PGE,1,fuzzy,75.0,KERCKHOFF,KERCKHOFF,12.0,37.09207364074768,-119.55301276394894
KERMAN SUB,Greater Fresno,Kerman,FRESNO,PGE,1,exact,100.0,KERMAN,KERMAN,12.0,36.69166461699721,-120.06003825090616
