sap_substation_name,lcr_area,city_served,division,owner,n_city_rows,match_type,match_score,pge_name,pge_norm_name,pge_voltage_kv,pge_lat,pge_lon
BERKELEY T SUB,Greater Bay Area,Berkeley; Oakland,EAST BAY,nonPGE,3,exact,100.0,BERKELEY T,BERKELEY T,4.16,37.86457393824122,-122.25905444052576
BETHEL BANK SUB,Greater Bay Area,Bethel Island,DIABLO,nonPGE,1,unmatched,0.0,,,,,
BIG BASIN SUB,Greater Bay Area,Boulder Creek,CENTRAL COAST,PGE,1,exact,100.0,BIG BASIN,BIG BASIN,12.0,37.13125948685303,-122.17227801178812
BIG LAGOON SUB,Humboldt,Big Lagoon Park,HUMBOLDT,PGE,1,exact,100.0,BIG LAGOON,BIG LAGOON,12.0,41.162116737480105,-124.1022126767118
BIG RIVER SUB,North Coast/North Bay,Mendocino,HUMBOLDT,PGE,1,exact,100.0,BIG RIVER,BIG RIVER,12.0,39.31134527209194,-123.78666920979292
BIOLA SUB,Greater Fresno,Biola; Fresno,FRESNO,PGE,2,exact,100.0,BIOLA,BIOLA,12.0,36.79252636020794,-120.11415824294244
BIRDS EYE FOODS SUB (AGRILINK FOODS),Greater Bay Area,,CENTRAL COAST,nonPGE,1,unmatched,0.0,,,,,
BLUE CHIP MILLING,Humboldt,Humboldt County,HUMBOLDT,nonPGE,1,unmatched,0.0,,,,,
BLUE LAKE SUB,Humboldt,Blue Lake; McKinleyville,HUMBOLDT,PGE,2,exact,100.0,BLUE LAKE,BLUE LAKE,12.0,40.88014012907379,-123.98025783924872
BLUFORD CREEK HYDRO,Humboldt,Humboldt County,HUMBOLDT,nonPGE,1,unmatched,0.0,,,,,
BOGUE SUB,Sierra,South Yuba City; Yuba City,SIERRA,PGE,2,exact,100.0,BOGUE,BOGUE,12.0,39.096194366463855,-121.6233825471538
BOLINAS SUB,North Coast/North Bay,Bolinas; Stinson Beach,NORTH BAY,PGE,2,exact,100.0,BOLINAS,BOLINAS,12.0,37.940980126696346,-122.706692230778
BOLTHOUSE FARMS SUB,Kern,Kern County,KERN,nonPGE,1,unmatched,0.0,,,,,
BONITA SUB,Greater Fresno,Madera,YOSEMITE,PGE,1,exact,100.0,BONITA,BONITA,12.0,36.96781971171099,-120.2031525152736
BONNIE NOOK SUB,Sierra,Dutch Flat,SIERRA,PGE,1,exact,100.0,BONNIE NOOK,BONNIE NOOK,12.0,39.21451033170248,-120.80959918082056
BORDEN SUB,Greater Fresno,Bonadelle Ranchos-Madera Ranchos; Fresno; Madera; Parksdale; Parkwood,YOSEMITE,PGE,5,exact,100.0,BORDEN,BORDEN,12.0,36.92213595117919,-119.98430925285751
BORONDA SUB,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1,exact,100.0,BORONDA,BORONDA,12.0,36.690641286171,-121.67942490459326
BOSTON SUB,Greater Bay Area,Oakland,EAST BAY,PGE,1,unmatched,0.0,,,,,
BOSWELL SUB,Greater Fresno,Corcoran,FRESNO,PGE,1,unmatched,0.0,,,,,
BOSWELL TOMATO PLANT SUB,Greater Fresno,Kings County,FRESNO,nonPGE,1,unmatched,0.0,,,,,
