sap_substation_name,lcr_area,city_served,division,owner,n_city_rows,match_type,match_score,basin_name,basin_norm_name,basin_lat,basin_lon
BRENTWOOD SUB,Greater Bay Area,Bethel Island; Brentwood; Byron; Discovery Bay; Knightsen; Oakley,DIABLO,PGE,6,exact,100.0,Brentwood,BRENTWOOD,37.91905743453774,-121.6767632027892
BRIDGEVILLE SUB,Humboldt,Bridgeville,HUMBOLDT,PGE,1,exact,100.0,Bridgeville,BRIDGEVILLE,40.47964597017619,-123.78030981845563
BRIGATANO SUB,Greater Bay Area,,CENTRAL COAST,nonPGE,1,unmatched,0.0,,,,
BRIGHTON SUB,Sierra,Sacramento,SACRAMENTO,PGE,1,exact,100.0,Brighton,BRIGHTON,38.54814198372994,-121.40774354112658
BRITTON SUB,Greater Bay Area,Santa Clara; Sunnyvale,DE ANZA,PGE,2,exact,100.0,Britton,BRITTON,37.37456219213301,-122.01636588479026
BROOKSIDE SUB,Greater Bay Area,Richmond; San Pablo,EAST BAY,PGE,2,exact,100.0,Brookside,BROOKSIDE,37.96209565707229,-122.3474106211808
BROWNS VALLEY SUB,Sierra,Loma Rica,SIERRA,PGE,1,fuzzy,100.0,Browns  Valley,BROWNS  VALLEY,39.22586945122523,-121.4227730889153
BRUNSWICK SUB,Sierra,Alta Sierra; Grass Valley; Nevada City,SIERRA,PGE,3,exact,100.0,Brunswick,BRUNSWICK,39.23105001931794,-121.03502608178792
BRYANT SUB,Greater Bay Area,Orinda,DIABLO,PGE,1,unmatched,0.0,,,,
BUCKS CREEK SUB,Sierra,Belden; Bucks Lake; Caribou; Storrie; Tobin,NORTH VALLEY,PGE,5,unmatched,0.0,,,,
BUENA VISTA SUB,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1,exact,100.0,Buena Vista,BUENA VISTA,36.65389082139208,-121.62933839543028
BULLARD SUB,Greater Fresno,Clovis; Fresno,FRESNO,PGE,2,exact,100.0,Bullard,BULLARD,36.82387712081925,-119.76847588716016
BURLINGAME SUB,Greater Bay Area,Burlingame; Hillsborough,PENINSULA,PGE,2,exact,100.0,Burlingame,BURLINGAME,37.58992414455095,-122.36337404834336
BURNS SUB,Greater Bay Area,Santa Cruz,CENTRAL COAST,PGE,1,exact,100.0,Burns,BURNS,37.09533199716804,-122.14428727103169
CAL WATER SUB,Kern,Bakersfield,KERN,nonPGE,1,fuzzy,75.0,Atwater,ATWATER,37.36010093561656,-120.61468476352314
CALERO SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1,fuzzy,76.92307692307692,Palermo,PALERMO,39.45434305228144,-121.51766154413596
CALFLAX SUB,Greater Fresno,Huron,FRESNO,nonPGE,1,unmatched,0.0,,,,
CALIFORNIA AVE SUB,Greater Fresno,Fresno,FRESNO,PGE,1,exact,100.0,California Ave,CALIFORNIA AVE,36.71951798339581,-119.76418502160708
CALIFORNIA DAIRIES (DANISH CREAMERY) SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1,unmatched,0.0,,,,
CALISTOGA SUB,North Coast/North Bay,Calistoga,NORTH BAY,PGE,1,exact,100.0,Calistoga,CALISTOGA,38.59208804224296,-122.57861044400111
CALPEAK PANOCHE IPP SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1,unmatched,0.0,,,,
CALPELLA SUB,North Coast/North Bay,Calpella,NORTH COAST,PGE,1,exact,100.0,Calpella,CALPELLA,39.19724965871583,-123.19241807516715
CALVO SUB,Stockton,Tracy,STOCKTON,PGE,1,exact,100.0,Calvo,CALVO,37.74748343400993,-121.32673399046512
CAMANCHE PP SUB,Stockton,Lockeford,STOCKTON,nonPGE,1,unmatched,0.0,,,,
CAMDEN SUB,Greater Fresno,Lanare; Laton; Riverdale,FRESNO,PGE,3,exact,100.0,Camden,CAMDEN,36.44598609096055,-119.79896661374448
